operation_id,sanadi,relation,rule_refs,base_count_key,base_meaning_slp1,base_meaning_display,base_source_codes,base_citations_slp1,output_forms_slp1,semantic_eligibility_status,count_status,output_variant_count
causative,Ric,cause the base action or state,3.1.26,"[""01.0001"", ""meaning-4f8785226893""]",sattAyAm,सत्तायाम् (sattāyām),01.0001,BU,BAvi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0002"", ""meaning-7e172f9d8575""]",vfdDO,वृद्धौ (vṛddhau),01.0002,eDa~\,eDi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0003"", ""meaning-eaa4c9581c6b""]",saNGarze,सङ्घर्षे (saṅgharṣe),01.0003,sparDa~\,sparDi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0004"", ""meaning-412d054d7980""]",lipsAyAm,लिप्सायाम् (lipsāyām),01.0004,gADf~\,gADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0004"", ""meaning-83e37f3a87c4""]",pratizWAyAm,प्रतिष्ठायाम् (pratiṣṭhāyām),01.0004,gADf~\,gADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0004"", ""meaning-b687ba9bbadc""]",granTe,ग्रन्थे (granthe),01.0004,gADf~\,gADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0005"", ""meaning-476077c1bded""]",loqane,लोडने (loḍane),01.0005,bADf~\,bADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0005"", ""meaning-7cf338b886ec""]",rowane,रोटने (roṭane),01.0005,bADf~\,bADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0006"", ""meaning-8db8a7c441d3""]",yAcYAyAm,याच्ञायाम् (yācñāyām),01.0006,nADf~\,nADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0006"", ""meaning-ade77b0908ab""]",ESvarye,ऐश्वर्ये (aiśvarye),01.0006,nADf~\,nADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0006"", ""meaning-c255753f9f9e""]",upatApe,उपतापे (upatāpe),01.0006,nADf~\,nADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0006"", ""meaning-c458ec648d94""]",ASizi,आशिषि (āśiṣi),01.0006,nADf~\,nADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0007"", ""meaning-8db8a7c441d3""]",yAcYAyAm,याच्ञायाम् (yācñāyām),01.0007,nATf~\,nATi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0007"", ""meaning-ade77b0908ab""]",ESvarye,ऐश्वर्ये (aiśvarye),01.0007,nATf~\,nATi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0007"", ""meaning-c255753f9f9e""]",upatApe,उपतापे (upatāpe),01.0007,nATf~\,nATi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0007"", ""meaning-c458ec648d94""]",ASizi,आशिषि (āśiṣi),01.0007,nATf~\,nATi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0008"", ""meaning-bb23f8c5982d""]",DAraRe,धारणे (dhāraṇe),01.0008,daDa~\,dADi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0009"", ""meaning-00323a78b7df""]",ApravaRe,आप्रवणे (āpravaṇe),01.0009,skudi~\,skundi,pending,not_admitted,1
causative,Ric,cause the base action or state,3.1.26,"[""01.0010"", ""meaning-7d5e46e1b41d""]",SvEtye,श्वैत्ये (śvaitye),01.0010,Svidi~\,Svindi,pending,not_admitted,1
