upasarga_id,upasarga_order,upasarga_source_forms_slp1,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,output_forms_slp1,output_variant_count,reason,rule_refs,count_status
abhi,17,aBi,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),aBiSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
abhi,17,aBi,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),aBiSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
abhi,17,aBi,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),aBii,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
abhi,17,aBi,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),aBii,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
abhi,17,aBi,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),aBikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
abhi,17,aBi,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),aBisAdi;aBisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
abhi,17,aBi,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),aBipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
adhi,12,aDi,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),aDiSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
adhi,12,aDi,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),aDiSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
adhi,12,aDi,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),aDikrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
adhi,12,aDi,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),aDisAdi;aDisad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
adhi,12,aDi,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),aDipazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
ang,10,AN,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),Ai,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
ang,10,AN,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),Ai,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
ang,10,AN,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),Apazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
anu,5,anu,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),anuSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
anu,5,anu,"[""02.0012"", ""meaning-4d0ef93cc7a1""]",02.0012,SAsu~\,icCAyAm,इच्छायाम् (icchāyām),anuSAs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 2.12,not_counted_documented_conflict
anu,5,anu,"[""02.0041"", ""meaning-7d1ea56b4ecd""]",02.0041,i\N,aDyayane,अध्ययने (adhyayane),anvi,1,The study meaning is expressly described as always preceded by adhi.,Dhatupatha 2.41,not_counted_documented_conflict
anu,5,anu,"[""02.0042"", ""meaning-5f776bf60821""]",02.0042,i\k,smaraRe,स्मरणे (smaraṇe),anvi,1,The remembering meaning is also expressly described as preceded by adhi.,Dhatupatha 2.42,not_counted_documented_conflict
anu,5,anu,"[""10.0252"", ""meaning-91868dbd1926""]",10.0252,kranda~,sAtatye,सातत्ये (sātatye),anukrandi,1,"The continuity meaning is assigned to krand with AN, not to the other upasargas.",Dhatupatha 10.252,not_counted_documented_conflict
anu,5,anu,"[""10.0368"", ""meaning-5fa3d59b62c4""]",10.0368,za\da~,gatO,गतौ (gatau),anusAdi;anusad,2,"The movement meaning is assigned to shad with AN, not to the other upasargas.",Dhatupatha 10.368,not_counted_documented_conflict
anu,5,anu,"[""10.0401"", ""meaning-5fa3d59b62c4""]",10.0401,paza,gatO,गतौ (gatau),anupazi,1,The movement meaning is expressly limited to use without an upasarga.,Dhatupatha 10.401,not_counted_documented_conflict
apa,3,apa,"[""01.0716"", ""meaning-4d0ef93cc7a1""]",01.0716,Sasi~\,icCAyAm,इच्छायाम् (icchāyām),apaSaMs,1,"The desire meaning is assigned to this dhatu with AN, not to the other upasargas.",Dhatupatha 1.716,not_counted_documented_conflict
