operation_id,krt_source_variant,operation_display,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,semantic_branch_id,semantic_relation,rule_refs,output_forms_slp1,reason,count_status
age_canas,cAnaS,"चानश् (cānaś), age or stage of life","[""01.1121"", ""meaning-fa2b4096baf0""]",01.1121,pUN,pavane,पवने (pavane),age_or_life_stage,a participant whose age or stage of life is characterized through the base action,3.2.129,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
age_canas,cAnaS,"चानश् (cānaś), age or stage of life","[""01.1157"", ""meaning-366b4a37ad7d""]",01.1157,ya\ja~^,saNgatikaraRe,सङ्गतिकरणे (saṅgatikaraṇe),age_or_life_stage,a participant whose age or stage of life is characterized through the base action,3.2.129,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
age_canas,cAnaS,"चानश् (cānaś), age or stage of life","[""01.1157"", ""meaning-a71280a34aa6""]",01.1157,ya\ja~^,dAne,दाने (dāne),age_or_life_stage,a participant whose age or stage of life is characterized through the base action,3.2.129,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
age_canas,cAnaS,"चानश् (cānaś), age or stage of life","[""01.1157"", ""meaning-c9d7b24e3b98""]",01.1157,ya\ja~^,devapUjAyAm,देवपूजायाम् (devapūjāyām),age_or_life_stage,a participant whose age or stage of life is characterized through the base action,3.2.129,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
age_canas,cAnaS,"चानश् (cānaś), age or stage of life","[""09.0014"", ""meaning-fa2b4096baf0""]",09.0014,pUY,pavane,पवने (pavane),age_or_life_stage,a participant whose age or stage of life is characterized through the base action,3.2.129,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
agent_ac,ac,"अच् (ac), agent","[""01.0016"", ""meaning-a6f808d0cf60""]",01.0016,muda~\,harze,हर्षे (harṣe),agent,an agent characterized by performing the base action,3.1.134;Varttika 3.1.134.1,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
agent_ac,ac,"अच् (ac), agent","[""01.0024"", ""meaning-c2219ce22ddf""]",01.0024,guda~\,krIqAyAm eva,क्रीडायाम् एव (krīḍāyām eva),agent,an agent characterized by performing the base action,3.1.134;Varttika 3.1.134.1,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
agent_ac,ac,"अच् (ac), agent","[""01.0025"", ""meaning-dd1adc78b9c7""]",01.0025,zUda~\,kzaraRe,क्षरणे (kṣaraṇe),agent,an agent characterized by performing the base action,3.1.134;Varttika 3.1.134.1,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
agent_ac,ac,"अच् (ac), agent","[""01.0031"", ""meaning-730f7e4e2ef8""]",01.0031,yutf~\,BAsane,भासने (bhāsane),agent,an agent characterized by performing the base action,3.1.134;Varttika 3.1.134.1,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
agent_ac,ac,"अच् (ac), agent","[""01.0032"", ""meaning-730f7e4e2ef8""]",01.0032,jutf~\,BAsane,भासने (bhāsane),agent,an agent characterized by performing the base action,3.1.134;Varttika 3.1.134.1,,The selected operation produced no form for a source entry carrying this base meaning.,not_admitted_operation_condition_unmet
