generated_word_meaning_id,compound_relation_id,compound_type,member_forms_slp1,member_count,derivational_depth,semantic_relation,rule_refs,output_forms_slp1,output_variant_count,source_assertion_ids,verification_status,admission_basis,count_status
a7bcb00a7838b8bc,1f82b02af1a6638d,avyaya_tatpurusha,naY;brAhmaRa,2,1,brAhmaRa qualified by the indeclinable naY,2.2.6,abrAhmaRa,1,df1e0e27407f21ab,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
634ef3bdfa09a259,904e5b5c81081771,avyaya_tatpurusha,naY;vfzala,2,1,vfzala qualified by the indeclinable naY,2.2.6,avfzala,1,da34fdf7a9095f1d,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
d51c7482aa4efb47,b32ef7121c7dca2c,avyayibhava,A;kumAra,2,1,indeclinable relation of A to kumAra,2.1.13,AkumAram,1,74275ac6828bf49b,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
dcaf84d16f3ba6b5,42773da5b7bb7502,avyayibhava,A;pAwaliputra,2,1,indeclinable relation of A to pAwaliputra,2.1.13,ApAwaliputram,1,e0d6bdf61bc31875,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
657dfce6864d572b,035e9c2db1855eec,avyayibhava,SAka;prati,2,1,indeclinable relation of SAka to prati,2.1.9,SAkaprati,1,bd49a0807dd3bdfd,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
8e9cf1199096f467,a2c7ed3cdc2ba6d6,avyayibhava,SalAkA;pari,2,1,indeclinable relation of SalAkA to pari,2.1.10,SalAkApari,1,5dc3f7bd1396b99a,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
4be75dcbae1f3197,c09b3f7e8d8b1a7c,avyayibhava,aBi;agni,2,1,indeclinable relation of aBi to agni,2.1.14,aByagni,1,8298428680d2426d,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
b7caad4a02f600bf,eb3bcd7de7823bce,avyayibhava,akza;pari,2,1,indeclinable relation of akza to pari,2.1.10,akzapari,1,cb0a46ea3438bd37,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
20f0fa4b456db950,a153e880f839d205,avyayibhava,anu;vana,2,1,indeclinable relation of anu to vana,2.1.15,anuvanam,1,55995bedce45f6a5,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
2355404be555a285,91171a629e7aafcd,avyayibhava,catus;pari,2,1,indeclinable relation of catus to pari,2.1.10,catuzpari,1,a8b08f9f1455b744,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
86445b349e32ffec,1159a530db31b551,avyayibhava,dvi;muni,2,1,indeclinable relation of dvi to muni,2.1.19,dvimuni,1,dd1c67cb3deb66a6,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
5e2bf300c2419b35,27bc2dd0734b0a99,avyayibhava,dvi;pari,2,1,indeclinable relation of dvi to pari,2.1.10,dvipari,1,5d5ebabcc7ddb35d,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
686b5cac6957de61,0c873456b6be7b78,avyayibhava,eka;pari,2,1,indeclinable relation of eka to pari,2.1.10,ekapari,1,bd933599081ded56,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
5f2bc721dc3cf8ec,9f9cb760ed3d3afc,avyayibhava,prati;agni,2,1,indeclinable relation of prati to agni,2.1.14,pratyagni,1,bd8e0309e64be5da,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
c038be6b4166193c,b1f04cea644799db,avyayibhava,tri;muni,2,1,indeclinable relation of tri to muni,2.1.19,trimuni,1,f85d55ab3997fb6a,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
2b95e5782b6fbd59,39c85a28001e6441,avyayibhava,tri;pari,2,1,indeclinable relation of tri to pari,2.1.10,tripari,1,895cc6b26ee32350,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
3115b2b39324cafd,bbae00aacf510988,avyayibhava,yAvat;amatra,2,1,indeclinable relation of yAvat to amatra,2.1.8,yAvadamatram,1,370323c51578ce0e,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
aa462d4043085255,bbb405880be2cab6,avyayibhava,yaTA;aDyApaka,2,1,indeclinable relation of yaTA to aDyApaka,2.1.7,yaTADyApakam,1,be563d9c1d35627b,pinned_active_vidyut_regression_assertion,source_demonstrated_nonrecursive_compound_relation,admitted_research_ledger
