source_variant,engine_id,visible_suffix,is_vedic_only,is_avyaya,is_near_duplicate,primary_classification,bounded_operation_ids,bounded_semantic_operation_count,count_status,source_description
a,a,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
aN,aN,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,"-a,"
ac,ac,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
aR,aR,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
aDyE,aDyE,aDyE,true,true,false,vedic_only_deferred,,0,not_admitted_in_current_pass,-aDyE
aDyEn,aDyEn,aDyE,true,true,true,vedic_only_deferred,,0,not_admitted_in_current_pass,-aDyE
atfn,atf~n,at,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-at (jarat)
aTuc,aTuc,aTu,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-aTu (vepaTu). Allowed only for dhatus that are `qvit`.
ani,ani,ani,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-ani
anIyar,anIyar,anIya,false,false,false,bounded_laukika_generation,obligation_aniyar,1,eligible_for_bounded_generation,"-anIya (gamanIya, BavanIya, ...)"
ap,ap,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
ase,ase,ase,true,true,false,vedic_only_deferred,,0,not_admitted_in_current_pass,-ase
asen,asen,ase,true,true,true,vedic_only_deferred,,0,not_admitted_in_current_pass,-ase
Aluc,Aluc,Alu,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-Alu
Aru,Aru,Aru,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-Aru
ika,ika,ika,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-ika
ikavaka,ikavaka,ikavaka,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-ikavaka
iY,iY,i,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-i
itra,itra,itra,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-itra
in_,in,in,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-in. The trailing `_` is to avoid colliding with Rust's `in` keyword.
ini,ini~,in,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-in
izRuc,izRuc,izRu,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,"-izRu (alaMkarizRu, prajanizRu, ...)"
u,u,u,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,"-u (yuyutsu, Bikzu, ...)"
ukaY,ukaY,uka,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-uka
Uka,Uka,Uka,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-Uka
ka,ka,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
kaY,kaY,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
kaDyE,kaDyE,aDyE,true,true,false,vedic_only_deferred,,0,not_admitted_in_current_pass,-aDyE
kaDyEn,kaDyEn,aDyE,true,true,true,vedic_only_deferred,,0,not_admitted_in_current_pass,-aDyE
kamul,kamu~l,am,true,true,false,vedic_only_deferred,,0,not_admitted_in_current_pass,-am
kasun,kasu~n,as,true,true,false,vedic_only_deferred,,0,not_admitted_in_current_pass,"-as (visfpaH, ...)"
kap,kap,a,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,-a
kase,kase,ase,true,true,false,vedic_only_deferred,,0,not_admitted_in_current_pass,-ase
kasen,kasen,ase,true,true,true,vedic_only_deferred,,0,not_admitted_in_current_pass,-ase
kAnac,kAnac,Ana,true,false,false,vedic_only_deferred,,0,not_admitted_in_current_pass,"-Ana (cakrARa, ...)"
ki,ki,i,false,false,false,root_or_construction_conditioned_deferred,,0,not_admitted_in_current_pass,"-i (udaDi, ...)"
