assertion_id,source_file,source_line,test_function,governing_rule,input_form_slp1,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,assertion_status,test_status
317e33fe26f7b0f130c4,kashika_4_1.rs,581,sutra_4_1_112,4.1.112,Siva,aR,SEva,1,positive,active_test
a3057070a45a919c5376,kashika_4_1.rs,582,sutra_4_1_112,4.1.112,prozWa,aR,prOzWa,1,positive,active_test
ca10c5745f4f67749314,kashika_4_1.rs,585,sutra_4_1_112,4.1.112,Siva,iY,,0,negative,active_test
9e69bfeca868fb7f9c1c,kashika_4_1.rs,586,sutra_4_1_112,4.1.112,prozWa,iY,,0,negative,active_test
b485e4458a7c7ec2dfb7,kashika_4_1.rs,591,sutra_4_1_116,4.1.116,kanyA,aR,kAnIna,1,positive,active_test
ccf14ebbe93f4dbb897e,kashika_4_1.rs,630,sutra_4_1_121,4.1.121,yamunA,Qak,,0,negative,active_test
7a5075a9bf3f1bf2ccdf,kashika_4_1.rs,631,sutra_4_1_121,4.1.121,yamunA,aR,yAmuna,1,positive,active_test
be18d882e1f6dcdb9342,kashika_4_2.rs,272,sutra_4_2_67,4.2.67,udumbara,aR,Odumbara,1,positive,active_test
175709f2f03f5935c865,kashika_4_2.rs,273,sutra_4_2_67,4.2.67,balbaja,aR,bAlbaja,1,positive,active_test
e964fbc90b9a19c9b28c,kashika_4_2.rs,274,sutra_4_2_67,4.2.67,parvata,aR,pArvata,1,positive,active_test
517fe4e682f91223fdc5,kashika_4_2.rs,279,sutra_4_2_68,4.2.68,kuSAmba,aR,kOSAmba,1,positive,active_test
e126eeb476b654c46fcf,kashika_4_2.rs,280,sutra_4_2_68,4.2.68,sahasra,aR,sAhasra,1,positive,active_test
542efee46201f80cd747,kashika_4_2.rs,285,sutra_4_2_69,4.2.69,fjunO,aR,ArjunAva,1,positive,active_test
621996b49e71ea8b01cc,kashika_4_2.rs,286,sutra_4_2_69,4.2.69,Siba,aR,SEba,1,positive,active_test
43c5e08ff204429e970d,kashika_4_2.rs,291,sutra_4_2_70,4.2.70,vidiSA,aR,vEdiSa,1,positive,active_test
1fc213392aa31b0a2df3,kashika_4_2.rs,292,sutra_4_2_70,4.2.70,himavat,aR,hEmavata,1,positive,active_test
2d6a106c0fb82471a5e0,kashika_4_2.rs,297,sutra_4_2_71,4.2.71,araqu,aY,Araqava,1,positive,active_test
9415153ee9023291f976,kashika_4_2.rs,298,sutra_4_2_71,4.2.71,kakzatu,aY,kAkzatava,1,positive,active_test
256843b2b75a799d1f7f,kashika_4_2.rs,299,sutra_4_2_71,4.2.71,karkawelu,aY,kArkawelava,1,positive,active_test
f511690471d333892d2c,kashika_4_2.rs,304,sutra_4_2_72,4.2.72,izukAvat,aY,EzukAvata,1,positive,active_test
209739e515e41978c66d,kashika_4_2.rs,305,sutra_4_2_72,4.2.72,siDrAkAvat,aY,sEDrAkAvata,1,positive,active_test
f11c36b5ae56804d790c,kashika_4_2.rs,308,sutra_4_2_72,4.2.72,ahimat,aR,Ahimata,1,positive,active_test
b76fcde291bd12a8e1a5,kashika_4_2.rs,309,sutra_4_2_72,4.2.72,yavamat,aR,yAvamata,1,positive,active_test
9d3a523e4bdf4dc32745,kashika_4_2.rs,310,sutra_4_2_72,4.2.72,mAlAvat,aR,mAlAvata,1,positive,active_test
ea87f8ce94e9fea280b3,kashika_4_2.rs,315,sutra_4_2_75,4.2.75,saNkala,aY,sANkala,1,positive,active_test
16a74145896644b949b7,kashika_4_2.rs,316,sutra_4_2_75,4.2.75,puzkala,aY,pOzkala,1,positive,active_test
b9ba1c0a060200517fa6,kashika_4_2.rs,321,sutra_4_2_77,4.2.77,suvAstu,aR,sOvAstava,1,positive,active_test
9c1d44fe3d70308efaa5,kashika_4_2.rs,322,sutra_4_2_77,4.2.77,varRu,aR,vArRava,1,positive,active_test
abf834915772303d714f,kashika_4_2.rs,327,sutra_4_2_78,4.2.78,roRI,aR,rORa,1,positive,active_test
4a0146385404f47bd816,kashika_4_2.rs,328,sutra_4_2_78,4.2.78,ajakaroRI,aR,AjakaroRa,1,positive,active_test
d6270af00f1c80053af0,kashika_4_2.rs,329,sutra_4_2_78,4.2.78,sihikaroRI,aR,sEhikaroRa,1,positive,active_test
1ccd27b4aa375968fa13,kashika_4_2.rs,334,sutra_4_2_79,4.2.79,karRacCidrika,aR,kArRacCidrika,1,positive,active_test
0e5b69a7f0687e3d6647,kashika_4_2.rs,335,sutra_4_2_79,4.2.79,karRavezwaka,aR,kArRavezwaka,1,positive,active_test
b199f75581695875ea9e,kashika_4_2.rs,336,sutra_4_2_79,4.2.79,triSaNku,aR,trESaNkava,1,positive,active_test
219156298eb811d747fc,kashika_4_2.rs,341,sutra_4_2_84,4.2.84,SarkarA,Wak,SArkarika,1,positive,active_test
fddb2c1214faba70ad35,kashika_4_2.rs,342,sutra_4_2_84,4.2.84,SarkarA,Ca,SarkarIya,1,positive,active_test
