conditioned_candidate_id,input_form_slp1,semantic_context,semantic_description,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,rule_refs,source_locators,collapsed_duplicate_assertions,input_status
c558dbca0a42cebba1cb,AQaka,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Ka,AQakIna,1,5.1.53,kashika_5_1.rs:361,0,source_conditioned_relation_not_independent_nominal_count
20db120478644e4da625,AQaka,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Wak,AQakika,1,5.1.53,kashika_5_1.rs:362,0,source_conditioned_relation_not_independent_nominal_count
4b5cb080dcc3f07d5d5e,ASitaNgu,Svarthe,,Ka,ASitaNgavIna,1,5.4.7,kashika_5_4.rs:32,0,source_conditioned_relation_not_independent_nominal_count
92866324368293caf11b,ASvayujI,TatraSambhute,Where this was adapted. (4.3.41),vuY,ASvayujaka,1,4.3.45,kashika_4_3.rs:183,0,source_conditioned_relation_not_independent_nominal_count
f0eb2d16231822d2fe60,Acita,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Ka,AcitIna,1,5.1.53,kashika_5_1.rs:364,0,source_conditioned_relation_not_independent_nominal_count
b1dd15b46164d2cbbf55,Acita,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Wak,Acitika,1,5.1.53,kashika_5_1.rs:365,0,source_conditioned_relation_not_independent_nominal_count
7408d70ff146093f7cea,Akara,Avakraya,What is taxed. (4.4.50),Wak,Akarika,1,4.4.50,kashika_4_4.rs:358,0,source_conditioned_relation_not_independent_nominal_count
eeef7d17ea0579b5ac70,Akara,Niyuktam,Where one is appointed. (4.4.69),Wak,Akarika,1,4.4.69,kashika_4_4.rs:473,0,source_conditioned_relation_not_independent_nominal_count
25b3644c434d547d327f,Akara,TasyaDharmyam,One who has this custom. (4.4.47),Wak,Akarika,1,4.4.47,kashika_4_4.rs:333,0,source_conditioned_relation_not_independent_nominal_count
b8f0e193417536f4a985,Akarza,TatraKushala,Skilled in this. (5.2.63),kan,Akarzaka,1,5.2.64,kashika_5_2.rs:337,0,source_conditioned_relation_not_independent_nominal_count
4c32e23c2f5290ea5806,Akarza,TenaCarati,One who walks or eats with this. (4.4.8),zWal,Akarzika,1,4.4.9,kashika_4_4.rs:74,0,source_conditioned_relation_not_independent_nominal_count
81b5eec38af7ce73e568,Akranda,Hanti,What one kills. (4.4.35),WaY,Akrandika,1,4.4.38,kashika_4_4.rs:272,0,source_conditioned_relation_not_independent_nominal_count
7f859861138f1ff981be,Akranda,Hanti,What one kills. (4.4.35),Wak,Akrandika,1,4.4.38,kashika_4_4.rs:271,0,source_conditioned_relation_not_independent_nominal_count
60143b85b2b41fac1c9c,AmbazWa,Janapada,Country. (4.1.168),YyaN,AmbazWya,1,4.1.171,kashika_4_1.rs:872,0,source_conditioned_relation_not_independent_nominal_count
9b1c59c5e3560bff48f8,AmikzA,TasmaiHitam,One for whom this is good. (5.1.7),Ca,AmikzIya,1,5.1.4,kashika_5_1.rs:40,0,source_conditioned_relation_not_independent_nominal_count
77700a45dd228023367e,AmikzA,TasmaiHitam,One for whom this is good. (5.1.7),yat,Amikzya,1,5.1.4,kashika_5_1.rs:39,0,source_conditioned_relation_not_independent_nominal_count
fbe49bc74519b92b0cef,Amra,TasyaVikara,Modification of this. (4.3.134),mayaw,Amramaya,1,4.3.144,kashika_4_3.rs:477,0,source_conditioned_relation_not_independent_nominal_count
de8028c60df4c7ed876c,Amragupta,TasyaApatyam,Descendant. (4.1.92),PiY,AmraguptAyani,1,4.1.157,kashika_4_1.rs:788,0,source_conditioned_relation_not_independent_nominal_count
738ed6cdf6f906fe164a,ApaRa,Avakraya,What is taxed. (4.4.50),Wak,ApaRika,1,4.4.50,kashika_4_4.rs:359,0,source_conditioned_relation_not_independent_nominal_count
28232eaadd50a1537b58,ApaRa,Niyuktam,Where one is appointed. (4.4.69),Wak,ApaRika,1,4.4.69,kashika_4_4.rs:474,0,source_conditioned_relation_not_independent_nominal_count
75ce017d21a97b9bfbd2,ApaRa,TasyaDharmyam,One who has this custom. (4.4.47),Wak,ApaRika,1,4.4.47,kashika_4_4.rs:334,0,source_conditioned_relation_not_independent_nominal_count
9cb803cabda2ea178c03,Aprapada,Prapnoti,Obtains. (5.2.8),Ka,AprapadIna,1,5.2.8,kashika_5_2.rs:73,0,source_conditioned_relation_not_independent_nominal_count
9c22db3eb9f6a3f32c03,ArdrA,TatraJata,Where this was born. (4.3.25),vun,Ardraka,1,4.3.28,kashika_4_3.rs:110,0,source_conditioned_relation_not_independent_nominal_count
a9d1670dd1a5218141a6,AsutI,TadAsyaAstiAsmin,What one has or is in. (5.2.94),valac,AsutIvala,1,5.2.112,kashika_5_2.rs:432,0,source_conditioned_relation_not_independent_nominal_count
84be76bc0c9150a3e571,Atman,TasmaiHitam,One for whom this is good. (5.1.7),Ka,AtmanIna,1,5.1.9,kashika_5_1.rs:99,0,source_conditioned_relation_not_independent_nominal_count
d624d087695355e59a5f,AvasaTa,Vasati,Who dwells here. (4.4.73),zWal,AvasaTika,1,4.4.74,kashika_4_4.rs:509,0,source_conditioned_relation_not_independent_nominal_count
e61b7c7c6c1317026fb7,AyuDa,TenaJivati,One who lives with this. (4.4.12),Ca,AyuDIya,1,4.4.14,kashika_4_4.rs:110,0,source_conditioned_relation_not_independent_nominal_count
1d7811b0c56ad35f5ce8,AyuDa,TenaJivati,One who lives with this. (4.4.12),Wan,AyuDika,1,4.4.14,kashika_4_4.rs:109,0,source_conditioned_relation_not_independent_nominal_count
a6d4ad576f9dfec9c046,BARqAgAra,Niyuktam,Where one is appointed. (4.4.69),Wan,BARqAgArika,1,4.4.70,kashika_4_4.rs:483,0,source_conditioned_relation_not_independent_nominal_count
d1a637a937d1c1797f79,BAga,TadAsminVrddhiAyaLabhaSulkaUpada,"In which this is an interest, rent, profit, tax, or bribe. (5.1.47)",Wan,BAgika,1,5.1.49,kashika_5_1.rs:322,0,source_conditioned_relation_not_independent_nominal_count
b868fa2f90e7f2851eef,BAga,TadAsminVrddhiAyaLabhaSulkaUpada,"In which this is an interest, rent, profit, tax, or bribe. (5.1.47)",yat,BAgya,1,5.1.49,kashika_5_1.rs:321,0,source_conditioned_relation_not_independent_nominal_count
0da1c380eb6dfde69b7c,BAnu,TasyaApatyam,Descendant. (4.1.92),aR,BAnava,1,4.1.92,kashika_4_1.rs:459,0,source_conditioned_relation_not_independent_nominal_count
1fdcecfdaee293e22035,BOriki,TasyaVishayoDeshe,A domain of this. (4.2.52),viDal,BOrikiviDa,1,4.2.54,kashika_4_2.rs:242,0,source_conditioned_relation_not_independent_nominal_count
4abe1ff0b539ac3e7457,BadradAru,TasyaVikara,Modification of this. (4.3.134),aY,BAdradArava,1,4.3.139,kashika_4_3.rs:457,0,source_conditioned_relation_not_independent_nominal_count
f13148196109c1b4246a,Bakta,TadAsmaiDiyateNiyuktam,To whom this is given rightfully. (4.4.66),Wak,BAktika,1,4.4.68,kashika_4_4.rs:467,0,source_conditioned_relation_not_independent_nominal_count
95de3e2e3c86d856184f,Bakta,TadAsmaiDiyateNiyuktam,To whom this is given rightfully. (4.4.66),aR,BAkta,1,4.4.68,kashika_4_4.rs:466,0,source_conditioned_relation_not_independent_nominal_count
0c3d30b51873dada5bbc,Bakta,TatraSadhu,Skilled in this. (4.4.98),Ra,BAkta,1,4.4.100,kashika_4_4.rs:646,0,source_conditioned_relation_not_independent_nominal_count
8d6d52b40727b485f185,Barawa,TenaHarati,One who conveys with this. (4.4.15),zWan,Barawika,1,4.4.16,kashika_4_4.rs:122,0,source_conditioned_relation_not_independent_nominal_count
8e7ad1c96b4693276230,Barga,Gotra,Patronymic lineage. (4.1.98),PaY,BArgAyaRa,1,4.1.111,kashika_4_1.rs:575,0,source_conditioned_relation_not_independent_nominal_count
8ba365fa829b49b0ff3c,Barga,Gotra,Patronymic lineage. (4.1.98),iY,BArgi,1,4.1.111,kashika_4_1.rs:576,0,source_conditioned_relation_not_independent_nominal_count
070e65aaeea262036cdb,Baruja,IvePratikrtau,,Wak,BArujika,1,5.3.108,kashika_5_3.rs:385,0,source_conditioned_relation_not_independent_nominal_count
