member_id,source_layer,operation_id,forms_slp1,semantic_relation,domain,form_variant_count
base:broad_taddhita:5e589811f7844a9620f2,base:broad_taddhita,state_tva,Bavanatva,the state or defining quality denoted by the nominal base,laukika,1
base:broad_taddhita:2a1e8aeeeed55b87c667,base:broad_taddhita,state_tva,eDanatva,the state or defining quality denoted by the nominal base,laukika,1
base:broad_taddhita:2055cfb25d478ad91fdc,base:broad_taddhita,state_tva,sparDanatva,the state or defining quality denoted by the nominal base,laukika,1
base:broad_taddhita:7185d52a5309754fb804,base:broad_taddhita,state_tva,gADanatva,the state or defining quality denoted by the nominal base,laukika,1
base:first_nominal:conditioned_krdanta:ced58d06e8c232a7ca6f,base:conditioned_krdanta,action_ktin,BUti,"the action or state expressed by the base, formed as a feminine nominal",laukika,1
base:first_nominal:conditioned_krdanta:c2d90f3d9e294153b7ee,base:conditioned_krdanta,action_ktin,edDi,"the action or state expressed by the base, formed as a feminine nominal",laukika,1
base:first_nominal:conditioned_krdanta:30df8a24af752db3ce3d,base:conditioned_krdanta,action_ktin,sparDi;spardDi,"the action or state expressed by the base, formed as a feminine nominal",laukika,2
base:first_nominal:conditioned_krdanta:269c696cfe54906733fc,base:conditioned_krdanta,action_ktin,gAdDi,"the action or state expressed by the base, formed as a feminine nominal",laukika,1
base:conditioned_taddhita:92921fd12c8aeb1e9d96,base:conditioned_taddhita,Ka,AQakIna,"What is capable of this, or holds this, or cooks this. (5.152)",laukika,1
base:conditioned_taddhita:461094465d4a5ba652ae,base:conditioned_taddhita,Wak,AQakika,"What is capable of this, or holds this, or cooks this. (5.152)",laukika,1
base:conditioned_taddhita:3edc979fcfea69e8f6e1,base:conditioned_taddhita,Ka,ASitaNgavIna,,laukika,1
base:conditioned_taddhita:522cc5ce4315afd6bdd6,base:conditioned_taddhita,vuY,ASvayujaka,Where this was adapted. (4.3.41),laukika,1
base:first_nominal:declared:kunti,base:declared_pilot_nominal,,kuntI,कुन्ती (Kuntī),laukika,1
base:first_nominal:declared:suparna,base:declared_pilot_nominal,,suparRA,सुपर्णा (Suparṇā),laukika,1
base:first_nominal:declared:vinata,base:declared_pilot_nominal,,vinatA,विनता (Vinatā),laukika,1
base:first_nominal:declared:mitra,base:declared_pilot_nominal,,mitra,मित्र (mitra),laukika,1
base:first_nominal:direct_krdanta:073a08498247064e9cd4,base:direct_krdanta,action_lyut,Bavana,the action or state expressed by the base,laukika,1
base:first_nominal:direct_krdanta:692170858767473a1cda,base:direct_krdanta,action_lyut,eDana,the action or state expressed by the base,laukika,1
base:first_nominal:direct_krdanta:9f893830b9f3011d1272,base:direct_krdanta,action_lyut,sparDana,the action or state expressed by the base,laukika,1
base:first_nominal:direct_krdanta:71ff99e966b04694ca4c,base:direct_krdanta,action_lyut,gADana,the action or state expressed by the base,laukika,1
base:first_nominal:prefixed_krdanta:27e5367e9ec0f172d559,base:prefixed_krdanta,agent_nvul,praBAvaka,an agent who performs the base action from the prefixed verbal meaning,laukika,1
base:first_nominal:prefixed_krdanta:22eab9929d04beb3be62,base:prefixed_krdanta,agent_nvul,prEDaka,an agent who performs the base action from the prefixed verbal meaning,laukika,1
