operation_id,krt_source_variant,operation_display,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,semantic_branch_id,semantic_relation,rule_refs,output_forms_slp1,reason,count_status
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0001"", ""meaning-4f8785226893""]",01.0001,BU,sattAyAm,सत्तायाम् (sattāyām),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0002"", ""meaning-7e172f9d8575""]",01.0002,eDa~\,vfdDO,वृद्धौ (vṛddhau),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0003"", ""meaning-eaa4c9581c6b""]",01.0003,sparDa~\,saNGarze,सङ्घर्षे (saṅgharṣe),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0004"", ""meaning-412d054d7980""]",01.0004,gADf~\,lipsAyAm,लिप्सायाम् (lipsāyām),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0004"", ""meaning-83e37f3a87c4""]",01.0004,gADf~\,pratizWAyAm,प्रतिष्ठायाम् (pratiṣṭhāyām),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0004"", ""meaning-b687ba9bbadc""]",01.0004,gADf~\,granTe,ग्रन्थे (granthe),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0005"", ""meaning-476077c1bded""]",01.0005,bADf~\,loqane,लोडने (loḍane),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0005"", ""meaning-7cf338b886ec""]",01.0005,bADf~\,rowane,रोटने (roṭane),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0006"", ""meaning-8db8a7c441d3""]",01.0006,nADf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
obligation_kyap,kyap,"क्यप् (kyap), obligation or fitness","[""01.0006"", ""meaning-ade77b0908ab""]",01.0006,nADf~\,ESvarye,ऐश्वर्ये (aiśvarye),obligation_or_fitness,the base action is to be performed or is fitting to be performed,3.1.97;3.1.124,,"The selected krt identifier produced no form for any source entry carrying this base meaning; the row is outside this operation, not rejected for lack of attestation.",not_admitted_engine_and_rule_condition_unmet
