derived_word_meaning_id,candidate_relation_id,compound_word_meaning_id,compound_type,input_forms_slp1,input_semantic_relation,operation_family,operation_id,source_variant,semantic_context,semantic_branch_id,semantic_relation,rule_refs,derivational_depth,output_forms_slp1,output_variant_count,output_form_class,generation_method,admission_basis,count_status
c864c51f821b5bc66a70,9106d85f68d14cc8c1ef,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,abrAhmaRatva,1,derived_nominal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
65b8a5f5d6b5e47bde7c,b78f748c4e1a199dc33b,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,abrAhmaRatA,1,derived_nominal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
dd0681743b85f27707af,adca8e694755957aae96,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,abrAhmaRavat,1,derived_nominal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
98ccd30ee92ef213b232,b72950bd43fe86e2aeb6,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,abrAhmaRatama,1,derived_nominal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
67739d0a7847dc178412,1c0ee1f93a95dfaec3d2,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,abrAhmaRatara,1,derived_nominal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
653996470a251f0a3d9e,07501c9775aee89c99e3,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,abrAhmaRIya,1,derived_verbal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
f52137344cf116e69531,b85234bb79dba7f0700e,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,abrAhmaRakAmya,1,derived_verbal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
51117bb33cb803735478,6c605d1a8256a8fc3dd9,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,abrAhmaRIya,1,derived_verbal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
7b042912bed4f4998135,401fa6728ff991b2293f,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2,abrAhmaRAya,1,derived_verbal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
8e898912f62056232863,30ad88a515812be1ca96,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,avfzalatva,1,derived_nominal_base,vidyut_0_4_0_python,source_compound_meaning_plus_established_semantic_operation_plus_reproduced_form,admitted_research_ledger
