sample_id,relation_id,vidyut_helper,first_member_slp1,second_member_slp1,semantic_relation,rule_refs,generated_forms_slp1,output_variant_count,derivation_paths_json,verification_status
88e458711a7260977db3,sasthi_tatpurusha,sasthi_tatpurusha,kuntI,vatsa,the second nominal meaning in a genitive relation to the first,2.2.8,kuntIvatsa,1,"[{""form_slp1"":""kuntIvatsa"",""path"":[{""result"":""kuntI"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + Nas + vatsa"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + Nas + vatsa"",""rule"":""1.4.3"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + Nas + vatsa"",""rule"":""2.2.8"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + Nas + vatsa"",""rule"":""1.4.3"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""kuMtI +  + vatsa"",""rule"":""8.3.24"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""8.4.58"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
43d3962ca96a97411aea,sasthi_tatpurusha,sasthi_tatpurusha,madra,suparRA,the second nominal meaning in a genitive relation to the first,2.2.8,madrasuparRA,1,"[{""form_slp1"":""madrasuparRA"",""path"":[{""result"":""madra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""madra + Nas + suparRA"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""madra + Nas + suparRA"",""rule"":""2.2.8"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
b60c2e7d4e8cd71c24c5,sasthi_tatpurusha,sasthi_tatpurusha,vinatA,kuntI,the second nominal meaning in a genitive relation to the first,2.2.8,vinatAkuntI,1,"[{""form_slp1"":""vinatAkuntI"",""path"":[{""result"":""vinatA"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vinatA + Nas + kuntI"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vinatA + Nas + kuntI"",""rule"":""2.2.8"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuMtI"",""rule"":""8.3.24"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""8.4.58"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
26b5d64cf2745fb3f01f,sasthi_tatpurusha,sasthi_tatpurusha,vatsa,madra,the second nominal meaning in a genitive relation to the first,2.2.8,vatsamadra,1,"[{""form_slp1"":""vatsamadra"",""path"":[{""result"":""vatsa"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vatsa + Nas + madra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vatsa + Nas + madra"",""rule"":""2.2.8"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
be4131b79f915161f966,bahuvrihi,bahuvrihi,kuntI,vatsa,an external referent characterized through the first and second nominal meanings,2.2.24,kuntIvatsa,1,"[{""form_slp1"":""kuntIvatsa"",""path"":[{""result"":""kuntI"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.4.3"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""2.2.24"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.4.3"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""kuMtI +  + vatsa"",""rule"":""8.3.24"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""8.4.58"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
4a2244c71a832f714e30,bahuvrihi,bahuvrihi,madra,suparRA,an external referent characterized through the first and second nominal meanings,2.2.24,madrasuparRA,1,"[{""form_slp1"":""madrasuparRA"",""path"":[{""result"":""madra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""2.2.24"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
cd3258cd467ce0ffa62f,bahuvrihi,bahuvrihi,vinatA,kuntI,an external referent characterized through the first and second nominal meanings,2.2.24,vinatAkuntI,1,"[{""form_slp1"":""vinatAkuntI"",""path"":[{""result"":""vinatA"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vinatA + su~ + kuntI"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vinatA + su~ + kuntI"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""vinatA + su~ + kuntI"",""rule"":""2.2.24"",""rule_source"":""azwADyAyI""},{""result"":""vinatA + su~ + kuntI"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuMtI"",""rule"":""8.3.24"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""8.4.58"",""rule_source"":""azwADyAyI""},{""result"":""vinatA +  + kuntI"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
4ee8ddd750a3829097eb,bahuvrihi,bahuvrihi,vatsa,madra,an external referent characterized through the first and second nominal meanings,2.2.24,vatsamadra,1,"[{""form_slp1"":""vatsamadra"",""path"":[{""result"":""vatsa"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vatsa + su~ + madra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""vatsa + su~ + madra"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""vatsa + su~ + madra"",""rule"":""2.2.24"",""rule_source"":""azwADyAyI""},{""result"":""vatsa + su~ + madra"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""vatsa +  + madra"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
3826ce919c206cc81e05,dvandva,dvandva,kuntI,vatsa,the first and second nominal meanings taken together,2.2.29,kuntIvatsa,1,"[{""form_slp1"":""kuntIvatsa"",""path"":[{""result"":""kuntI"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.4.3"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""2.2.29"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.4.3"",""rule_source"":""azwADyAyI""},{""result"":""kuntI + su~ + vatsa"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""kuMtI +  + vatsa"",""rule"":""8.3.24"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""8.4.58"",""rule_source"":""azwADyAyI""},{""result"":""kuntI +  + vatsa"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
ae5ec8431067f833bff4,dvandva,dvandva,madra,suparRA,the first and second nominal meanings taken together,2.2.29,madrasuparRA,1,"[{""form_slp1"":""madrasuparRA"",""path"":[{""result"":""madra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""2.2.29"",""rule_source"":""azwADyAyI""},{""result"":""madra + su~ + suparRA"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""madra +  + suparRA"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",locally_regenerated_at_pinned_vidyut_commit
