stri_relation_id,input_form_slp1,semantic_relation,expected_nominative_forms_slp1,expected_variant_count,source_rule_refs,source_assertion_ids,source_assertion_count,eligibility_status
c4be09c841b2d07d6e9a,BastraPala,feminine counterpart of the demonstrated nominal base,BastraPalA,1,4.1.4,5bee5b6067f689388932,1,source_demonstrated_candidate
b3896ca6569f2263d658,Bava,feminine counterpart of the demonstrated nominal base,BavAnI,1,4.1.49,295131a61a8a8d09ed9d,1,source_demonstrated_candidate
a63b4486588094c57034,Bavat,feminine counterpart of the demonstrated nominal base,BavatI,1,4.1.6,0586cd55359169d17960,1,source_demonstrated_candidate
1722c039a904ac104ac0,Catrin,feminine counterpart of the demonstrated nominal base,CatriRI,1,4.1.5,8a641cdd1fbd1a53e6e9,1,source_demonstrated_candidate
27e0a24e6ff40b423669,DIvan,feminine counterpart of the demonstrated nominal base,DIvarI,1,4.1.7,ab02499b803c8733b961,1,source_demonstrated_candidate
d66ae578b475b8ae94ed,Kanaka,feminine counterpart of the demonstrated nominal base,KanakI,1,4.1.41,dd0d6d3a5aa5ad7a2c8f,1,source_demonstrated_candidate
ea4cb3f923c63695fcd8,SaRaPala,feminine counterpart of the demonstrated nominal base,SaRaPalA,1,4.1.4,0c2833c62762500aba84,1,source_demonstrated_candidate
050e6c4a87ed9448bba8,Sarva,feminine counterpart of the demonstrated nominal base,SarvARI,1,4.1.49,3c2c8f62656e99a2de59,1,source_demonstrated_candidate
17c43b441c5a66f1f9f5,Sarvan,feminine counterpart of the demonstrated nominal base,SarvarI,1,4.1.7,241ea8172598642d88f8,1,source_demonstrated_candidate
d95975e2afd61c68c7b2,Satapuzpa,feminine counterpart of the demonstrated nominal base,SatapuzpA,1,4.1.4,0fb1fc13a0bfb521690d,1,source_demonstrated_candidate
8cb4e987c1fea56aaad0,SvaSura,feminine counterpart of the demonstrated nominal base,SvaSrUH,1,4.1.68,a5f823d300e726c9825a,1,source_demonstrated_candidate
812e5fe6506088615c36,aSiSu,feminine counterpart of the demonstrated nominal base,aSiSvI,1,4.1.62,d14df839c11fedc59218,1,source_demonstrated_candidate
7f7a91bbf5b5cbd8aab4,aSva,feminine counterpart of the demonstrated nominal base,aSvA,1,4.1.4,364bcbda88f85e30573c,1,source_demonstrated_candidate
7d523c50d310bbbbf484,aja,feminine counterpart of the demonstrated nominal base,ajA,1,4.1.4,31f858a11b53050c4867;bd92927e884fa32395eb,2,source_demonstrated_candidate
d0f91f2581b7be6ab51a,ajinaPala,feminine counterpart of the demonstrated nominal base,ajinaPalA,1,4.1.4,b74f087acb6e21d51b78,1,source_demonstrated_candidate
15903a617234f9e952a7,araRya,feminine counterpart of the demonstrated nominal base,araRyAnI,1,4.1.49,6e4bcb651c7d4aa5f365,1,source_demonstrated_candidate
5c3201f068764a5c88aa,atiBavat,feminine counterpart of the demonstrated nominal base,atiBavatI,1,4.1.6,7dd3fa8c2d41a16afa51,1,source_demonstrated_candidate
4a76755b4d9fcbefe752,bAla,feminine counterpart of the demonstrated nominal base,bAlA;bAlI,2,4.1.4,db3afacb1a95b3c7a18c,1,source_demonstrated_candidate
91eb6fe2f6f584b899c1,bahu,feminine counterpart of the demonstrated nominal base,bahuH;bahvI,2,4.1.45,f98331ce7769f12de9aa,1,source_demonstrated_candidate
3bc53c6c18148347d80a,catuzpAd,feminine counterpart of the demonstrated nominal base,catuzpAt;catuzpadA;catuzpadI,3,4.1.8,6d7fb331ed5114577c6e,1,source_demonstrated_candidate
e0edbfb6ee7382071acf,cawaka,feminine counterpart of the demonstrated nominal base,cawakA,1,4.1.4,ab3027788a6022995157,1,source_demonstrated_candidate
73277133d835696daaea,daRqin,feminine counterpart of the demonstrated nominal base,daRqinI,1,4.1.5,06e73b4690fd6b2a936a,1,source_demonstrated_candidate
b14a65eeaa7b8ad80ca3,devadatta,feminine counterpart of the demonstrated nominal base,devadattA,1,4.1.4,74e2473650ef44423b68,1,source_demonstrated_candidate
7926b3537044f18f4dba,duhitf,feminine counterpart of the demonstrated nominal base,duhitA,1,4.1.10,ad5494d5079455338bdc,1,source_demonstrated_candidate
78449751d6ef7503a390,dvipAd,feminine counterpart of the demonstrated nominal base,dvipAt;dvipadA;dvipadI,3,4.1.8,f8d941f77e268af1acae,1,source_demonstrated_candidate
1137100af1701949e0d2,ekapuzpa,feminine counterpart of the demonstrated nominal base,ekapuzpA,1,4.1.4,b9acdbfbd6a7cfa7181b,1,source_demonstrated_candidate
78d369970bbf3aa65478,eqaka,feminine counterpart of the demonstrated nominal base,eqakA,1,4.1.4,cdd63ca10753c336ba1f,1,source_demonstrated_candidate
8a10733c0114be3c7e24,gOra,feminine counterpart of the demonstrated nominal base,gOrI,1,4.1.41,44151ccf33727fe771eb,1,source_demonstrated_candidate
74383e6e5c7e9b9b1227,hartf,feminine counterpart of the demonstrated nominal base,hartrI,1,4.1.5,d8475a7cf9df623b2a49,1,source_demonstrated_candidate
341db3701d742aba53cc,hima,feminine counterpart of the demonstrated nominal base,himAnI,1,4.1.49,8a2ed24d7d2e04d84384,1,source_demonstrated_candidate
c6b8e7e6b8290c7ed34c,hoQa,feminine counterpart of the demonstrated nominal base,hoQA,1,4.1.4,3499b0dfdb9f478b1990,1,source_demonstrated_candidate
0660a5f637b1f2d38780,indra,feminine counterpart of the demonstrated nominal base,indrARI,1,4.1.49,94ed3dfa6be2a38757e4,1,source_demonstrated_candidate
954961ce49ec14c4517b,kARqapuzpa,feminine counterpart of the demonstrated nominal base,kARqapuzpA,1,4.1.4,5585856280993449ba0a,1,source_demonstrated_candidate
e1cf0f7c0aedf82a8f2b,kartf,feminine counterpart of the demonstrated nominal base,kartrI,1,4.1.5,881092491d22cc070c16,1,source_demonstrated_candidate
10a7ca760350337dd1e0,kokila,feminine counterpart of the demonstrated nominal base,kokilA,1,4.1.4,d3648b7ddefed73fe8f0,1,source_demonstrated_candidate
b8d7e11ca0baabb7da85,mAtf,feminine counterpart of the demonstrated nominal base,mAtA,1,4.1.10,53d3fc79c7aadd4c0fdb,1,source_demonstrated_candidate
34c383c50de955e67ce5,mAtula,feminine counterpart of the demonstrated nominal base,mAtulAnI,1,4.1.49,e5ce2d53cc2227513201,1,source_demonstrated_candidate
1a7cd0496c4ffb6b3764,mUzika,feminine counterpart of the demonstrated nominal base,mUzikA,1,4.1.4,0a454b6cfff2433b1478,1,source_demonstrated_candidate
d9aaca07b0d92df8c1fd,manda,feminine counterpart of the demonstrated nominal base,mandA,1,4.1.4,6a246f7a281314e832f7,1,source_demonstrated_candidate
b0855e2ae33a3e4a9361,matsya,feminine counterpart of the demonstrated nominal base,matsI,1,4.1.41,09d87c80ccebb9ea5e9a,1,source_demonstrated_candidate
deec172272dceb961894,mfqa,feminine counterpart of the demonstrated nominal base,mfqAnI,1,4.1.49,0682e58468452c691a23,1,source_demonstrated_candidate
b1b15cfb45e33f7c505a,nanAndf,feminine counterpart of the demonstrated nominal base,nanAndA,1,4.1.10,2638e08ca06c77825449,1,source_demonstrated_candidate
7ab3f6761e174e55c9e0,nartaka,feminine counterpart of the demonstrated nominal base,nartakI,1,4.1.41,e7cfbe92994f1e8ad7b4,1,source_demonstrated_candidate
280df6635c9d1b92f265,pAka,feminine counterpart of the demonstrated nominal base,pAkA,1,4.1.4,1c0933f1913524cdd76c,1,source_demonstrated_candidate
4eacf88a278ed2fb182b,pIvan,feminine counterpart of the demonstrated nominal base,pIvarI,1,4.1.7,b5285e631a71ffa8b4ce,1,source_demonstrated_candidate
798e33d5996f63a0d086,paNgu,feminine counterpart of the demonstrated nominal base,paNgUH,1,4.1.68,fecfd01d024a3b9eb9b2,1,source_demonstrated_candidate
697b4cf622f7d4002ac4,pacat,feminine counterpart of the demonstrated nominal base,pacantI,1,4.1.6,5968503d936beffebb4c,1,source_demonstrated_candidate
c3a4417261c0a4b0989d,piRqaPala,feminine counterpart of the demonstrated nominal base,piRqaPalA,1,4.1.4,a807471f1bf9a5682223,1,source_demonstrated_candidate
cc364379dd64ae68fe89,prAkpuzpa,feminine counterpart of the demonstrated nominal base,prAkpuzpA,1,4.1.4,43dff37dfcba543a90d8,1,source_demonstrated_candidate
a6902eddd4157d6932af,prAntapuzpa,feminine counterpart of the demonstrated nominal base,prAntapuzpA,1,4.1.4,29dd8641f0503a04b782,1,source_demonstrated_candidate
3fd85ea5e07070c868f5,rajaka,feminine counterpart of the demonstrated nominal base,rajakI,1,4.1.41,e44a50c202cfe15a7201,1,source_demonstrated_candidate
9c72efd253986f7bb6a7,rudra,feminine counterpart of the demonstrated nominal base,rudrARI,1,4.1.49,07a24fadda1f69770d87,1,source_demonstrated_candidate
371cf69c636cd27abd25,saKi,feminine counterpart of the demonstrated nominal base,saKI,1,4.1.62,b0aaac2c6edf1fc062e9,1,source_demonstrated_candidate
db3ac028ccf708e98852,samPala,feminine counterpart of the demonstrated nominal base,samPalA,1,4.1.4,bd292e57447fc9e44608,1,source_demonstrated_candidate
a3d829b5c8c5ae73676a,satpuzpa,feminine counterpart of the demonstrated nominal base,satpuzpA,1,4.1.4,bdefca1e64996ebbb18b,1,source_demonstrated_candidate
1e74d7b1a6f0a224acbb,svasf,feminine counterpart of the demonstrated nominal base,svasA,1,4.1.10,f3c77414144a26bd8ec5,1,source_demonstrated_candidate
c004db8e1e32aa7443df,triPala,feminine counterpart of the demonstrated nominal base,triPalA,1,4.1.4,f28ef6d64f91ba15fa18,1,source_demonstrated_candidate
b05a0cf2e0570dd6687d,tripAd,feminine counterpart of the demonstrated nominal base,tripAt;tripadA;tripadI,3,4.1.8,77d19a66ba3cd50d3c23,1,source_demonstrated_candidate
a6b078d657855a82bf99,varuRa,feminine counterpart of the demonstrated nominal base,varuRAnI,1,4.1.49,cc1676117b16b9521a05,1,source_demonstrated_candidate
492eb5c1d4190be7214c,vatsa,feminine counterpart of the demonstrated nominal base,vatsA,1,4.1.4,7db759b98f65153c1847,1,source_demonstrated_candidate
bc8252161cc5b0c1f41e,vilAta,feminine counterpart of the demonstrated nominal base,vilAtA,1,4.1.4,90c3b651e30e627b4e21,1,source_demonstrated_candidate
122283329c4d4d657981,yAtf,feminine counterpart of the demonstrated nominal base,yAtA,1,4.1.10,172efc2852260e30dd35,1,source_demonstrated_candidate
83e4963d65967d2b5d79,yajat,feminine counterpart of the demonstrated nominal base,yajantI,1,4.1.6,b83dee0e0d43ced56796,1,source_demonstrated_candidate
302ce8403de986be7edb,yava,feminine counterpart of the demonstrated nominal base,yavAnI,1,4.1.49,b9f0167655e40ef01ba6,1,source_demonstrated_candidate
00115868b0a52ec032f7,yavana,feminine counterpart of the demonstrated nominal base,yavanAnI,1,4.1.49,42cc257ddd27ea710717,1,source_demonstrated_candidate
