root,particles,pattern,mw_derivatives,valency_path_c,tokens
kṛ,2,CV,75,1062,50155
bhū,2,CV,55,504,44848
sthā,3,CCV,55,166,15989
dā,2,CV,45,176,17897
dhā,2,CV,40,386,17082
jñā,2,CV,40,176,9816
hṛ,2,CV,40,368,9296
nī,2,CV,40,253,5852
as,2,VC,40,75,36765
jan,3,CVC,40,108,11478
vid,3,CVC,40,69,11773
vṛt,3,CVC,40,293,8572
yuj,3,CVC,35,172,10312
dṛś,3,CVC,35,79,15392
ji,2,CV,30,100,5666
mṛ,2,CV,30,28,2665
vṛ,2,CV,30,121,5094
i,1,V,30,59,4271
iṣ,2,VC,30,16,4844
pat,3,CVC,30,164,6052
yam,3,CVC,30,146,5299
labh,3,CVC,30,100,5263
car,3,CVC,30,170,7504
dhṛ,2,CV,30,48,1506
pad,3,CVC,30,207,7629
man,3,CVC,30,74,6008
muc,3,CVC,30,135,6170
bhuj,3,CVC,30,80,3076
yaj,3,CVC,30,65,7015
bandh,4,CVCC,30,104,3539
budh,3,CVC,30,89,2409
bhṛ,2,CV,28,72,2737
mā,2,CV,28,85,2734
pā,2,CV,25,79,5661
sṛ,2,CV,25,112,1356
vah,3,CVC,25,133,2676
sad,3,CVC,25,90,3020
sṛj,3,CVC,25,182,6260
yā,2,CV,25,205,10316
chid,3,CVC,25,23,2203
kram,4,CCVC,25,244,4314
naś,3,CVC,25,26,2022
kṣip,4,CCVC,25,154,4955
gā,2,CV,20,124,2915
hu,2,CV,20,47,6881
kṛp,3,CVC,20,6,14
tap,3,CVC,20,96,3111
pū,2,CV,20,45,2430
mṛd,3,CVC,20,57,833
likh,3,CVC,20,60,867
śudh,3,CVC,20,20,3171
nam,3,CVC,18,60,1293
śak,3,CVC,18,24,1961
ruh,3,CVC,18,153,2855
rudh,3,CVC,18,114,3045
yudh,3,CVC,18,46,1409
spṛś,4,CCVC,18,55,2031
mand,4,CVCC,18,12,90
vand,4,CVCC,18,28,704
yat,3,CVC,18,35,1010
sah,3,CVC,18,50,1353
duh,3,CVC,18,35,845
arc,3,VCC,18,29,638
paṭh,3,CVC,18,24,609
tud,3,CVC,18,26,159
mud,3,CVC,18,27,845
dhyā,3,CCV,18,62,1380
śrī,3,CCV,18,15,655
prach,5,CCVCC,18,11,68
krudh,4,CCVC,18,26,2250
kṣam,4,CCVC,18,17,442
śubh,3,CVC,18,15,557
ruc,3,CVC,15,30,659
vap,3,CVC,15,107,2188
ric,3,CVC,15,38,901
sic,3,CVC,15,77,1165
jval,4,CCVC,15,32,1079
bhram,4,CCVC,15,33,963
vraj,4,CCVC,15,77,1749
plu,3,CCV,15,68,1028
granth,5,CCVCC,15,16,178
śaṅk,4,CVCC,15,49,447
skand,5,CCVCC,15,28,313
arh,3,VCC,15,11,2382
nud,3,CVC,15,42,452
kṣar,4,CCVC,15,29,283
mṛj,3,CVC,12,97,1072
tṛp,3,CVC,12,25,751
svap,4,CCVC,12,22,1326
śram,4,CCVC,12,31,778
sru,3,CCV,12,60,768
guh,3,CVC,12,41,680
krand,5,CCVCC,12,26,225
mnā,3,CCV,12,11,198
syand,5,CCVCC,12,14,120
kruś,4,CCVC,12,72,540
śad,3,CVC,10,4,19
dṛp,3,CVC,10,5,107
piṣ,3,CVC,10,40,1186
spand,5,CCVCC,10,16,73
kṣudh,4,CCVC,10,4,100
gāh,3,CVC,8,53,442
klam,4,CCVC,8,3,92
klid,4,CCVC,8,12,183
gṛdh,4,CVCC,8,12,70
snih,4,CCVC,8,7,141
spṛh,4,CCVC,8,3,35
uṣ,2,VC,8,13,102
glā,3,CCV,8,10,92
pluṣ,4,CCVC,5,4,23
snu,3,CCV,5,8,23
svid,4,CCVC,5,12,397
und,3,VCC,5,17,103
hnu,3,CCV,5,16,95
heṣ,3,CVC,3,8,30
ad,2,VC,0,17,703
gam,3,CVC,0,291,29902
vac,3,CVC,0,98,38480
nṛt,3,CVC,0,30,432
bhid,3,CVC,0,72,2661
sphuṭ,4,CCVC,0,14,166
