source_example_id,source_file,source_function,source_line,rule_ref,source_test_status,helper,compound_type,member_forms_slp1,member_count,input_resolution,semantic_template,expected_forms_slp1,expected_variant_count,exclusion_reason
38ed00136788df0b,kashika_2_1.rs,sutra_2_1_6,45,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,aDi;strI,2,literal_members,indeclinable relation of {a} to {b},aDistri,1,ignored_source_test
4ad82e66211f9088,kashika_2_1.rs,sutra_2_1_6,46,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,aDi;kumArI,2,literal_members,indeclinable relation of {a} to {b},aDikumAri,1,ignored_source_test
523765c4394cf0e7,kashika_2_1.rs,sutra_2_1_6,47,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,upa;kumBa,2,literal_members,indeclinable relation of {a} to {b},upakumBam,1,ignored_source_test
bef876e2e3b45bbd,kashika_2_1.rs,sutra_2_1_6,48,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,upa;maRika,2,literal_members,indeclinable relation of {a} to {b},upamaRikam,1,ignored_source_test
e1f5bb1ce9ef1e9d,kashika_2_1.rs,sutra_2_1_6,49,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,su;madra,2,literal_members,indeclinable relation of {a} to {b},sumadram,1,ignored_source_test
61633990e41b93e4,kashika_2_1.rs,sutra_2_1_6,50,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,su;magaDa,2,literal_members,indeclinable relation of {a} to {b},sumagaDam,1,ignored_source_test
1fec672c7178b9b3,kashika_2_1.rs,sutra_2_1_6,51,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,dur;gavadika,2,literal_members,indeclinable relation of {a} to {b},durgavadikam,1,ignored_source_test
9e2419f8e608b4eb,kashika_2_1.rs,sutra_2_1_6,52,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,dur;yavana,2,literal_members,indeclinable relation of {a} to {b},duryavanam,1,ignored_source_test
e87de34612990d15,kashika_2_1.rs,sutra_2_1_6,53,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;makzika,2,literal_members,indeclinable relation of {a} to {b},nirmakzikam,1,ignored_source_test
53c8c501446b3e26,kashika_2_1.rs,sutra_2_1_6,54,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;maSaka,2,literal_members,indeclinable relation of {a} to {b},nirmaSakam,1,ignored_source_test
e33a4db591a1ee2f,kashika_2_1.rs,sutra_2_1_6,55,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,ati;hima,2,literal_members,indeclinable relation of {a} to {b},atihimam,1,ignored_source_test
26879a87f7e3a459,kashika_2_1.rs,sutra_2_1_6,56,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;hima,2,literal_members,indeclinable relation of {a} to {b},nirhimam,1,ignored_source_test
4320626b662e5c3c,kashika_2_1.rs,sutra_2_1_6,57,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;SIta,2,literal_members,indeclinable relation of {a} to {b},niHSItam;niSSItam,2,ignored_source_test
b9cc8ae118f73803,kashika_2_1.rs,sutra_2_1_6,58,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,ati;tEsfka,2,literal_members,indeclinable relation of {a} to {b},atitEsfkam,1,ignored_source_test
0bc724708d88685a,kashika_2_1.rs,sutra_2_1_6,59,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,tad;pARini,2,literal_members,indeclinable relation of {a} to {b},tatpARini,1,ignored_source_test
5a562584e09238c4,kashika_2_1.rs,sutra_2_1_6,60,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,anu;raTa,2,literal_members,indeclinable relation of {a} to {b},anuraTam,1,ignored_source_test
6b416965dc081936,kashika_2_1.rs,sutra_2_1_6,61,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,prati;arTa,2,literal_members,indeclinable relation of {a} to {b},pratyarTam,1,ignored_source_test
21723c5be211be42,kashika_2_1.rs,sutra_2_1_6,62,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,yaTA;Sakti,2,literal_members,indeclinable relation of {a} to {b},yaTASakti,1,ignored_source_test
5b7eab742703a28d,kashika_2_1.rs,sutra_2_1_6,63,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,anu;jyezWa,2,literal_members,indeclinable relation of {a} to {b},anujyezWam,1,ignored_source_test
52b019b48d0ca8d3,kashika_2_1.rs,sutra_2_1_6,64,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;cakra,2,literal_members,indeclinable relation of {a} to {b},sacakram,1,ignored_source_test
4d000243b2bee5b7,kashika_2_1.rs,sutra_2_1_6,65,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;brahman,2,literal_members,indeclinable relation of {a} to {b},sabrahma,1,ignored_source_test
22ac5034bc4e326a,kashika_2_1.rs,sutra_2_1_6,66,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;kzatra,2,literal_members,indeclinable relation of {a} to {b},sakzatram,1,ignored_source_test
ff7c4e51ac560d33,kashika_2_1.rs,sutra_2_1_6,67,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;busa,2,literal_members,indeclinable relation of {a} to {b},sabusam,1,ignored_source_test
4e67357b51febbdf,kashika_2_1.rs,sutra_2_1_6,68,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;agni,2,literal_members,indeclinable relation of {a} to {b},sAgni,1,ignored_source_test
80f6d2c014fbddac,kashika_2_1.rs,sutra_2_1_6,69,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;izwi,2,literal_members,indeclinable relation of {a} to {b},sezwi,1,ignored_source_test
8ce004181518ab99,kashika_2_1.rs,sutra_2_1_25,139,2.1.25,active,assert_has_avyaya_tatpurusha,avyaya_tatpurusha,,0,constructed_or_unresolved_member,{b} qualified by the indeclinable {a},svayanDOta,1,constructed_member_not_reconstructed_in_this_pass
1e4729aede42b3ee,kashika_2_1.rs,sutra_2_1_25,140,2.1.25,active,assert_has_avyaya_tatpurusha,avyaya_tatpurusha,,0,constructed_or_unresolved_member,{b} qualified by the indeclinable {a},svayaMvilIna,1,constructed_member_not_reconstructed_in_this_pass
74206ed15fcf079d,kashika_2_1.rs,sutra_2_1_26,147,2.1.26,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,,0,constructed_or_unresolved_member,{b} directed toward or involving {a},KawvArUQa,1,constructed_member_not_reconstructed_in_this_pass
f0b8cacc7d4a0fa6,kashika_2_1.rs,sutra_2_1_26,148,2.1.26,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,,0,constructed_or_unresolved_member,{b} directed toward or involving {a},KawvApluta,1,constructed_member_not_reconstructed_in_this_pass
f64912bb38f97c7b,kashika_2_1.rs,sutra_2_1_27,156,2.1.27,active,assert_has_avyaya_tatpurusha,avyaya_tatpurusha,,0,constructed_or_unresolved_member,{b} qualified by the indeclinable {a},sAmikfta,1,constructed_member_not_reconstructed_in_this_pass
cd045707da7499f2,kashika_2_1.rs,sutra_2_1_27,157,2.1.27,active,assert_has_avyaya_tatpurusha,avyaya_tatpurusha,,0,constructed_or_unresolved_member,{b} qualified by the indeclinable {a},sAmipIta,1,constructed_member_not_reconstructed_in_this_pass
fa50f155e772f814,kashika_2_1.rs,sutra_2_1_27,158,2.1.27,active,assert_has_avyaya_tatpurusha,avyaya_tatpurusha,,0,constructed_or_unresolved_member,{b} qualified by the indeclinable {a},sAmiBukta,1,constructed_member_not_reconstructed_in_this_pass
