id,vidyut,display,plain_function,principal_rule_refs,disposition
lat,Lat,लट् (laṭ),present,3.2.123,counted_laukika
lit,Lit,लिट् (liṭ),perfect past,3.2.115,counted_laukika
lut,Lut,लुट् (luṭ),periphrastic future,3.3.15,counted_laukika
lrt,Lrt,लृट् (lṛṭ),future,3.3.13,counted_laukika
lot,Lot,लोट् (loṭ),command or request,3.3.162,counted_laukika
lan,Lan,लङ् (laṅ),imperfect past,3.2.111,counted_laukika
vidhilin,VidhiLin,विधिलिङ् (vidhiliṅ),"possibility, prescription, or intention",3.3.161,counted_laukika
ashirlin,AshirLin,आशीर्लिङ् (āśīrliṅ),blessing or wish,3.3.173,counted_laukika
lun,Lun,लुङ् (luṅ),aorist past,3.2.110,counted_laukika
lrn,Lrn,लृङ् (lṛṅ),conditional,3.3.139,counted_laukika
let,Let,लेट् (leṭ),Vaidika verbal resource,,withheld_vaidika_domain
