source_code,normalized_citation_slp1,base_count_key,base_meaning_slp1,base_meaning_display,matched_screens,matched_tokens,output_forms_slp1,classification,rule_treatment,rationale,count_status
01.0013,madi~\,"[""01.0013"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,mAmandya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0014,spadi~\,"[""01.0014"", ""meaning-84fe2d02b5f1""]",kiYciccalane,किञ्चिच्चलने (kiñciccalane),movement,calan,pAspandya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0049,ziDa~,"[""01.0049"", ""meaning-bebe0cdf773e""]",gatyAm,गत्याम् (gatyām),gati,gaty,seziDya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0082,Srekf~\,"[""01.0082"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SeSrekya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0086,sekf~\,"[""01.0086"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,sesekya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0087,srekf~\,"[""01.0087"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,sesrekya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0088,sraki~\,"[""01.0088"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,sAsraNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0089,Sraki~\,"[""01.0089"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASraNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0090,Slaki~\,"[""01.0090"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,SASlaNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0099,kaki~\,"[""01.0099"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,cAkaNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
01.0100,vaki~\,"[""01.0100"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,vAvaNkya,direct_movement,3.1.23_crooked_movement_candidate,"The source meaning itself denotes going, movement, motion, flight, swimming, or reaching; classify under 3.1.23 pending lexical admission.",lexical_admission_review_pending
