candidate_relation_id,compound_word_meaning_id,compound_type,input_forms_slp1,input_semantic_relation,operation_family,operation_id,source_variant,semantic_context,semantic_branch_id,semantic_relation,rule_refs,derivational_depth
9106d85f68d14cc8c1ef,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2
b78f748c4e1a199dc33b,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2
adca8e694755957aae96,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2
b72950bd43fe86e2aeb6,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2
1c0ee1f93a95dfaec3d2,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2
07501c9775aee89c99e3,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2
b85234bb79dba7f0700e,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2
6c605d1a8256a8fc3dd9,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2
401fa6728ff991b2293f,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2
30ad88a515812be1ca96,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2
cd74abcabad76d16fdba,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2
5b84b63884d98fdec6fe,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2
9315ba9f6ba3c959bef4,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2
94ad0a3d4df57bf1da04,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2
f4ed9ef8b027a343e2a2,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2
0c3f9f6b1e20a30c7bae,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2
b6642bb18e4c487698d4,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2
29a46b0e52eeb4c0e46f,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,namadhatu,agent_comparison_kyang,kyaN,UpamanaKartrAcara,upamana_kartr_acara,act like the compound referent,3.1.11,2
fa613e9e4e86e52d3292,1e5790590e79c410,caturthi_tatpurusha,aSvahita,hita for aSva,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2
441e7cdad0df60c23f7a,1e5790590e79c410,caturthi_tatpurusha,aSvahita,hita for aSva,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2
