relation_id,display,rule_refs,pair_model,disposition,meaning_template,counting_basis
sasthi_tatpurusha,षष्ठी-तत्पुरुषः (ṣaṣṭhī-tatpuruṣaḥ),2.2.8,ordered_with_self,symbolic_capacity_count,the second nominal meaning in a genitive relation to the first,The rule admits mutually related members in a genitive relation. A self-pair can express a distinct recursive or contrastive relation and is not removed merely because both member identities match.
bahuvrihi,बहुव्रीहिः (bahuvrīhiḥ),2.2.24,ordered_distinct,symbolic_capacity_count,an external referent characterized through the first and second nominal meanings,The compound denotes another referent. Member order is retained; identical member identities are withheld from this first capacity model.
dvandva,द्वन्द्वः (dvandvaḥ),2.2.29,unordered_distinct,symbolic_capacity_count,the first and second nominal meanings taken together,Reversing the two semantic members does not create another coordination meaning in this count. Identical member identities are excluded.
samahara_dvandva,समाहार-द्वन्द्वः (samāhāra-dvandvaḥ),2.2.29,unordered_distinct,symbolic_capacity_count,the first and second nominal meanings taken as one collection,The collective reading is distinct from ordinary coordination. Reversal and identical-member duplication are excluded.
avyayibhava,avyayibhava,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
avyaya_tatpurusha,avyaya tatpurusha,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
dvitiya_tatpurusha,dvitiya tatpurusha,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
trtiya_tatpurusha,trtiya tatpurusha,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
caturthi_tatpurusha,caturthi tatpurusha,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
panchami_tatpurusha,panchami tatpurusha,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
saptami_tatpurusha,saptami tatpurusha,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
karmadharaya,karmadharaya,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
dvigu,dvigu,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
ekadeshin,ekadeshin,,source_conditioned,retain_source_examples_only,,The current member inventory does not independently classify the lexical or semantic condition required for a broad multiplier.
