source_variant,visible_suffix,engine_path_classification,direct_source_entries_with_output,one_prefix_source_entry_pairs_with_output,selected_semantic_operations,count_status
Aluc,Alu,direct_root_conditioned_coverage,4,0,0,deferred_pending_semantic_or_construction_model
Aru,Aru,direct_root_conditioned_coverage,2,0,0,deferred_pending_semantic_or_construction_model
Ga,a,direct_full_source_entry_coverage,2229,0,2,selected_for_bounded_semantic_generation
GaY,a,direct_root_conditioned_coverage,1771,0,0,deferred_pending_semantic_or_construction_model
GinuR,in,direct_root_conditioned_coverage,22,0,0,deferred_pending_semantic_or_construction_model
Gurac,ura,direct_root_conditioned_coverage,6,0,0,deferred_pending_semantic_or_construction_model
KaS,a,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
Kac,a,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
Kal,a,direct_root_conditioned_coverage,11,0,0,deferred_pending_semantic_or_construction_model
KizRuc,izRu,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
KukaY,uka,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
Kyun,ana,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
Nvanip,van,direct_root_conditioned_coverage,2,0,0,deferred_pending_semantic_or_construction_model
Ra,a,direct_root_conditioned_coverage,81,0,0,deferred_pending_semantic_or_construction_model
Rini,in,direct_full_source_entry_coverage,2229,0,0,deferred_pending_semantic_or_construction_model
Rvi,,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
Rvuc,aka,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
Ryuw,ana,direct_root_conditioned_coverage,3,0,0,deferred_pending_semantic_or_construction_model
SAnan,Ana,direct_root_conditioned_coverage,3,0,0,deferred_pending_semantic_or_construction_model
Sa,a,direct_root_conditioned_coverage,9,0,0,deferred_pending_semantic_or_construction_model
Takan,Taka,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
Uka,Uka,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
Yyuw,ana,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
a,a,direct_root_conditioned_coverage,815,0,0,deferred_pending_semantic_or_construction_model
aN,a,direct_root_conditioned_coverage,4,0,0,deferred_pending_semantic_or_construction_model
aR,a,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
aTuc,aTu,direct_root_conditioned_coverage,12,0,0,deferred_pending_semantic_or_construction_model
ac,a,direct_root_conditioned_coverage,1687,0,1,selected_for_bounded_semantic_generation
ani,ani,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
ap,a,direct_root_conditioned_coverage,102,0,0,deferred_pending_semantic_or_construction_model
atfn,at,direct_root_conditioned_coverage,3,0,0,deferred_pending_semantic_or_construction_model
cAnaS,Ana,direct_root_conditioned_coverage,2226,0,3,selected_for_bounded_semantic_generation
iY,i,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
ika,ika,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
ikavaka,ikavaka,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
in_,in,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
ini,in,prefix_conditioned_coverage,0,1,0,deferred_pending_semantic_or_construction_model
itra,itra,direct_root_conditioned_coverage,17,0,0,deferred_pending_semantic_or_construction_model
izRuc,izRu,direct_root_conditioned_coverage,10,0,0,deferred_pending_semantic_or_construction_model
ka,a,direct_root_conditioned_coverage,545,0,0,deferred_pending_semantic_or_construction_model
kaY,a,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
kap,a,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
kelimar,elima,direct_full_source_entry_coverage,2229,0,1,selected_for_bounded_semantic_generation
ki,i,prefix_conditioned_coverage,0,114,0,deferred_pending_semantic_or_construction_model
kin,i,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
klukan,luka,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
kmarac,mara,direct_root_conditioned_coverage,4,0,0,deferred_pending_semantic_or_construction_model
knu,nu,direct_root_conditioned_coverage,6,0,0,deferred_pending_semantic_or_construction_model
kru,ru,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
krukan,ruka,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
ksnu,snu,direct_root_conditioned_coverage,7,0,0,deferred_pending_semantic_or_construction_model
ktic,ti,direct_full_source_entry_coverage,2229,0,1,selected_for_bounded_semantic_generation
ktin,ti,direct_full_source_entry_coverage,2229,0,1,selected_for_bounded_semantic_generation
ktri,tri,direct_root_conditioned_coverage,10,0,0,deferred_pending_semantic_or_construction_model
kurac,ura,direct_root_conditioned_coverage,3,0,0,deferred_pending_semantic_or_construction_model
kvanip,van,direct_root_conditioned_coverage,34,0,0,deferred_pending_semantic_or_construction_model
kvarap,vara,direct_root_conditioned_coverage,7,0,0,deferred_pending_semantic_or_construction_model
kvasu,vas,direct_full_source_entry_coverage,2229,0,0,deferred_pending_semantic_or_construction_model
kvin,,direct_root_conditioned_coverage,9,0,0,deferred_pending_semantic_or_construction_model
kvip,,direct_root_conditioned_coverage,2228,0,0,deferred_pending_semantic_or_construction_model
lyu,ana,direct_root_conditioned_coverage,23,0,0,deferred_pending_semantic_or_construction_model
manin,man,direct_root_conditioned_coverage,34,0,0,deferred_pending_semantic_or_construction_model
naN,na,direct_root_conditioned_coverage,8,0,0,deferred_pending_semantic_or_construction_model
najiN,naj,direct_root_conditioned_coverage,2,0,0,deferred_pending_semantic_or_construction_model
nan,na,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
ni,ni,direct_root_conditioned_coverage,4,0,0,deferred_pending_semantic_or_construction_model
qa,a,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
qara,ara,direct_root_conditioned_coverage,1,0,0,deferred_pending_semantic_or_construction_model
qu,u,prefix_conditioned_coverage,0,6,0,deferred_pending_semantic_or_construction_model
ra,na,direct_root_conditioned_coverage,7,0,0,deferred_pending_semantic_or_construction_model
ru,ru,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
tfn,tf,direct_root_conditioned_coverage,2122,0,0,deferred_pending_semantic_or_construction_model
u,u,direct_root_conditioned_coverage,8,0,0,deferred_pending_semantic_or_construction_model
ukaY,uka,direct_root_conditioned_coverage,11,0,0,deferred_pending_semantic_or_construction_model
vanip,van,direct_root_conditioned_coverage,33,0,0,deferred_pending_semantic_or_construction_model
varac,vara,direct_root_conditioned_coverage,4,0,0,deferred_pending_semantic_or_construction_model
vic,,direct_root_conditioned_coverage,35,0,0,deferred_pending_semantic_or_construction_model
viw,,upapada_other_construction_or_engine_gap,0,0,0,deferred_pending_semantic_or_construction_model
