lakara_id,display,plain_function,verbal_word_meanings,citation_semantic_cells
lat,लट् (laṭ),present,4540848,4540848
lit,लिट् (liṭ),perfect past,4540848,4540848
lut,लुट् (luṭ),periphrastic future,4540848,4540848
lrt,लृट् (lṛṭ),future,4540848,4540848
lot,लोट् (loṭ),command or request,4540848,4540848
lan,लङ् (laṅ),imperfect past,4540848,4540848
vidhilin,विधिलिङ् (vidhiliṅ),"possibility, prescription, or intention",4540848,4540848
ashirlin,आशीर्लिङ् (āśīrliṅ),blessing or wish,4540848,4540848
lun,लुङ् (luṅ),aorist past,4540848,4540848
lrn,लृङ् (lṛṅ),conditional,4540848,4540848
