candidate_relation_id,compound_word_meaning_id,compound_type,input_forms_slp1,input_semantic_relation,operation_family,operation_id,source_variant,semantic_context,semantic_branch_id,semantic_relation,rule_refs,derivational_depth,reason
c308fe87b68fdbc6e976,a7bcb00a7838b8bc,avyaya_tatpurusha,abrAhmaRa,brAhmaRa qualified by the indeclinable naY,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,Recursive nan over an already negative compound is outside the declared boundary.
fa6285454f538e5f99b1,634ef3bdfa09a259,avyaya_tatpurusha,avfzala,vfzala qualified by the indeclinable naY,nan,nan_privative,nan,NanPrivative,nan_privative,"the absence, non-occurrence, or negation of the compound meaning",2.2.6;6.3.73;6.3.74,2,Recursive nan over an already negative compound is outside the declared boundary.
496aae5697486c74b844,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,taddhita,state_tva,tva,TasyaBhava,bhava_tva,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
125570472ff9bcf54672,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,taddhita,state_tal,tal,TasyaBhava,bhava_tal,the state or defining quality denoted by the compound meaning,5.1.119,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
a9f680e25ae933dca7a1,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,taddhita,possession_matup,matup,TadAsyaAstiAsmin,possession,one or that in which the compound referent is present,5.2.94,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
a316b99bd7a88a2c41c0,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,taddhita,superlative_tamap,tamap,AtishayanaSuperlative,superlative,the compound meaning understood to the highest degree within the intended comparison,5.3.55,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
e6188ab6ae176cde8cda,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,taddhita,comparative_tarap,tarap,AtishayanaComparative,comparative,the compound meaning understood to a greater degree within the intended comparison,5.3.57,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
449b2286cfecd4b6e4c8,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,namadhatu,self_desire_kyac,kyac,AtmanaIccha,atma_iccha_kyac,desire the compound referent in relation to oneself,3.1.8,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
70768b15b79062a017b6,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,namadhatu,self_desire_kamyac,kAmyac,AtmanaIccha,atma_iccha_kamyac,desire the compound referent in relation to oneself,3.1.9,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
4242ca8260b8a67074c3,d51c7482aa4efb47,avyayibhava,AkumAram,indeclinable relation of A to kumAra,namadhatu,object_comparison_kyac,kyac,UpamanaKarmaAcara,upamana_karma_acara,treat an object as comparable to the compound referent,3.1.10,2,"The compound is already a complete avyayibhava indeclinable, not a nominal input in this block."
