compound_relation_id,compound_type,member_forms_slp1,member_count,derivational_depth,semantic_relation,rule_refs,source_assertion_ids,source_assertion_count,expected_forms_slp1,expected_variant_count,eligibility_status,generated_forms_slp1,derivation_paths_json,verification_status,local_rust_execution_status
1f82b02af1a6638d,avyaya_tatpurusha,naY;brAhmaRa,2,1,brAhmaRa qualified by the indeclinable naY,2.2.6,df1e0e27407f21ab,1,abrAhmaRa,1,source_demonstrated_two_or_three_member_relation,abrAhmaRa,"[{""form_slp1"":""abrAhmaRa"",""path"":[{""result"":""naY"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""naY"",""rule"":""1.3.3"",""rule_source"":""azwADyAyI""},{""result"":""na"",""rule"":""1.3.9"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + brAhmaRa"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + brAhmaRa"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + brAhmaRa"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + brAhmaRa"",""rule"":""2.2.6"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + brAhmaRa"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + brAhmaRa"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""a + su~ + brAhmaRa"",""rule"":""6.3.73"",""rule_source"":""azwADyAyI""},{""result"":""a +  + brAhmaRa"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""a +  + brAhmaRa"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""a +  + brAhmaRa"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""a +  + brAhmaRa"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
904e5b5c81081771,avyaya_tatpurusha,naY;vfzala,2,1,vfzala qualified by the indeclinable naY,2.2.6,da34fdf7a9095f1d,1,avfzala,1,source_demonstrated_two_or_three_member_relation,avfzala,"[{""form_slp1"":""avfzala"",""path"":[{""result"":""naY"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""naY"",""rule"":""1.3.3"",""rule_source"":""azwADyAyI""},{""result"":""na"",""rule"":""1.3.9"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + vfzala"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + vfzala"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + vfzala"",""rule"":""2.2.6"",""rule_source"":""azwADyAyI""},{""result"":""na + su~ + vfzala"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""a + su~ + vfzala"",""rule"":""6.3.73"",""rule_source"":""azwADyAyI""},{""result"":""a +  + vfzala"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""a +  + vfzala"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""a +  + vfzala"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""a +  + vfzala"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
b32ef7121c7dca2c,avyayibhava,A;kumAra,2,1,indeclinable relation of A to kumAra,2.1.13,74275ac6828bf49b,1,AkumAram,1,source_demonstrated_two_or_three_member_relation,AkumAram,"[{""form_slp1"":""AkumAram"",""path"":[{""result"":""A"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""2.1.13"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + am"",""rule"":""2.4.83"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + am"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + kumAra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""7.1.24"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""1.3.4"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""1.4.18"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + am"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + m"",""rule"":""6.1.107"",""rule_source"":""azwADyAyI""},{""result"":""A +  + kumAra + m"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
42773da5b7bb7502,avyayibhava,A;pAwaliputra,2,1,indeclinable relation of A to pAwaliputra,2.1.13,e0d6bdf61bc31875,1,ApAwaliputram,1,source_demonstrated_two_or_three_member_relation,ApAwaliputram,"[{""form_slp1"":""ApAwaliputram"",""path"":[{""result"":""A"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""2.1.13"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""2.4.83"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A + su~ + pAwaliputra + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""7.1.24"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""1.3.4"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""1.4.18"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + am"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + m"",""rule"":""6.1.107"",""rule_source"":""azwADyAyI""},{""result"":""A +  + pAwaliputra + m"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
035e9c2db1855eec,avyayibhava,SAka;prati,2,1,indeclinable relation of SAka to prati,2.1.9,bd49a0807dd3bdfd,1,SAkaprati,1,source_demonstrated_two_or_three_member_relation,SAkaprati,"[{""form_slp1"":""SAkaprati"",""path"":[{""result"":""SAka"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""2.1.9"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""2.4.82"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""1.1.73"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka + su~ + prati + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""7.1.23"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""SAka +  + prati + "",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
a2c7ed3cdc2ba6d6,avyayibhava,SalAkA;pari,2,1,indeclinable relation of SalAkA to pari,2.1.10,5dc3f7bd1396b99a,1,SalAkApari,1,source_demonstrated_two_or_three_member_relation,SalAkApari,"[{""form_slp1"":""SalAkApari"",""path"":[{""result"":""SalAkA"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""2.1.10"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari + "",""rule"":""2.4.82"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""7.1.23"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""SalAkA +  + pari + "",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
c09b3f7e8d8b1a7c,avyayibhava,aBi;agni,2,1,indeclinable relation of aBi to agni,2.1.14,8298428680d2426d,1,aByagni,1,source_demonstrated_two_or_three_member_relation,aByagni,"[{""form_slp1"":""aByagni"",""path"":[{""result"":""aBi"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.4.7"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""2.1.14"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.4.7"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""2.4.82"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""1.4.7"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi + su~ + agni + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""aBi +  + agni + "",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""aBi +  + agni + "",""rule"":""7.1.23"",""rule_source"":""azwADyAyI""},{""result"":""aBi +  + agni + "",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""aBi +  + agni + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""aBi +  + agni + "",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""aBi +  + agni + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""aBy +  + agni + "",""rule"":""6.1.77"",""rule_source"":""azwADyAyI""},{""result"":""aBy +  + agni + "",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
eb3bcd7de7823bce,avyayibhava,akza;pari,2,1,indeclinable relation of akza to pari,2.1.10,cb0a46ea3438bd37,1,akzapari,1,source_demonstrated_two_or_three_member_relation,akzapari,"[{""form_slp1"":""akzapari"",""path"":[{""result"":""akza"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""2.1.10"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari + "",""rule"":""2.4.82"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""7.1.23"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""akza +  + pari + "",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
a153e880f839d205,avyayibhava,anu;vana,2,1,indeclinable relation of anu to vana,2.1.15,55995bedce45f6a5,1,anuvanam,1,source_demonstrated_two_or_three_member_relation,anuvanam,"[{""form_slp1"":""anuvanam"",""path"":[{""result"":""anu"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.4.7"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""2.1.15"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.4.7"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + am"",""rule"":""2.4.83"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + am"",""rule"":""1.4.7"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu + su~ + vana + am"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""7.1.24"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""1.3.4"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""1.4.18"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + am"",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + m"",""rule"":""6.1.107"",""rule_source"":""azwADyAyI""},{""result"":""anu +  + vana + m"",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
91171a629e7aafcd,avyayibhava,catus;pari,2,1,indeclinable relation of catus to pari,2.1.10,a8b08f9f1455b744,1,catuzpari,1,source_demonstrated_two_or_three_member_relation,catuzpari,"[{""form_slp1"":""catuzpari"",""path"":[{""result"":""catus"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""1.2.45"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""2.1.6"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""1.1.43"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari"",""rule"":""2.4.17"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari + "",""rule"":""4.1.2"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari + "",""rule"":""2.4.82"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus + su~ + pari + "",""rule"":""1.1.41"",""rule_source"":""azwADyAyI""},{""result"":""catus +  + pari + "",""rule"":""2.4.71"",""rule_source"":""azwADyAyI""},{""result"":""catus +  + pari + "",""rule"":""7.1.23"",""rule_source"":""azwADyAyI""},{""result"":""catus +  + pari + "",""rule"":""1.4.13"",""rule_source"":""azwADyAyI""},{""result"":""catus +  + pari + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""catus +  + pari + "",""rule"":""1.4.17"",""rule_source"":""azwADyAyI""},{""result"":""catus +  + pari + "",""rule"":""1.4.14"",""rule_source"":""azwADyAyI""},{""result"":""caturu~ +  + pari + "",""rule"":""8.2.66"",""rule_source"":""azwADyAyI""},{""result"":""catur +  + pari + "",""rule"":""1.3.2"",""rule_source"":""azwADyAyI""},{""result"":""catuH +  + pari + "",""rule"":""8.3.15"",""rule_source"":""azwADyAyI""},{""result"":""catuz +  + pari + "",""rule"":""8.3.41"",""rule_source"":""azwADyAyI""},{""result"":""catuz +  + pari + "",""rule"":""8.4.68"",""rule_source"":""azwADyAyI""}]}]",pinned_active_vidyut_regression_assertion,locally_regenerated_at_pinned_commit
