semantic_family,positive_source_assertions,active_positive_source_assertions,governing_rules,generalization_status,reason
action_repetition,6,2,5.4.17;5.4.18;5.4.19,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
approximation,9,9,5.3.67;5.3.68,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
cognitive_instrument_or_act,1,1,4.4.97,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
community_speech,1,1,4.4.97,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
comparative,9,9,5.3.57,selected_for_semantic_class_generalization,The governing rule supplies a general comparative relation; 5.3.58 supplies the narrower quality condition for the vowel-initial suffixes.
contempt,2,2,5.3.47,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
dependence,2,2,5.4.54,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
descent,4,4,4.1.92,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
distribution,5,0,5.4.43,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
emphatic_character,4,4,5.3.66,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
equality_in_age,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
field_measure,1,1,4.4.91,source_input_bounded,The source defines the relation for a named input rather than for an independently identified nominal class.
former_association,2,2,5.3.54,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
former_state,2,2,5.3.53,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
fourfold_place_relation,25,22,4.2.71;4.2.72;4.2.75;4.2.77;4.2.78;4.2.79;4.2.84;4.2.86;4.2.87,semantic_class_not_yet_identified,"The relation is productive only for a narrower class such as names, places, times, materials, measures, persons, directions, or numbers; that class is not independently identified across the inventory."
