stri_relation_id,input_form_slp1,semantic_relation,expected_nominative_forms_slp1,expected_variant_count,source_rule_refs,source_assertion_ids,source_assertion_count,eligibility_status,generated_nominative_forms_slp1,generated_variant_count,missing_expected_forms_slp1,expected_forms_with_stri_suffix_slp1,applied_stri_suffixes,applied_rule_refs,engine_error,verification_status
c4be09c841b2d07d6e9a,BastraPala,feminine counterpart of the demonstrated nominal base,BastraPalA,1,4.1.4,5bee5b6067f689388932,1,source_demonstrated_candidate,BastraPalA,1,,BastraPalA,wAp,4.1.4,,verified_stri_derivation
b3896ca6569f2263d658,Bava,feminine counterpart of the demonstrated nominal base,BavAnI,1,4.1.49,295131a61a8a8d09ed9d,1,source_demonstrated_candidate,BavAnI,1,,BavAnI,NIz,4.1.49,,verified_stri_derivation
a63b4486588094c57034,Bavat,feminine counterpart of the demonstrated nominal base,BavatI,1,4.1.6,0586cd55359169d17960,1,source_demonstrated_candidate,Bavad;Bavat,2,BavatI,,,,,engine_mismatch_not_admitted
1722c039a904ac104ac0,Catrin,feminine counterpart of the demonstrated nominal base,CatriRI,1,4.1.5,8a641cdd1fbd1a53e6e9,1,source_demonstrated_candidate,CatriRI,1,,CatriRI,NIp,4.1.5,,verified_stri_derivation
27e0a24e6ff40b423669,DIvan,feminine counterpart of the demonstrated nominal base,DIvarI,1,4.1.7,ab02499b803c8733b961,1,source_demonstrated_candidate,DIvarI,1,,DIvarI,NIp,4.1.7,,verified_stri_derivation
d66ae578b475b8ae94ed,Kanaka,feminine counterpart of the demonstrated nominal base,KanakI,1,4.1.41,dd0d6d3a5aa5ad7a2c8f,1,source_demonstrated_candidate,KanakA,1,KanakI,,,,,engine_mismatch_not_admitted
ea4cb3f923c63695fcd8,SaRaPala,feminine counterpart of the demonstrated nominal base,SaRaPalA,1,4.1.4,0c2833c62762500aba84,1,source_demonstrated_candidate,SaRaPalA,1,,SaRaPalA,wAp,4.1.4,,verified_stri_derivation
050e6c4a87ed9448bba8,Sarva,feminine counterpart of the demonstrated nominal base,SarvARI,1,4.1.49,3c2c8f62656e99a2de59,1,source_demonstrated_candidate,SarvARI,1,,SarvARI,NIz,4.1.49,,verified_stri_derivation
17c43b441c5a66f1f9f5,Sarvan,feminine counterpart of the demonstrated nominal base,SarvarI,1,4.1.7,241ea8172598642d88f8,1,source_demonstrated_candidate,SarvarI,1,,SarvarI,NIp,4.1.7,,verified_stri_derivation
d95975e2afd61c68c7b2,Satapuzpa,feminine counterpart of the demonstrated nominal base,SatapuzpA,1,4.1.4,0fb1fc13a0bfb521690d,1,source_demonstrated_candidate,SatapuzpA,1,,SatapuzpA,wAp,4.1.4,,verified_stri_derivation
8cb4e987c1fea56aaad0,SvaSura,feminine counterpart of the demonstrated nominal base,SvaSrUH,1,4.1.68,a5f823d300e726c9825a,1,source_demonstrated_candidate,SvaSrUH,1,,SvaSrUH,UN,4.1.68.1,,verified_stri_derivation
812e5fe6506088615c36,aSiSu,feminine counterpart of the demonstrated nominal base,aSiSvI,1,4.1.62,d14df839c11fedc59218,1,source_demonstrated_candidate,aSiSvI,1,,aSiSvI,NIz,4.1.62,,verified_stri_derivation
7f7a91bbf5b5cbd8aab4,aSva,feminine counterpart of the demonstrated nominal base,aSvA,1,4.1.4,364bcbda88f85e30573c,1,source_demonstrated_candidate,aSvA,1,,aSvA,wAp,4.1.4,,verified_stri_derivation
7d523c50d310bbbbf484,aja,feminine counterpart of the demonstrated nominal base,ajA,1,4.1.4,31f858a11b53050c4867;bd92927e884fa32395eb,2,source_demonstrated_candidate,ajA,1,,ajA,wAp,4.1.4,,verified_stri_derivation
d0f91f2581b7be6ab51a,ajinaPala,feminine counterpart of the demonstrated nominal base,ajinaPalA,1,4.1.4,b74f087acb6e21d51b78,1,source_demonstrated_candidate,ajinaPalA,1,,ajinaPalA,wAp,4.1.4,,verified_stri_derivation
