slp1,iast,devanagari,gloss,particle_pattern,particles,aksharas,mw_derivatives,notes
kf,kṛ,कृ,do/make,CV,2,1,75,top-tier; karoti/karma/kartṛ/kāraṇa/kartavya/kṛtya/kṛti/kṛtyā/kāryam/saṃskāra/prakṛti/vikṛti/ākāra/upakāra/parikāra/kāraka/karaṇa/akarmaka/...
BU,bhū,भू,be/become,CV,2,1,55,top-tier; bhavati/bhāva/bhāvanā/bhūta/bhūti/bhuvana/bhāvuka/sambhava/abhūti/prabhāva/anubhava/vibhāva/...
dA,dā,दा,give,CV,2,1,45,top-tier; dadāti/dāna/dātṛ/deya/dāyaka/pradāna/ādāna/vidāna/upadāna/dāyāda/...
DA,dhā,धा,place/set,CV,2,1,40,top-tier; dadhāti/dhātṛ/dhātu/dhāman/vidhāna/saṃdhāna/abhidhāna/āhita/...
jYA,jñā,ज्ञा,know,CV,2,1,40,top-tier; jānāti/jñāna/jñātṛ/jñātavya/jñeya/vijñāna/prajñā/ājñā/saṃjñā/anujñā/...
pA,pā,पा,drink,CV,2,1,25,high; pibati/pāna/pātṛ/peya/pīta/pānīya/...
sTA,sthā,स्था,stand,CCV,3,1,55,top-tier; tiṣṭhati/sthāna/sthitā/sthātṛ/avasthā/saṃsthā/pratiṣṭhā/upasthāna/...
gA,gā,गा,sing/go,CV,2,1,20,moderate; gāyati/gāna/gātṛ/gātha/gītā/...
ji,ji,जि,conquer,CV,2,1,30,high; jayati/jaya/jetṛ/jiti/vijaya/parājaya/saṃjaya/...
hu,hu,हु,sacrifice,CV,2,1,20,moderate; juhoti/hotṛ/hutāśa/hāvis/āhuti/saṃhuti/...
SR,śrū,श्रू,hear,CV,2,1,35,high; śṛṇoti/śrotṛ/śruti/śravaṇa/śravas/śuśruta/upaśruti/...
mf,mṛ,मृ,die,CV,2,1,30,high; mriyate/maraṇa/martya/mṛtyu/mṛta/mara/āmaraṇa/...
hf,hṛ,हृ,carry/take,CV,2,1,40,high; harati/hāra/hartṛ/haraṇa/hṛti/āhāra/saṃhāra/vihāra/prahāra/...
vf,vṛ,वृ,choose/cover,CV,2,1,30,high; vṛṇoti/vara/varaṇa/vara/varuṇa/sambhṛti/āvaraṇa/...
sf,sṛ,सृ,flow/move,CV,2,1,25,high; sarati/saraṇa/sara/sarit/saraṇi/prasara/...
nI,nī,नी,lead,CV,2,1,40,high; nayati/naya/netṛ/nāyaka/nīti/praṇaya/vinaya/anīka/...
i,i,इ,go,V,1,1,30,high; eti/iti/iti/itara/itāra/atyaya/abhyaya/...
ad,ad,अद्,eat,VC,2,1,18,moderate; atti/adya/adana/āhāra/...
as,as,अस्,be/exist,VC,2,1,40,high; asti/sat/satya/sattā/asat/...
iz,iṣ,इष्,desire,VC,2,1,30,high; icchati/icchā/iṣṭa/iṣṭi/aniṣṭa/iṣyate/...
gam,gam,गम्,go,CVC,3,1,55,top-tier; gacchati/gata/gati/gantṛ/gamana/āgama/saṃgama/nigama/utsarga/...
pat,pat,पत्,fall/fly,CVC,3,1,30,high; patati/pata/patana/patti/pātaka/utpāta/saṃpāta/nipāta/...
vac,vac,वच्,speak,CVC,3,1,40,high; vakti/vāc/vacas/vacana/vakta/vaktavya/uktavya/saṃvāda/...
jan,jan,जन्,be born,CVC,3,1,40,high; jāyate/jāta/jana/janaka/janman/janitṛ/jananī/prajā/...
yam,yam,यम्,restrain,CVC,3,1,30,high; yacchati/yama/yāma/yantra/yantraṇa/saṃyama/niyama/...
laB,labh,लभ्,obtain,CVC,3,1,30,high; labhate/lābha/labdha/labdhi/upalabhya/...
kfp,kṛp,कृप्,be capable,CVC,3,1,20,moderate; kalpate/kalpa/kalpana/kalpita/saṃkalpa/vikalpa/...
vid,vid,विद्,know,CVC,3,1,40,high; vetti/veda/vidyā/vidvas/vidita/vidvat/vedya/...
yuj,yuj,युज्,join,CVC,3,1,35,high; yunakti/yoga/yogin/yogya/yukti/saṃyoga/viyoga/niyoga/...
dfS,dṛś,दृश्,see,CVC,3,1,35,high; paśyati/dṛṣṭi/dṛśya/dṛṣṭa/draṣṭṛ/darśana/ādarśa/sudarśana/...
car,car,चर्,move,CVC,3,1,30,high; carati/cara/cāra/caraṇa/caritra/ācāra/saṃcara/...
vft,vṛt,वृत्,turn/exist,CVC,3,1,40,high; vartate/vartana/vṛtti/vartin/vartamāna/vivarta/āvarta/saṃvarta/...
DF,dhṛ,धृ,hold,CV,2,1,30,high; dhārayati/dhāra/dhāraṇa/dhṛti/dharma/dhāman/vidhṛti/...
tap,tap,तप्,heat,CVC,3,1,20,moderate; tapati/tapas/tapana/tapasvin/santāpa/ātapa/...
vah,vah,वह्,carry,CVC,3,1,25,moderate; vahati/vaha/vāhana/vāhin/saṃvāha/udvāha/...
pad,pad,पद्,go/step,CVC,3,1,30,high; padyate/pada/padī/pādi/āpada/saṃpad/utpāda/vipāda/...
sad,sad,सद्,sit,CVC,3,1,25,moderate; sīdati/sad/sadana/sattra/saṃsad/āsana/upasad/...
nam,nam,नम्,bow,CVC,3,1,18,moderate; namati/namra/namas/namana/praṇāma/abhinama/...
man,man,मन्,think,CVC,3,1,30,high; manyate/mata/mati/manas/mantṛ/mantra/manana/manīṣā/...
gah,gāh,गाह्,plunge,CVC,3,1,8,low; gāhate/gāha/avagāha/parigāha/...
Bf,bhṛ,भृ,bear,CV,2,1,28,high; bibharti/bhṛti/bharaṇa/bhāra/bhartṛ/bhāryā/āhāra/vibhū/...
sad,śad,शद्,fall,CVC,3,1,10,low; śīryate/śīrṇa/...
Sak,śak,शक्,be able,CVC,3,1,18,moderate; śaknoti/śakta/śakti/śakya/aśakti/...
sfj,sṛj,सृज्,emit/create,CVC,3,1,25,moderate; sṛjati/sarga/sṛṣṭi/utsarga/visarga/visṛṣṭi/...
mfj,mṛj,मृज्,wipe/cleanse,CVC,3,1,12,low; mārṣṭi/mārjana/saṃmārjana/mārjāra/...
tfp,tṛp,तृप्,be satisfied,CVC,3,1,12,low; tṛpyati/tṛpta/tṛpti/santarpaṇa/...
dfp,dṛp,दृप्,be proud,CVC,3,1,10,low; dṛpyati/darpa/dṛpta/...
ruc,ruc,रुच्,shine/please,CVC,3,1,15,moderate; rocate/ruci/ruciram/roca/abhirucira/...
ruh,ruh,रुह्,grow,CVC,3,1,18,moderate; rohati/rūḍha/roha/āroha/avaroha/...
yA,yā,या,go,CV,2,1,25,high; yāti/yāna/yātṛ/yātrā/abhiyāna/saṃyāna/...
PA,phā,फा,blow,CV,2,1,4,low; rare
mA,mā,मा,measure,CV,2,1,28,high; māti/māna/māpa/māpaka/mātṛ/mātrā/mātra/mīmāṃsā/...
piz,piṣ,पिष्,grind,CVC,3,1,10,low; pinaṣṭi/piṣṭa/piṣṭi/peṣaṇa/...
nft,nṛt,नृत्,dance,CVC,3,1,12,low; nṛtyati/nṛtya/nartana/nartaka/...
gah,gam,गम्,duplicate skip,CVC,3,1,0,DUPLICATE-REMOVE
ad,ad,अद्,duplicate skip,VC,2,1,0,DUPLICATE-REMOVE
vap,vap,वप्,sow,CVC,3,1,15,moderate; vapati/vapana/vāpa/saṃvāpa/...
gfh,gṛh,गृह्,seize,CVC,3,1,30,high; gṛhṇāti/graha/grahaṇa/gṛha/āgraha/parigraha/saṃgraha/upagraha/...
pU,pū,पू,purify,CV,2,1,20,moderate; punāti/pavitra/pavana/pūta/puṇya/punaḥ/...
muc,muc,मुच्,release,CVC,3,1,30,high; muñcati/mukti/mukta/mokṣa/mocana/vimukti/pramuc/...
Buj,bhuj,भुज्,eat/enjoy,CVC,3,1,30,high; bhuṅkte/bhoga/bhojana/bhuktā/upabhoga/saṃbhoga/...
Bid,bhid,भिद्,split,CVC,3,1,30,high; bhinatti/bhinna/bheda/bhedana/vibheda/saṃbheda/...
Cid,chid,छिद्,cut,CVC,3,1,25,high; chinatti/chinna/chedaḥ/chedana/uccheda/saṃchedaḥ/...
yaj,yaj,यज्,worship/sacrifice,CVC,3,1,30,high; yajati/yāga/yajña/yājaka/yajamāna/ijya/...
ric,ric,रिच्,leave,CVC,3,1,15,moderate; riṇakti/reka/atireka/visarjaka/...
sic,sic,सिच्,sprinkle,CVC,3,1,15,moderate; siñcati/seka/secana/abhiṣeka/...
ruD,rudh,रुध्,obstruct,CVC,3,1,18,moderate; ruṇaddhi/rodha/rodhana/avarodha/nirodha/...
yuD,yudh,युध्,fight,CVC,3,1,18,moderate; yudhyate/yuddha/yodha/yodhana/saṃyuga/...
vac,vac,वच्,duplicate skip,CVC,3,1,0,DUPLICATE-REMOVE
svap,svap,स्वप्,sleep,CCVC,4,1,12,low; svapiti/svapna/supti/prasvapana/...
jval,jval,ज्वल्,blaze,CCVC,4,1,15,moderate; jvalati/jvāla/jvalana/jvalita/saṃjvala/...
kram,kram,क्रम्,step/cross,CCVC,4,1,25,moderate-high; krāmati/krama/kramaṇa/ākrama/saṃkrama/parikrama/utkrama/vikrama/...
Sram,śram,श्रम्,be weary,CCVC,4,1,12,low; śrāmyati/śrama/śramaṇa/āśrama/pariśrama/...
Bram,bhram,भ्रम्,wander,CCVC,4,1,15,moderate; bhramati/bhrama/bhrānti/bhramaṇa/parigrama/saṃbhrama/...
klam,klam,क्लम्,be weary,CCVC,4,1,8,low; klāmyati/klama/...
Bram,vraj,व्रज्,go,CCVC,4,1,15,moderate; vrajati/vraja/vrajana/...
pluz,pluṣ,प्लुष्,burn,CCVC,4,1,5,low; ploṣa/...
plu,plu,प्लु,float/jump,CCV,3,1,15,moderate; plavate/plava/plavana/āplava/saṃplava/...
sru,sru,स्रु,flow,CCV,3,1,12,low; sravati/srava/sruti/saṃsrava/...
sTal,sthal,स्थल्,stand,CCVC,4,1,8,low; sthalati/sthala/sthalin/...
spfS,spṛś,स्पृश्,touch,CCVC,4,1,18,moderate; spṛśati/sparśa/sparśana/saṃsparśa/...
sPuw,sphuṭ,स्फुट्,burst,CCVC,4,1,15,moderate; sphuṭati/sphoṭa/sphoṭana/visphoṭa/...
sTag,sthag,स्थग्,cover,CCVC,4,1,5,low; sthagayati/...
klid,klid,क्लिद्,be wet,CCVC,4,1,8,low; klidyati/kleda/klinna/...
Bid,bhid,भिद्,duplicate skip,CVC,3,1,0,DUPLICATE-REMOVE
kalp,kalp,कल्प्,be fit,CVCC,4,1,30,high; kalpate/kalpa/kalpana/kalpita/saṃkalpa/vikalpa/...
banD,bandh,बन्ध्,bind,CVCC,4,1,30,high; badhnāti/bandha/bandhana/bandhin/anubandha/saṃbandha/nibandha/...
granT,granth,ग्रन्थ्,bind/compose,CCVCC,5,1,15,moderate; grathnāti/grantha/granthi/saṃgrantha/...
mand,mand,मन्द्,be slow,CVCC,4,1,18,moderate; mandate/manda/mandana/...
naST,naś,नश्,perish,CVC,3,1,25,moderate-high; naśyati/naṣṭa/nāśa/nāśana/vināśa/...
gfDr,gṛdh,गृध्,covet,CVCC,4,1,8,low; gṛdhyati/gṛdhra/gardha/...
Sank,śaṅk,शङ्क्,doubt,CVCC,4,1,15,moderate; śaṅkate/śaṅkā/śaṅkita/āśaṅkā/niḥśaṅka/...
vand,vand,वन्द्,worship/praise,CVCC,4,1,18,moderate; vandate/vandana/vandya/vandita/...
sand,saṃs,संस्,praise,CVCC,4,1,8,low; śaṃsati/śaṃsā/praśaṃsā/...
snih,snih,स्निह्,be sticky,CCVC,4,1,8,low; snihyati/sneha/snigdha/...
snu,snu,स्नु,drip,CCV,3,1,5,low; snauti/snāva/...
spand,spand,स्पन्द्,throb,CCVCC,5,1,10,low; spandate/spanda/spandana/parispanda/...
skand,skand,स्कन्द्,leap,CCVCC,5,1,15,moderate; skandati/skandha/skandhana/avaskanda/...
spfh,spṛh,स्पृह्,desire,CCVC,4,1,8,low; spṛhayati/spṛhā/...
sPuw,sphuṭ,स्फुट्,duplicate skip,CCVC,4,1,0,DUPLICATE-REMOVE
sTU,sthū,स्थू,be thick,CCV,3,1,5,low; sthavīyas/sthavira/sthūla/...
svid,svid,स्विद्,sweat,CCVC,4,1,5,low; svidyati/sveda/svinna/...
Sranj,śranj,श्रञ्ज्,become weary,CCVCC,5,1,4,low; rare
SranT,śranth,श्रन्थ्,loosen,CCVCC,5,1,5,low; rare
mfd,mṛd,मृद्,press/rub,CVC,3,1,20,moderate; mṛdnāti/mṛdita/mardana/saṃmarda/...
yat,yat,यत्,strive,CVC,3,1,18,moderate; yatate/yatna/yati/yatamāna/...
sah,sah,सह्,bear,CVC,3,1,18,moderate; sahate/saha/sahya/sahana/upasahana/...
duh,duh,दुह्,milk,CVC,3,1,18,moderate; dogdhi/duhitṛ/doha/duhana/sandoha/...
guh,guh,गुह्,hide,CVC,3,1,12,low; gūhati/guhyam/guhā/...
arh,arh,अर्ह्,deserve,VCC,3,1,15,moderate; arhati/arha/arhaṇa/arhya/...
arc,arc,अर्च्,worship,VCC,3,1,18,moderate; arcati/arcā/arcaka/arcanā/...
arj,arj,अर्ज्,acquire,VCC,3,1,12,low; arjayati/arjana/arjita/...
und,und,उन्द्,wet,VCC,3,1,5,low; undati/...
unD,undh,उन्ध्,close,VCC,3,1,3,low; rare
ija,uj,उज्,abandon,VC,2,1,2,low; rare
us,uṣ,उष्,burn,VC,2,1,8,low; uṣṇa/uṣas/uṣṭra/...
hez,heṣ,हेष्,neigh,CVC,3,1,3,low; rare
rind,rind,रिन्द्,destroy,CVCC,4,1,2,low; rare
SaW,śaṭ,शठ्,grieve,CVC,3,1,5,low; rare
miS,miś,मिश्,mix,CVC,3,1,15,moderate; miśrayati/miśra/miśraṇa/saṃmiśra/...
liK,likh,लिख्,write,CVC,3,1,20,moderate; likhati/lekha/lekhana/lekhya/ālekhana/...
pa,paṭh,पठ्,read,CVC,3,1,18,moderate; paṭhati/paṭha/paṭhana/pāṭhya/upapāṭha/...
nft,nṛt,नृत्,duplicate skip,CVC,3,1,0,DUPLICATE-REMOVE
nft,nud,नुद्,push,CVC,3,1,15,moderate; nudati/nuda/nodana/pranud/...
tud,tud,तुद्,strike,CVC,3,1,18,moderate; tudati/toda/tuda/saṃtoda/...
mud,mud,मुद्,rejoice,CVC,3,1,18,moderate; modate/moda/modana/āmoda/pramoda/...
krand,krand,क्रन्द्,cry out,CCVCC,5,1,12,low; krandati/krandana/...
