group_id,citation_slp1,source_code,gana,source_gloss_slp1,decision,merged,review_id,batch_outcome,assignment_reductions
citation-94911a05aa5f,BU,01.0001,1,sattAyAm,retain_distinct_meanings,False,IR01,retain_distinct_meanings,0
citation-94911a05aa5f,BU,10.0277,10,avakalkane,retain_distinct_meanings,False,IR01,retain_distinct_meanings,0
citation-94911a05aa5f,BU,10.0382,10,prAptO,retain_distinct_meanings,False,IR01,retain_distinct_meanings,0
citation-03c81e5a5c94,BUza~,01.0777,1,alaNkAre,merge_shared_meanings,False,IR02,merge_shared_meanings,0
citation-03c81e5a5c94,BUza~,10.0255,10,alaNkaraRe,merge_shared_meanings,True,IR02,merge_shared_meanings,1
citation-6208ef1e37c5,Bawa~,01.0344,1,BftO,retain_distinct_meanings,False,IR03,retain_distinct_meanings,0
citation-6208ef1e37c5,Bawa~,01.0889,1,pariBAzaRe,retain_distinct_meanings,False,IR03,retain_distinct_meanings,0
citation-70d5410b8176,Bramu~,01.0985,1,calane,open,False,IR04,open,0
citation-70d5410b8176,Bramu~,04.0102,4,anavasTAne,open,False,IR04,open,0
citation-183f083d6860,Cuwa~,06.0105,6,Cedane,merge_shared_meanings,False,IR05,merge_shared_meanings,0
citation-183f083d6860,Cuwa~,10.0462,10,Cedane,merge_shared_meanings,True,IR05,merge_shared_meanings,1
citation-a4c272a33886,DUY,05.0010,5,kampane,merge_shared_meanings,True,IR06,merge_shared_meanings,1
citation-a4c272a33886,DUY,09.0020,9,kampane,merge_shared_meanings,False,IR06,merge_shared_meanings,0
citation-a4c272a33886,DUY,10.0372,10,kampane,merge_shared_meanings,True,IR06,merge_shared_meanings,1
citation-d1311e65224b,DUpa~,01.0462,1,santApe,retain_distinct_meanings,False,IR07,retain_distinct_meanings,0
citation-d1311e65224b,DUpa~,10.0303,10,BAzAyAm,retain_distinct_meanings,False,IR07,retain_distinct_meanings,0
citation-abccb041dcb4,Df\N,01.1115,1,avabanDane viDvaMsane ca,open,False,IR08,open,0
citation-abccb041dcb4,Df\N,06.0148,6,avasTAne,open,False,IR08,open,0
citation-e32df4aa4fba,Dru\,01.1093,1,sTErye,merge_shared_meanings,False,IR09,merge_shared_meanings,0
citation-e32df4aa4fba,Dru\,06.0135,6,gatisTEryayoH,merge_shared_meanings,False,IR09,merge_shared_meanings,1
citation-5fb28cf83f65,Dvana~,01.0928,1,Sabde,open,False,IR10,open,0
citation-5fb28cf83f65,Dvana~,01.0962,1,Sabde,open,False,IR10,open,0
citation-0ed2e7a5a2ea,Gawa~,10.0248,10,saNGAte,retain_distinct_meanings,False,IR11,retain_distinct_meanings,0
citation-0ed2e7a5a2ea,Gawa~,10.0297,10,BAzAyAm,retain_distinct_meanings,False,IR11,retain_distinct_meanings,0
citation-14177589babc,Gf\,01.1088,1,secane,open,False,IR12,open,0
citation-14177589babc,Gf\,03.0015,3,kzaraRadIptyoH,open,False,IR12,open,0
citation-1b103576f86e,Guzi~r,01.0741,1,aviSabdane,retain_distinct_meanings,False,IR13,retain_distinct_meanings,0
citation-1b103576f86e,Guzi~r,10.0251,10,viSabdane,retain_distinct_meanings,False,IR13,retain_distinct_meanings,0
citation-5f04740286ff,JarJa~,01.0815,1,pariBAzaRahiMsAtarjanezu,merge_shared_meanings,False,IR14,merge_shared_meanings,0
citation-5f04740286ff,JarJa~,06.0020,6,pariBAzaRaBartsanayoH,merge_shared_meanings,False,IR14,merge_shared_meanings,1
citation-caa42f9c5435,Ki\da~\,04.0066,4,dEnye,merge_shared_meanings,False,IR15,merge_shared_meanings,0
citation-caa42f9c5435,Ki\da~\,07.0012,7,dEnye,merge_shared_meanings,True,IR15,merge_shared_meanings,1
citation-af27794115a1,Kuqi~,01.0946,1,gativEkalye,retain_distinct_meanings,False,IR16,retain_distinct_meanings,0
citation-af27794115a1,Kuqi~,10.0072,10,KaRqane,retain_distinct_meanings,False,IR16,retain_distinct_meanings,0
citation-a13e13f3a74e,RaBa~,04.0155,4,hiMsAyAm,merge_shared_meanings,False,IR17,merge_shared_meanings,0
citation-a13e13f3a74e,RaBa~,09.0056,9,hiMsAyAm,merge_shared_meanings,True,IR17,merge_shared_meanings,1
citation-73f69d0705b5,Rada~,01.0056,1,avyakte Sabde,retain_distinct_meanings,False,IR18,retain_distinct_meanings,0
citation-73f69d0705b5,Rada~,10.0309,10,BAzAyAm,retain_distinct_meanings,False,IR18,retain_distinct_meanings,0
citation-b8195140962e,Rawa~,01.0347,1,nfttO,open,False,IR19,open,0
citation-b8195140962e,Rawa~,01.0890,1,nfttO gatO ca,open,False,IR19,open,0
citation-943551c92974,SIka~,10.0320,10,BAzAyAm,retain_distinct_meanings,False,IR20,retain_distinct_meanings,0
citation-943551c92974,SIka~,10.0363,10,AmarzaRe,retain_distinct_meanings,False,IR20,retain_distinct_meanings,0
citation-ad0d0c545091,SaWa~,01.0394,1,kEtave hiMsAsaNkleSanayoH dyUte sparDAyAM ca,retain_distinct_meanings,False,IR21,retain_distinct_meanings,0
citation-ad0d0c545091,SaWa~,10.0041,10,asaMskAragatyoH,retain_distinct_meanings,False,IR21,retain_distinct_meanings,0
citation-ad0d0c545091,SaWa~,10.0214,10,SlAGAyAm,retain_distinct_meanings,False,IR21,retain_distinct_meanings,0
citation-ffde017abb58,Sa\dx~,01.0991,1,SAtane,merge_shared_meanings,False,IR22,merge_shared_meanings,0
citation-ffde017abb58,Sa\dx~,06.0164,6,SAtane,merge_shared_meanings,True,IR22,merge_shared_meanings,1
citation-9df5baba20d2,Sa\pa~^,01.1155,1,AkroSe,merge_shared_meanings,False,IR23,merge_shared_meanings,0
citation-9df5baba20d2,Sa\pa~^,04.0064,4,AkroSe,merge_shared_meanings,True,IR23,merge_shared_meanings,1
citation-ca320cc9d6cb,Si\za~,01.0783,1,hiMsAyAm,retain_distinct_meanings,False,IR24,retain_distinct_meanings,0
citation-ca320cc9d6cb,Si\za~,10.0349,10,asarvopayoge,retain_distinct_meanings,False,IR24,retain_distinct_meanings,0
citation-d7d043fb5fa8,SraRa~,01.0907,1,dAne gatO ca,retain_distinct_meanings,False,IR25,retain_distinct_meanings,0
citation-d7d043fb5fa8,SraRa~,10.0063,10,dAne,retain_distinct_meanings,False,IR25,retain_distinct_meanings,0
citation-9b7e89d0e973,SraTa~,01.0908,1,hiMsAyAm,open,False,IR26,open,0
citation-9b7e89d0e973,SraTa~,10.0019,10,prayatne,open,False,IR26,open,0
citation-9b7e89d0e973,SraTa~,10.0360,10,mokzaRe hiMsAyAM ca,open,False,IR26,open,0
citation-2c89c6020dcd,SranTa~,09.0046,9,vimocanapratiharzayoH,merge_shared_meanings,False,IR27,merge_shared_meanings,0
citation-2c89c6020dcd,SranTa~,09.0048,9,sandarBe,merge_shared_meanings,False,IR27,merge_shared_meanings,0
