source_code,normalized_citation_slp1,base_count_key,base_meaning_slp1,base_meaning_display,matched_screen,matched_token,engine_rule_path,output_forms_slp1,semantic_status
01.0013,madi~\,"[""01.0013"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmandya,review_required_not_counted
01.0014,spadi~\,"[""01.0014"", ""meaning-84fe2d02b5f1""]",kiYciccalane,किञ्चिच्चलने (kiñciccalane),movement,calan,3.1.22,pAspandya,review_required_not_counted
01.0049,ziDa~,"[""01.0049"", ""meaning-bebe0cdf773e""]",gatyAm,गत्याम् (gatyām),gati,gaty,3.1.22,seziDya,review_required_not_counted
01.0082,Srekf~\,"[""01.0082"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SeSrekya,review_required_not_counted
01.0086,sekf~\,"[""01.0086"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sesekya,review_required_not_counted
01.0087,srekf~\,"[""01.0087"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sesrekya,review_required_not_counted
01.0088,sraki~\,"[""01.0088"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sAsraNkya,review_required_not_counted
01.0089,Sraki~\,"[""01.0089"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASraNkya,review_required_not_counted
01.0090,Slaki~\,"[""01.0090"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASlaNkya,review_required_not_counted
01.0099,kaki~\,"[""01.0099"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,cAkaNkya,review_required_not_counted
01.0100,vaki~\,"[""01.0100"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvaNkya,review_required_not_counted
01.0101,Svaki~\,"[""01.0101"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SASvaNkya,review_required_not_counted
01.0102,traki~\,"[""01.0102"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tAtraNkya,review_required_not_counted
01.0103,QOkf~\,"[""01.0103"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,qoQOkya,review_required_not_counted
01.0104,trOkf~\,"[""01.0104"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,totrOkya,review_required_not_counted
01.0105,zvazka~\,"[""01.0105"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,zAzvazkya,review_required_not_counted
01.0106,vaska~\,"[""01.0106"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvaskya,review_required_not_counted
01.0107,maska~\,"[""01.0107"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmaskya,review_required_not_counted
01.0108,wikf~\,"[""01.0108"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,wewikya,review_required_not_counted
01.0109,wIkf~\,"[""01.0109"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,wewIkya,review_required_not_counted
01.0110,tikf~\,"[""01.0110"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tetikya,review_required_not_counted
01.0111,tIkf~\,"[""01.0111"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,tetIkya,review_required_not_counted
01.0112,raGi~\,"[""01.0112"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rAraNGya,review_required_not_counted
01.0113,laGi~\,"[""01.0113"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,lAlaNGya,review_required_not_counted
01.0114,zvakka~\,"[""01.0114"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,sAsvakkya,review_required_not_counted
01.0116,vaGi~\,"[""01.0116"", ""meaning-a1cfd39df9cf""]",gatyAkzepe,गत्याक्षेपे (gatyākṣepe),gati,gaty,3.1.22,vAvaNGya,review_required_not_counted
01.0117,maGi~\,"[""01.0117"", ""meaning-a1cfd39df9cf""]",gatyAkzepe,गत्याक्षेपे (gatyākṣepe),gati,gaty,3.1.22,mAmaNGya,review_required_not_counted
01.0117,maGi~\,"[""01.0117"", ""meaning-e0f1e705b8d5""]",gatyAramBe,गत्यारम्भे (gatyārambhe),gati,gaty,3.1.22,mAmaNGya,review_required_not_counted
01.0123,Pakka~,"[""01.0123"", ""meaning-0b88f146c078""]",nIcErgatO,नीचैर्गतौ (nīcairgatau),gati,gatO,3.1.22,pAPakkya,review_required_not_counted
01.0127,Suka~,"[""01.0127"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,SoSukya,review_required_not_counted
01.0138,vaKa~,"[""01.0138"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvaKya,review_required_not_counted
01.0139,vaKi~,"[""01.0139"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,vAvaNKya,review_required_not_counted
01.0140,maKa~,"[""01.0140"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmaKya,review_required_not_counted
01.0141,maKi~,"[""01.0141"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,mAmaNKya,review_required_not_counted
01.0142,RaKa~,"[""01.0142"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,nAnaKya,review_required_not_counted
01.0143,RaKi~,"[""01.0143"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,nAnaNKya,review_required_not_counted
01.0144,raKa~,"[""01.0144"", ""meaning-5fa3d59b62c4""]",gatO,गतौ (gatau),gati,gatO,3.1.22,rAraKya,review_required_not_counted
