source_code,gana,citation_slp1,source_gloss_slp1,source_gloss_devanagari,source_line,status,assignment_count,units_slp1,reason,remaining_meaning_gap,interpretation_review_id,eligibility_note,review_evidence,provisional_word_id,identity_review,candidate_local_codes,source_url,source_sha256,identity_batch_review_id
01.0001,1,BU,sattAyAm,सत्तायाम्,2,single_gloss,1,sattAyAm,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0001,retain_distinct_meanings,01.0001,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,IR01
01.0002,1,eDa~\,vfdDO,वृद्धौ,3,single_gloss,1,vfdDO,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0002,not_flagged_by_exact_citation_check,01.0002,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0003,1,sparDa~\,saNGarze,सङ्घर्षे,4,single_gloss,1,saNGarze,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0003,not_flagged_by_exact_citation_check,01.0003,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0004,1,gADf~\,pratizWAlipsayorgranTe ca,प्रतिष्ठालिप्सयोर्ग्रन्थे च,5,enumerated_glosses,3,pratizWAyAm; lipsAyAm; granTe,Explicit analyst segmentation; retain the original compound for review.,,,,[],01.0004,not_flagged_by_exact_citation_check,01.0004,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0005,1,bADf~\,"loqane, rowane","लोडने, रोटने",6,enumerated_glosses,2,loqane; rowane,Visible enumeration; semantic overlap still belongs to lexical review.,,,,[],01.0005,not_flagged_by_exact_citation_check,01.0005,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0006,1,nADf~\,yAcYopatApESvaryASIzzu,याच्ञोपतापैश्वर्याशीष्षु,7,enumerated_glosses,4,yAcYAyAm; upatApe; ESvarye; ASizi,"Four meanings: requesting, affliction, lordship, and blessing. The commentary treats both citations together. Do not split the word for blessing further.",,MR01,The commentary distinguishes pada use according to meaning; preserve that condition for generation.,"[{""filename"": ""dhatu-mA6.html"", ""url"": ""https://sanskrit.uohyd.ac.in/scl/dhaatupaatha/files/mA6.html"", ""accessed_utc"": ""2026-09-12T14:06:56.050778+00:00"", ""sha256"": ""85ba870a0ebd4a93ffba1d4e895518d3a39d28317d5a3b392620a3f36400cbf7"", ""bytes"": 19466}]",01.0006,not_flagged_by_exact_citation_check,01.0006,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0007,1,nATf~\,yAcYopatApESvaryASIzzu,याच्ञोपतापैश्वर्याशीष्षु,8,enumerated_glosses,4,yAcYAyAm; upatApe; ESvarye; ASizi,"Four meanings: requesting, affliction, lordship, and blessing. The commentary treats both citations together. Do not split the word for blessing further.",,MR01,The commentary distinguishes pada use according to meaning; preserve that condition for generation.,"[{""filename"": ""dhatu-mA6.html"", ""url"": ""https://sanskrit.uohyd.ac.in/scl/dhaatupaatha/files/mA6.html"", ""accessed_utc"": ""2026-09-12T14:06:56.050778+00:00"", ""sha256"": ""85ba870a0ebd4a93ffba1d4e895518d3a39d28317d5a3b392620a3f36400cbf7"", ""bytes"": 19466}]",01.0007,not_flagged_by_exact_citation_check,01.0007,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0008,1,daDa~\,DAraRe,धारणे,9,single_gloss,1,DAraRe,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0008,not_flagged_by_exact_citation_check,01.0008,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0009,1,skudi~\,ApravaRe,आप्रवणे,10,single_gloss,1,ApravaRe,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0009,not_flagged_by_exact_citation_check,01.0009,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0010,1,Svidi~\,SvEtye,श्वैत्ये,11,single_gloss,1,SvEtye,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0010,not_flagged_by_exact_citation_check,01.0010,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0011,1,vadi~\,aBivAdanastutyoH,अभिवादनस्तुत्योः,12,enumerated_glosses,2,aBivAdane; stutO,Explicit analyst segmentation; retain the original compound for review.,,,,[],01.0011,not_flagged_by_exact_citation_check,01.0011,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0012,1,Badi~\,kalyARe suKe ca,कल्याणे सुखे च,13,enumerated_glosses,2,kalyARe; suKe,Visible enumeration; semantic overlap still belongs to lexical review.,,,,[],01.0012,not_flagged_by_exact_citation_check,01.0012,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0013,1,madi~\,stutimodamadasvapnakAntigatizu,स्तुतिमोदमदस्वप्नकान्तिगतिषु,14,enumerated_glosses,6,stutO; mode; made; svapne; kAntO; gatO,Explicit analyst segmentation; retain the original compound for review.,,,,[],01.0013,not_flagged_by_exact_citation_check,01.0013,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0014,1,spadi~\,kiYciccalane,किञ्चिच्चलने,15,single_gloss,1,kiYciccalane,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0014,not_flagged_by_exact_citation_check,01.0014,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0015,1,klidi~\,paridevane,परिदेवने,16,single_gloss,1,paridevane,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0015,not_flagged_by_exact_citation_check,01.0015,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0016,1,muda~\,harze,हर्षे,17,single_gloss,1,harze,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0016,not_flagged_by_exact_citation_check,01.0016,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0017,1,dada~\,dAne,दाने,18,single_gloss,1,dAne,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0017,not_flagged_by_exact_citation_check,01.0017,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
01.0018,1,zvada~\,AsvAdane,आस्वादने,19,single_gloss,1,AsvAdane,One source gloss; no attempt to invent finer senses within it.,,,,[],01.0018,not_flagged_by_exact_citation_check,01.0018,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,bb2013ead0ea536dc7f887164c385c703cb0014ccf6e5af35b87e6d3049ba380,
