operation_id,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,output_forms_slp1,reason,count_status
causative,"[""10.0001"", ""meaning-ea619e8dba65""]",10.0001,cura~,steye,स्तेये (steye),cori,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0002"", ""meaning-845705c28bfa""]",10.0002,citi~,smftyAm,स्मृत्याम् (smṛtyām),cinti,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0003"", ""meaning-faacb3ea90c2""]",10.0003,yatri~,saNkoce,सङ्कोचे (saṅkoce),yantri,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0004"", ""meaning-dca85de550b9""]",10.0004,sPuqi~,parihAse,परिहासे (parihāse),sPuRqi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0005"", ""meaning-dca85de550b9""]",10.0005,sPuwi~,parihAse,परिहासे (parihāse),sPuRwi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0006"", ""meaning-5042ee4bdbe7""]",10.0006;10.0219,lakza~,Alocane;darSane,आलोचने (ālocane);दर्शने (darśane),lakzi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0006"", ""meaning-ea5abf5b24b3""]",10.0006,lakza~,aNkane,अङ्कने (aṅkane),lakzi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0007"", ""meaning-a010c56017b0""]",10.0007,kudri~,anftaBAzaRe,अनृतभाषणे (anṛtabhāṣaṇe),kundri,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0008"", ""meaning-a010c56017b0""]",10.0008,kudf~,anftaBAzaRe,अनृतभाषणे (anṛtabhāṣaṇe),kodi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0009"", ""meaning-dca85de550b9""]",10.0009,spuqi~,parihAse,परिहासे (parihāse),spuRqi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0010"", ""meaning-e70f6bac7ede""]",10.0010,laqa~,upasevAyAm,उपसेवायाम् (upasevāyām),lAqi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0011"", ""meaning-8c6231d20ac4""]",10.0011,midi~,snehane,स्नेहने (snehane),mindi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0012"", ""meaning-8c6231d20ac4""]",10.0012,mida~,snehane,स्नेहने (snehane),medi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0013"", ""meaning-8c6c87e51d61""]",10.0013,o~laqi~,utkzepaRe,उत्क्षेपणे (utkṣepaṇe),laRqi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0014"", ""meaning-8c6c87e51d61""]",10.0014,olaqi~,utkzepaRe,उत्क्षेपणे (utkṣepaṇe),olaRqi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0015"", ""meaning-456b48da5b7f""]",10.0015,jala~,apavAraRe,अपवारणे (apavāraṇe),jAli,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0016"", ""meaning-456b48da5b7f""]",10.0016,laja~,apavAraRe,अपवारणे (apavāraṇe),lAji,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0017"", ""meaning-bf6670b8e0f3""]",10.0017,pIqa~,avagAhane,अवगाहने (avagāhane),pIqi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0018"", ""meaning-8083d7b458fd""]",10.0018,nawa~,avaspandane,अवस्पन्दने (avaspandane),nAwi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0019"", ""meaning-52a2ffd5acb5""]",10.0019,SraTa~,prayatne,प्रयत्ने (prayatne),SrATi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
causative,"[""10.0020"", ""meaning-b73be7b5e74a""]",10.0020,baDa~,saMyamane,संयमने (saṃyamane),bADi,The first nic is class-forming under 3.1.25 for this curadigana base; a true causative requires a later stacked-nic pass.,not_counted_class_forming_nic
