order,upasarga_id,source_forms_slp1,engine_input_slp1,expected_gam_outputs_slp1
1,pra,pra,pra,pragam
2,para,parA,parA,parAgam
3,apa,apa,apa,apagam
4,sam,sam,sam,saMgam;saNgam
5,anu,anu,anu,anugam
6,ava,ava,ava,avagam
7,nis,nis;nir,nis,nirgam
8,dus,dus;dur,dus,durgam
9,vi,vi,vi,vigam
10,ang,AN,AN,Agam
11,ni,ni,ni,nigam
12,adhi,aDi,aDi,aDigam
13,api,api,api,apigam
14,ati,ati,ati,atigam
15,su,su,su,sugam
16,ut,ut,ut,udgam
17,abhi,aBi,aBi,aBigam
18,prati,prati,prati,pratigam
19,pari,pari,pari,parigam
20,upa,upa,upa,upagam
