source_example_id,source_file,source_function,source_line,rule_ref,source_test_status,input_expression,input_resolution,input_form_slp1,expected_nominative_forms_slp1,expected_variant_count
bd92927e884fa32395eb,kashika_4_1.rs,sutra_4_1_4,201,4.1.4,active,"""aja""",literal,aja,ajA,1
74e2473650ef44423b68,kashika_4_1.rs,sutra_4_1_4,202,4.1.4,active,"""devadatta""",literal,devadatta,devadattA,1
31f858a11b53050c4867,kashika_4_1.rs,sutra_4_1_4,208,4.1.4,active,"""aja""",literal,aja,ajA,1
cdd63ca10753c336ba1f,kashika_4_1.rs,sutra_4_1_4,209,4.1.4,active,"""eqaka""",literal,eqaka,eqakA,1
d3648b7ddefed73fe8f0,kashika_4_1.rs,sutra_4_1_4,210,4.1.4,active,"""kokila""",literal,kokila,kokilA,1
ab3027788a6022995157,kashika_4_1.rs,sutra_4_1_4,211,4.1.4,active,"""cawaka""",literal,cawaka,cawakA,1
364bcbda88f85e30573c,kashika_4_1.rs,sutra_4_1_4,212,4.1.4,active,"""aSva""",literal,aSva,aSvA,1
0a454b6cfff2433b1478,kashika_4_1.rs,sutra_4_1_4,213,4.1.4,active,"""mUzika""",literal,mUzika,mUzikA,1
db3afacb1a95b3c7a18c,kashika_4_1.rs,sutra_4_1_4,216,4.1.4,active,"""bAla""",literal,bAla,bAlA;bAlI,2
3499b0dfdb9f478b1990,kashika_4_1.rs,sutra_4_1_4,217,4.1.4,active,"""hoQa""",literal,hoQa,hoQA,1
1c0933f1913524cdd76c,kashika_4_1.rs,sutra_4_1_4,218,4.1.4,active,"""pAka""",literal,pAka,pAkA,1
7db759b98f65153c1847,kashika_4_1.rs,sutra_4_1_4,219,4.1.4,active,"""vatsa""",literal,vatsa,vatsA,1
6a246f7a281314e832f7,kashika_4_1.rs,sutra_4_1_4,220,4.1.4,active,"""manda""",literal,manda,mandA,1
90c3b651e30e627b4e21,kashika_4_1.rs,sutra_4_1_4,221,4.1.4,active,"""vilAta""",literal,vilAta,vilAtA,1
bd292e57447fc9e44608,kashika_4_1.rs,sutra_4_1_4,223,4.1.4,active,"""samPala""",literal,samPala,samPalA,1
5bee5b6067f689388932,kashika_4_1.rs,sutra_4_1_4,224,4.1.4,active,"""BastraPala""",literal,BastraPala,BastraPalA,1
b74f087acb6e21d51b78,kashika_4_1.rs,sutra_4_1_4,225,4.1.4,active,"""ajinaPala""",literal,ajinaPala,ajinaPalA,1
0c2833c62762500aba84,kashika_4_1.rs,sutra_4_1_4,226,4.1.4,active,"""SaRaPala""",literal,SaRaPala,SaRaPalA,1
a807471f1bf9a5682223,kashika_4_1.rs,sutra_4_1_4,227,4.1.4,active,"""piRqaPala""",literal,piRqaPala,piRqaPalA,1
f28ef6d64f91ba15fa18,kashika_4_1.rs,sutra_4_1_4,228,4.1.4,active,"""triPala""",literal,triPala,triPalA,1
bdefca1e64996ebbb18b,kashika_4_1.rs,sutra_4_1_4,230,4.1.4,active,"""satpuzpa""",literal,satpuzpa,satpuzpA,1
43dff37dfcba543a90d8,kashika_4_1.rs,sutra_4_1_4,231,4.1.4,active,"""prAkpuzpa""",literal,prAkpuzpa,prAkpuzpA,1
5585856280993449ba0a,kashika_4_1.rs,sutra_4_1_4,232,4.1.4,active,"""kARqapuzpa""",literal,kARqapuzpa,kARqapuzpA,1
29dd8641f0503a04b782,kashika_4_1.rs,sutra_4_1_4,233,4.1.4,active,"""prAntapuzpa""",literal,prAntapuzpa,prAntapuzpA,1
0fb1fc13a0bfb521690d,kashika_4_1.rs,sutra_4_1_4,234,4.1.4,active,"""Satapuzpa""",literal,Satapuzpa,SatapuzpA,1
b9acdbfbd6a7cfa7181b,kashika_4_1.rs,sutra_4_1_4,235,4.1.4,active,"""ekapuzpa""",literal,ekapuzpa,ekapuzpA,1
881092491d22cc070c16,kashika_4_1.rs,sutra_4_1_5,242,4.1.5,active,"""kartf""",literal,kartf,kartrI,1
d8475a7cf9df623b2a49,kashika_4_1.rs,sutra_4_1_5,243,4.1.5,active,"""hartf""",literal,hartf,hartrI,1
06e73b4690fd6b2a936a,kashika_4_1.rs,sutra_4_1_5,244,4.1.5,active,"""daRqin""",literal,daRqin,daRqinI,1
8a641cdd1fbd1a53e6e9,kashika_4_1.rs,sutra_4_1_5,245,4.1.5,active,"""Catrin""",literal,Catrin,CatriRI,1
0586cd55359169d17960,kashika_4_1.rs,sutra_4_1_6,251,4.1.6,active,&bhavat,constructed_variable,Bavat,BavatI,1
7dd3fa8c2d41a16afa51,kashika_4_1.rs,sutra_4_1_6,254,4.1.6,active,&abhibhavat,constructed_variable,atiBavat,atiBavatI,1
5968503d936beffebb4c,kashika_4_1.rs,sutra_4_1_6,257,4.1.6,active,&pacat,constructed_variable,pacat,pacantI,1
b83dee0e0d43ced56796,kashika_4_1.rs,sutra_4_1_6,260,4.1.6,active,&yajat,constructed_variable,yajat,yajantI,1
ab02499b803c8733b961,kashika_4_1.rs,sutra_4_1_7,265,4.1.7,active,"""DIvan""",literal,DIvan,DIvarI,1
b5285e631a71ffa8b4ce,kashika_4_1.rs,sutra_4_1_7,266,4.1.7,active,"""pIvan""",literal,pIvan,pIvarI,1
241ea8172598642d88f8,kashika_4_1.rs,sutra_4_1_7,267,4.1.7,active,"""Sarvan""",literal,Sarvan,SarvarI,1
f8d941f77e268af1acae,kashika_4_1.rs,sutra_4_1_8_to_sutra_4_1_9,275,4.1.8,active,&dvipad,constructed_variable,dvipAd,dvipAt;dvipadA;dvipadI,3
77d19a66ba3cd50d3c23,kashika_4_1.rs,sutra_4_1_8_to_sutra_4_1_9,276,4.1.8,active,&tripad,constructed_variable,tripAd,tripAt;tripadA;tripadI,3
6d7fb331ed5114577c6e,kashika_4_1.rs,sutra_4_1_8_to_sutra_4_1_9,277,4.1.8,active,&catushpad,constructed_variable,catuzpAd,catuzpAt;catuzpadA;catuzpadI,3
f3c77414144a26bd8ec5,kashika_4_1.rs,sutra_4_1_10,289,4.1.10,active,"""svasf""",literal,svasf,svasA,1
ad5494d5079455338bdc,kashika_4_1.rs,sutra_4_1_10,290,4.1.10,active,"""duhitf""",literal,duhitf,duhitA,1
2638e08ca06c77825449,kashika_4_1.rs,sutra_4_1_10,291,4.1.10,active,"""nanAndf""",literal,nanAndf,nanAndA,1
172efc2852260e30dd35,kashika_4_1.rs,sutra_4_1_10,292,4.1.10,active,"""yAtf""",literal,yAtf,yAtA,1
53d3fc79c7aadd4c0fdb,kashika_4_1.rs,sutra_4_1_10,293,4.1.10,active,"""mAtf""",literal,mAtf,mAtA,1
bd5acce444455c3cb9d9,kashika_4_1.rs,sutra_4_1_14,323,4.1.14,ignored,&kurucara,constructed_variable,kurucara,kurucarI,1
dcdbdf3d24de3e686181,kashika_4_1.rs,sutra_4_1_14,324,4.1.14,ignored,&madracara,constructed_variable,madracara,madracarI,1
c75f3e3dde7ee75330a8,kashika_4_1.rs,sutra_4_1_15,332,4.1.15,ignored,&kurucara,constructed_variable,kurucara,kurucarI,1
70fa0f2f93fc00e1d06a,kashika_4_1.rs,sutra_4_1_15,333,4.1.15,ignored,&madracara,constructed_variable,madracara,madracarI,1
8ad90dc0987fa0b01b04,kashika_4_1.rs,sutra_4_1_15,337,4.1.15,ignored,&pacamana,constructed_variable,pacamAna,pacamAnA,1
