id,label,input_unit,output_unit,lexical_role,inventory_boundary,current_status,next_evidence
source_identity,Source धातुः (dhātuḥ),source entry,base word-meaning,base_count,"Current reconciled Dhatupatha-derived source inventory; no formation",2634 provisional base meanings,"Resolve only separately scoped identity or meaning questions"
upasarga,उपसर्गः (upasargaḥ),धातुः (dhātuḥ) meaning,prefixed धातुः (dhātuḥ) meaning,derived_base,"Twenty normalized identities; completed layers contain one prefix and exactly two ordered prefixes",1103907 admitted word-meanings across the one-prefix and two-prefix layers,"Extend to three prefixes only through another declared bounded pass"
sanadi_verbal,सनादिप्रत्ययः (sanādipratyayaḥ) from a धातुः (dhātuḥ),धातुः (dhātuḥ) meaning,derived धातुः (dhātuḥ) meaning,derived_base,"Four engine identifiers operate on verbal bases; completed layers contain one sanadi and one prefix plus one sanadi",263084 admitted word-meanings across unprefixed and one-prefix layers,"Extend other operation orders and deeper stacks separately"
sanadi_nominal,नामधातुः (nāmadhātuḥ) from a प्रातिपदिकम् (prātipadikam),प्रातिपदिकम् (prātipadikam) meaning,derived धातुः (dhātuḥ) meaning,derived_base,"Four productive semantic relations through three exposed identifiers; narrower rules remain source-conditioned","3176352 admitted derived verbal meanings from the first 794078-meaning nominal inventory","Extend only after new nominal inputs or narrower semantic classes are established"
krt,कृदन्तम् (kṛdantam),धातुः (dhātuḥ) meaning,nominal or अव्ययम् (avyayam) word-meaning,derived_word,"All 122 ordinary identifiers and twenty Vaidika-relevant identifiers classified; completed layers include direct, conditioned, avyaya, one-prefix, and sanadi-derived inputs","801942 laukika after known Vedic-base restrictions; 204738 admitted through Vaidika-specific operations","Implement the three source-licensed Vaidika operation families currently outside Vidyut coverage"
taddhita,तद्धितान्तम् (taddhitāntam),प्रातिपदिकम् (prātipadikam) meaning,derived nominal or अव्ययम् (avyayam) word-meaning,derived_word,"175 pinned identifiers classified; three first-layer general relations applied to 794078 laukika nominal word-meanings; three named descent examples retained; 975 conditioned source relations plus 24 helper-expanded and 236 plain source-defined relations admitted; tamap and tarap comparative relations then generalized while isthan and iyasun remain deferred under the gunavacana restriction",3971627 admitted word-meanings,"Extend another recovered family only when its governing semantic condition identifies independently classified eligible inputs"
stri,स्त्रीप्रत्ययः (strīpratyayaḥ),eligible प्रातिपदिकम् (prātipadikam) meaning,feminine nominal word-meaning,derived_word,"Seven pinned suffix identifiers; completed source-example pass admits only active assertions reproduced with an actual feminine suffix",50 source-demonstrated word-meanings,"Build nominal semantic classes before any broader multiplication"
compound,समासः (samāsaḥ),bounded sequence of nominal or अव्ययम् (avyayam) word-meanings,compound word-meaning,derived_word,"Requires a declared input inventory, relation, member count, and recursion limit","113 source-demonstrated compound meanings; 958 one-operation descendants from the 96 nominal compounds","Extend semantic generalization or recursion only through another declared bounded pass"
nanj_privative,नञ्-समासः (nañ-samāsaḥ),eligible nominal or adjectival word-meaning,privative nominal or adjectival word-meaning,derived_word,"One nonrecursive not-X or absence-of-X relation across the current 3177340-meaning nominal inventory; अ-/अन्- are surface outcomes rather than separate multipliers",3177340 admitted word-meanings; combined bounded subtotal 11116406,"Admit other traditional नञ् meanings only through separately sourced semantic operations"
tin,तिङन्तम् (tiṅantam),admitted धातुः (dhātuḥ) meaning,verbal grammatical cell,inflection,"Count lakara, person, number, pada, voice, and construction separately from lexical formation",present active pilot only,"Enumerate supported cells and preserve coincident spellings as separate grammatical cells"
sup,सुबन्तम् (subantam),admitted nominal word-meaning,nominal grammatical cell,inflection,"Count gender, case, number, and vocative only where licensed by the base",masculine pacaka pilot only,"Enumerate licensed cells after the nominal base inventory is fixed"
