sample_id,display,source_file,source_word_meaning_id,stem_slp1,constructor,linga,relation_id,relation_display,plain_function,number_id,number_display,generated_forms_slp1,output_variant_count,generation_status,derivation_paths_json
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,prathama,प्रथमा,naming or identifying the participant,eka,एकम्,gamanam,1,locally_regenerated,"[{""form_slp1"": ""gamanam"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""gamana"", ""su~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""s""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.24"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.107"", ""result"": [""gamana"", ""m""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamana"", ""m""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,prathama,प्रथमा,naming or identifying the participant,dvi,द्वे,gamane,1,locally_regenerated,"[{""form_slp1"": ""gamane"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""O""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""O""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.19"", ""result"": [""gamana"", ""SI""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.8"", ""result"": [""gamana"", ""SI""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""vArttikAH"", ""rule"": ""6.4.148.1"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.104"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.87"", ""result"": [""gaman"", ""e""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gaman"", ""e""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,prathama,प्रथमा,naming or identifying the participant,bahu,बहूनि,gamanAni,1,locally_regenerated,"[{""form_slp1"": ""gamanAni"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""jas""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""jas""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.7"", ""result"": [""gamana"", ""jas""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""as""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""as""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.20"", ""result"": [""gamana"", ""Si""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.8"", ""result"": [""gamana"", ""Si""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.42"", ""result"": [""gamana"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.72"", ""result"": [""gamanan"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.4.8"", ""result"": [""gamanAn"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamanAn"", ""i""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,dvitiya,द्वितीया,"the object, extent, or destination",eka,एकम्,gamanam,1,locally_regenerated,"[{""form_slp1"": ""gamanam"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.24"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""am""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.107"", ""result"": [""gamana"", ""m""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamana"", ""m""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,dvitiya,द्वितीया,"the object, extent, or destination",dvi,द्वे,gamane,1,locally_regenerated,"[{""form_slp1"": ""gamane"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""Ow""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.3"", ""result"": [""gamana"", ""Ow""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""O""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""O""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.19"", ""result"": [""gamana"", ""SI""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.8"", ""result"": [""gamana"", ""SI""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""vArttikAH"", ""rule"": ""6.4.148.1"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.104"", ""result"": [""gamana"", ""I""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.87"", ""result"": [""gaman"", ""e""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gaman"", ""e""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,dvitiya,द्वितीया,"the object, extent, or destination",bahu,बहूनि,gamanAni,1,locally_regenerated,"[{""form_slp1"": ""gamanAni"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""Sas""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""Sas""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.8"", ""result"": [""gamana"", ""Sas""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""as""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""as""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.20"", ""result"": [""gamana"", ""Si""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.8"", ""result"": [""gamana"", ""Si""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.1.42"", ""result"": [""gamana"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.72"", ""result"": [""gamanan"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.4.8"", ""result"": [""gamanAn"", ""i""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamanAn"", ""i""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,trtiya,तृतीया,"the means, instrument, or accompaniment",eka,एकम्,gamanena,1,locally_regenerated,"[{""form_slp1"": ""gamanena"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""wA""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.7"", ""result"": [""gamana"", ""wA""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""A""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""A""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.12"", ""result"": [""gamana"", ""ina""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""ina""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""ina""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.87"", ""result"": [""gaman"", ""ena""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gaman"", ""ena""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,trtiya,तृतीया,"the means, instrument, or accompaniment",dvi,द्वे,gamanAByAm,1,locally_regenerated,"[{""form_slp1"": ""gamanAByAm"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""ByAm""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""ByAm""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""ByAm""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.17"", ""result"": [""gamana"", ""ByAm""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""ByAm""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.3.102"", ""result"": [""gamanA"", ""ByAm""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamanA"", ""ByAm""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,trtiya,तृतीया,"the means, instrument, or accompaniment",bahu,बहूनि,gamanEH,1,locally_regenerated,"[{""form_slp1"": ""gamanEH"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""Bis""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.4"", ""result"": [""gamana"", ""Bis""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""Bis""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.9"", ""result"": [""gamana"", ""Es""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""Es""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""Es""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""6.1.88"", ""result"": [""gaman"", ""Es""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.2.66"", ""result"": [""gaman"", ""Eru~""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.2"", ""result"": [""gaman"", ""Er""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.3.15"", ""result"": [""gaman"", ""EH""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gaman"", ""EH""]}]}]"
gamana,"गमनम् (gamanam), going",krdanta_ledger.csv,7a90db603ab51397148f,gamana,basic,Napumsaka,caturthi,चतुर्थी,"the recipient, beneficiary, or purpose",eka,एकम्,gamanAya,1,locally_regenerated,"[{""form_slp1"": ""gamanAya"", ""steps"": [{""rule_source"": ""azwADyAyI"", ""rule"": ""1.2.45"", ""result"": [""gamana""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""4.1.2"", ""result"": [""gamana"", ""Ne""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.8"", ""result"": [""gamana"", ""Ne""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.3.9"", ""result"": [""gamana"", ""e""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.13"", ""result"": [""gamana"", ""e""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.1.13"", ""result"": [""gamana"", ""ya""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.18"", ""result"": [""gamana"", ""ya""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""1.4.14"", ""result"": [""gamana"", ""ya""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""7.3.102"", ""result"": [""gamanA"", ""ya""]}, {""rule_source"": ""azwADyAyI"", ""rule"": ""8.4.68"", ""result"": [""gamanA"", ""ya""]}]}]"
