conditioned_candidate_id,input_form_slp1,semantic_context,semantic_description,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,rule_refs,source_locators,collapsed_duplicate_assertions,input_status,generated_output_forms_slp1,generated_output_variant_count,missing_expected_forms_slp1,additional_unconditioned_engine_forms_slp1,engine_error,verification_status,verified_word_meaning_id,reconciliation_status
c7627c355d3b4f8d1582,BrU,TasyaApatyam,Descendant. (4.1.92),Qak,BrOveya,1,4.1.125,kashika_4_1.rs:666,0,source_conditioned_relation_not_independent_nominal_count,BrUveya,1,BrOveya,BrUveya,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
0a866adb870c3afbb3b4,Svas,TatraBhava,Where this stays or exists. (4.3.53),WaY,SOvastika,1,4.3.15,kashika_4_3.rs:57,0,source_conditioned_relation_not_independent_nominal_count,,0,SOvastika,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
da8fe97866badd9c21c7,Svas,TatraBhava,Where this stays or exists. (4.3.53),tyu,Svastana,1,4.3.15,kashika_4_3.rs:59,0,source_conditioned_relation_not_independent_nominal_count,,0,Svastana,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
212dadbaf2dd074e1879,Svas,TatraBhava,Where this stays or exists. (4.3.53),tyul,Svastana,1,4.3.15,kashika_4_3.rs:60,0,source_conditioned_relation_not_independent_nominal_count,,0,Svastana,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
448c5842ce32bff3913b,aBra,TatraBhava,Where this stays or exists. (4.3.53),Ga,aBriya,1,4.4.118,kashika_4_4.rs:725,0,source_conditioned_relation_not_independent_nominal_count,,0,aBriya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
607df30db3779803eeac,agra,TatraBhava,Where this stays or exists. (4.3.53),Ga,agriya,1,4.4.117,kashika_4_4.rs:717,0,source_conditioned_relation_not_independent_nominal_count,,0,agriya,,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
23454b1bf41ac8678b19,asmad,TatraJata,Where this was born. (4.3.25),aR,AsmAka,1,4.3.1,kashika_4_3.rs:23,0,source_conditioned_relation_not_independent_nominal_count,Asmada,1,AsmAka,Asmada,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
d3d209601c95489ccbef,bfhatI,Acchadana,,kan,bfhatika,1,5.4.6,kashika_5_4.rs:26,0,source_conditioned_relation_not_independent_nominal_count,bfhatIka,1,bfhatika,bfhatIka,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
5ec5d37807350b485e20,caraka,TenaProktam,What is proclaimed by this person. (4.3.101),aR,caraka,1,4.3.107,kashika_4_3.rs:333,0,source_conditioned_relation_not_independent_nominal_count,cAraka,1,caraka,cAraka,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
de3ab133e780818c59fc,durBagA,TasyaApatyam,Descendant. (4.1.92),Qak,dOrBAgineya,1,4.1.126,kashika_4_1.rs:674,0,source_conditioned_relation_not_independent_nominal_count,dOrBageya,1,dOrBAgineya,dOrBageya,,engine_mismatch_not_admitted,,engine_mismatch_not_admitted
