source_example_id,source_file,source_function,source_line,rule_ref,source_test_status,helper,compound_type,member_forms_slp1,member_count,input_resolution,semantic_template,expected_forms_slp1,expected_variant_count
7ef8fc1eefdd09b3,kashika_2_1.rs,sutra_2_1_1,19,2.1.1,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,kazwa;Srita,2,literal_members,{b} directed toward or involving {a},kazwaSrita,1
e7c3d6b270063d6b,kashika_2_1.rs,sutra_2_1_1,20,2.1.1,active,assert_has_trtiya_tatpurusha,trtiya_tatpurusha,SaNkulA;KaRqa,2,literal_members,"{b} by, with, or through {a}",SaNkulAKaRqa,1
f9945ed0ecb3848d,kashika_2_1.rs,sutra_2_1_1,21,2.1.1,active,assert_has_caturthi_tatpurusha,caturthi_tatpurusha,yUpa;dAru,2,literal_members,{b} for {a},yUpadAru,1
ee56bc0ff4866dd7,kashika_2_1.rs,sutra_2_1_1,22,2.1.1,active,assert_has_panchami_tatpurusha,panchami_tatpurusha,vfka;Baya,2,literal_members,{b} from or because of {a},vfkaBaya,1
6acfbb56ac5ba42e,kashika_2_1.rs,sutra_2_1_1,23,2.1.1,active,assert_has_sasthi_tatpurusha,sasthi_tatpurusha,rAjan;puruza,2,literal_members,{b} of {a},rAjapuruza,1
cab81f07e69c080e,kashika_2_1.rs,sutra_2_1_1,24,2.1.1,active,assert_has_saptami_tatpurusha,saptami_tatpurusha,akza;SORqa,2,literal_members,{b} in or upon {a},akzaSORqa,1
ff83d91cb320b97d,kashika_2_1.rs,sutra_2_1_5,38,2.1.5,active,assert_has_avyayibhava,avyayibhava,yaTA;vfdDa,2,literal_members,indeclinable relation of {a} to {b},yaTAvfdDam,1
38ed00136788df0b,kashika_2_1.rs,sutra_2_1_6,45,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,aDi;strI,2,literal_members,indeclinable relation of {a} to {b},aDistri,1
4ad82e66211f9088,kashika_2_1.rs,sutra_2_1_6,46,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,aDi;kumArI,2,literal_members,indeclinable relation of {a} to {b},aDikumAri,1
523765c4394cf0e7,kashika_2_1.rs,sutra_2_1_6,47,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,upa;kumBa,2,literal_members,indeclinable relation of {a} to {b},upakumBam,1
bef876e2e3b45bbd,kashika_2_1.rs,sutra_2_1_6,48,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,upa;maRika,2,literal_members,indeclinable relation of {a} to {b},upamaRikam,1
e1f5bb1ce9ef1e9d,kashika_2_1.rs,sutra_2_1_6,49,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,su;madra,2,literal_members,indeclinable relation of {a} to {b},sumadram,1
61633990e41b93e4,kashika_2_1.rs,sutra_2_1_6,50,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,su;magaDa,2,literal_members,indeclinable relation of {a} to {b},sumagaDam,1
1fec672c7178b9b3,kashika_2_1.rs,sutra_2_1_6,51,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,dur;gavadika,2,literal_members,indeclinable relation of {a} to {b},durgavadikam,1
9e2419f8e608b4eb,kashika_2_1.rs,sutra_2_1_6,52,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,dur;yavana,2,literal_members,indeclinable relation of {a} to {b},duryavanam,1
e87de34612990d15,kashika_2_1.rs,sutra_2_1_6,53,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;makzika,2,literal_members,indeclinable relation of {a} to {b},nirmakzikam,1
53c8c501446b3e26,kashika_2_1.rs,sutra_2_1_6,54,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;maSaka,2,literal_members,indeclinable relation of {a} to {b},nirmaSakam,1
e33a4db591a1ee2f,kashika_2_1.rs,sutra_2_1_6,55,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,ati;hima,2,literal_members,indeclinable relation of {a} to {b},atihimam,1
26879a87f7e3a459,kashika_2_1.rs,sutra_2_1_6,56,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;hima,2,literal_members,indeclinable relation of {a} to {b},nirhimam,1
4320626b662e5c3c,kashika_2_1.rs,sutra_2_1_6,57,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,nir;SIta,2,literal_members,indeclinable relation of {a} to {b},niHSItam;niSSItam,2
b9cc8ae118f73803,kashika_2_1.rs,sutra_2_1_6,58,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,ati;tEsfka,2,literal_members,indeclinable relation of {a} to {b},atitEsfkam,1
0bc724708d88685a,kashika_2_1.rs,sutra_2_1_6,59,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,tad;pARini,2,literal_members,indeclinable relation of {a} to {b},tatpARini,1
5a562584e09238c4,kashika_2_1.rs,sutra_2_1_6,60,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,anu;raTa,2,literal_members,indeclinable relation of {a} to {b},anuraTam,1
6b416965dc081936,kashika_2_1.rs,sutra_2_1_6,61,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,prati;arTa,2,literal_members,indeclinable relation of {a} to {b},pratyarTam,1
21723c5be211be42,kashika_2_1.rs,sutra_2_1_6,62,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,yaTA;Sakti,2,literal_members,indeclinable relation of {a} to {b},yaTASakti,1
5b7eab742703a28d,kashika_2_1.rs,sutra_2_1_6,63,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,anu;jyezWa,2,literal_members,indeclinable relation of {a} to {b},anujyezWam,1
52b019b48d0ca8d3,kashika_2_1.rs,sutra_2_1_6,64,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;cakra,2,literal_members,indeclinable relation of {a} to {b},sacakram,1
4d000243b2bee5b7,kashika_2_1.rs,sutra_2_1_6,65,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;brahman,2,literal_members,indeclinable relation of {a} to {b},sabrahma,1
22ac5034bc4e326a,kashika_2_1.rs,sutra_2_1_6,66,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;kzatra,2,literal_members,indeclinable relation of {a} to {b},sakzatram,1
ff7c4e51ac560d33,kashika_2_1.rs,sutra_2_1_6,67,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;busa,2,literal_members,indeclinable relation of {a} to {b},sabusam,1
4e67357b51febbdf,kashika_2_1.rs,sutra_2_1_6,68,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;agni,2,literal_members,indeclinable relation of {a} to {b},sAgni,1
80f6d2c014fbddac,kashika_2_1.rs,sutra_2_1_6,69,2.1.6,ignored,assert_has_avyayibhava,avyayibhava,sa;izwi,2,literal_members,indeclinable relation of {a} to {b},sezwi,1
fb1a0f2dcca8407b,kashika_2_1.rs,sutra_2_1_7,74,2.1.7,active,assert_has_avyayibhava,avyayibhava,yaTA;vfdDa,2,literal_members,indeclinable relation of {a} to {b},yaTAvfdDam,1
be563d9c1d35627b,kashika_2_1.rs,sutra_2_1_7,75,2.1.7,active,assert_has_avyayibhava,avyayibhava,yaTA;aDyApaka,2,literal_members,indeclinable relation of {a} to {b},yaTADyApakam,1
370323c51578ce0e,kashika_2_1.rs,sutra_2_1_8,80,2.1.8,active,assert_has_avyayibhava,avyayibhava,yAvat;amatra,2,literal_members,indeclinable relation of {a} to {b},yAvadamatram,1
bd49a0807dd3bdfd,kashika_2_1.rs,sutra_2_1_9,85,2.1.9,active,assert_has_avyayibhava,avyayibhava,SAka;prati,2,literal_members,indeclinable relation of {a} to {b},SAkaprati,1
cb0a46ea3438bd37,kashika_2_1.rs,sutra_2_1_10,90,2.1.10,active,assert_has_avyayibhava,avyayibhava,akza;pari,2,literal_members,indeclinable relation of {a} to {b},akzapari,1
5dc3f7bd1396b99a,kashika_2_1.rs,sutra_2_1_10,91,2.1.10,active,assert_has_avyayibhava,avyayibhava,SalAkA;pari,2,literal_members,indeclinable relation of {a} to {b},SalAkApari,1
bd933599081ded56,kashika_2_1.rs,sutra_2_1_10,92,2.1.10,active,assert_has_avyayibhava,avyayibhava,eka;pari,2,literal_members,indeclinable relation of {a} to {b},ekapari,1
5d5ebabcc7ddb35d,kashika_2_1.rs,sutra_2_1_10,93,2.1.10,active,assert_has_avyayibhava,avyayibhava,dvi;pari,2,literal_members,indeclinable relation of {a} to {b},dvipari,1
895cc6b26ee32350,kashika_2_1.rs,sutra_2_1_10,94,2.1.10,active,assert_has_avyayibhava,avyayibhava,tri;pari,2,literal_members,indeclinable relation of {a} to {b},tripari,1
a8b08f9f1455b744,kashika_2_1.rs,sutra_2_1_10,95,2.1.10,active,assert_has_avyayibhava,avyayibhava,catus;pari,2,literal_members,indeclinable relation of {a} to {b},catuzpari,1
e0d6bdf61bc31875,kashika_2_1.rs,sutra_2_1_13,100,2.1.13,active,assert_has_avyayibhava,avyayibhava,A;pAwaliputra,2,literal_members,indeclinable relation of {a} to {b},ApAwaliputram,1
74275ac6828bf49b,kashika_2_1.rs,sutra_2_1_13,101,2.1.13,active,assert_has_avyayibhava,avyayibhava,A;kumAra,2,literal_members,indeclinable relation of {a} to {b},AkumAram,1
8298428680d2426d,kashika_2_1.rs,sutra_2_1_14,106,2.1.14,active,assert_has_avyayibhava,avyayibhava,aBi;agni,2,literal_members,indeclinable relation of {a} to {b},aByagni,1
bd8e0309e64be5da,kashika_2_1.rs,sutra_2_1_14,107,2.1.14,active,assert_has_avyayibhava,avyayibhava,prati;agni,2,literal_members,indeclinable relation of {a} to {b},pratyagni,1
55995bedce45f6a5,kashika_2_1.rs,sutra_2_1_15,112,2.1.15,active,assert_has_avyayibhava,avyayibhava,anu;vana,2,literal_members,indeclinable relation of {a} to {b},anuvanam,1
dd1c67cb3deb66a6,kashika_2_1.rs,sutra_2_1_19,117,2.1.19,active,assert_has_avyayibhava,avyayibhava,dvi;muni,2,literal_members,indeclinable relation of {a} to {b},dvimuni,1
f85d55ab3997fb6a,kashika_2_1.rs,sutra_2_1_19,118,2.1.19,active,assert_has_avyayibhava,avyayibhava,tri;muni,2,literal_members,indeclinable relation of {a} to {b},trimuni,1
2457fa3f270da5f7,kashika_2_1.rs,sutra_2_1_24,123,2.1.24,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,kazwa;Srita,2,literal_members,{b} directed toward or involving {a},kazwaSrita,1
a391d1b997c471c2,kashika_2_1.rs,sutra_2_1_24,124,2.1.24,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,naraka;Srita,2,literal_members,{b} directed toward or involving {a},narakaSrita,1
e441bfebde8cb02d,kashika_2_1.rs,sutra_2_1_24,125,2.1.24,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,kAntAra;atIta,2,literal_members,{b} directed toward or involving {a},kAntArAtIta,1
554b51233446b84b,kashika_2_1.rs,sutra_2_1_24,126,2.1.24,active,assert_has_dvitiya_tatpurusha,dvitiya_tatpurusha,naraka;patita,2,literal_members,{b} directed toward or involving {a},narakapatita,1
