eligible_word_meaning_id,input_form_slp1,semantic_context,semantic_relation,expected_output_forms_slp1,expected_output_variant_count,output_class,relation_class,domain,taddhita_source_variants,semantic_rule_refs,source_test_rules,source_locators,collapsed_duplicate_assertions,collapsed_alternative_derivations,eligibility_status,generated_output_forms_slp1,generated_by_suffix_json,missing_expected_forms_slp1,additional_engine_forms_slp1,engine_errors,verification_status,existing_ledger_overlaps,reconciliation_status
ff22232ab00ecd306c9b,Siva,TasyaApatyam,a descendant or child of the named person,SEva,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.1.92,4.1.112,kashika_4_1.rs:581,0,0,source_semantic_relation_recovered,SEva,"{""aR"":[""SEva""]}",,,,verified,,admitted_additional_plain_relation
19a81c2e3acb50bc8de3,kanyA,TasyaApatyam,a descendant or child of the named person,kAnIna,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.1.92,4.1.116,kashika_4_1.rs:591,0,0,source_semantic_relation_recovered,kAnIna,"{""aR"":[""kAnIna""]}",,,,verified,,admitted_additional_plain_relation
04b88828446da37a5fa8,prozWa,TasyaApatyam,a descendant or child of the named person,prOzWa,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.1.92,4.1.112,kashika_4_1.rs:582,0,0,source_semantic_relation_recovered,prOzWa,"{""aR"":[""prOzWa""]}",,,,verified,,admitted_additional_plain_relation
35c3e66333a05645b744,yamunA,TasyaApatyam,a descendant or child of the named person,yAmuna,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.1.92,4.1.121,kashika_4_1.rs:631,0,0,source_semantic_relation_recovered,yAmuna,"{""aR"":[""yAmuna""]}",,,,verified,,admitted_additional_plain_relation
dea1e817861056f0eb69,balbaja,CaturarthikaPresence,a place named for the presence of the named entity,bAlbaja,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.2.67,4.2.67,kashika_4_2.rs:273,0,0,source_semantic_relation_recovered,bAlbaja,"{""aR"":[""bAlbaja""]}",,,,verified,,admitted_additional_plain_relation
8dce8fbcd0a4627e0a8a,parvata,CaturarthikaPresence,a place named for the presence of the named entity,pArvata,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.2.67,4.2.67,kashika_4_2.rs:274,0,0,source_semantic_relation_recovered,pArvata,"{""aR"":[""pArvata""]}",,,,verified,,admitted_additional_plain_relation
4b253ec4fee7e8c2ffb0,udumbara,CaturarthikaPresence,a place named for the presence of the named entity,Odumbara,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.2.67,4.2.67,kashika_4_2.rs:272,0,0,source_semantic_relation_recovered,Odumbara,"{""aR"":[""Odumbara""]}",,,,verified,,admitted_additional_plain_relation
b0c26b2aec91ea1e6584,kuSAmba,CaturarthikaCreation,a place established or produced by the named entity,kOSAmba,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.2.68,4.2.68,kashika_4_2.rs:279,0,0,source_semantic_relation_recovered,kOSAmba,"{""aR"":[""kOSAmba""]}",,,,verified,,admitted_additional_plain_relation
3b7eafe9880d1b8316f8,sahasra,CaturarthikaCreation,a place established or produced by the named entity,sAhasra,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.2.68,4.2.68,kashika_4_2.rs:280,0,0,source_semantic_relation_recovered,sAhasra,"{""aR"":[""sAhasra""]}",,,,verified,,admitted_additional_plain_relation
26677a9c0dc71d5e3987,Siba,CaturarthikaDwelling,a place where the named people or entity dwell,SEba,1,nominal_base,meaning_bearing_derivative,laukika,aR,4.2.69,4.2.69,kashika_4_2.rs:286,0,0,source_semantic_relation_recovered,SEba,"{""aR"":[""SEba""]}",,,,verified,,admitted_additional_plain_relation
