stri_relation_id,input_form_slp1,semantic_relation,expected_nominative_forms_slp1,expected_variant_count,source_rule_refs,source_assertion_ids,source_assertion_count,eligibility_status,generated_nominative_forms_slp1,generated_variant_count,missing_expected_forms_slp1,expected_forms_with_stri_suffix_slp1,applied_stri_suffixes,applied_rule_refs,engine_error,verification_status,count_status
a63b4486588094c57034,Bavat,feminine counterpart of the demonstrated nominal base,BavatI,1,4.1.6,0586cd55359169d17960,1,source_demonstrated_candidate,Bavad;Bavat,2,BavatI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
d66ae578b475b8ae94ed,Kanaka,feminine counterpart of the demonstrated nominal base,KanakI,1,4.1.41,dd0d6d3a5aa5ad7a2c8f,1,source_demonstrated_candidate,KanakA,1,KanakI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
5c3201f068764a5c88aa,atiBavat,feminine counterpart of the demonstrated nominal base,atiBavatI,1,4.1.6,7dd3fa8c2d41a16afa51,1,source_demonstrated_candidate,atiBavad;atiBavat,2,atiBavatI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
3bc53c6c18148347d80a,catuzpAd,feminine counterpart of the demonstrated nominal base,catuzpAt;catuzpadA;catuzpadI,3,4.1.8,6d7fb331ed5114577c6e,1,source_demonstrated_candidate,catuzpAd;catuzpAt,2,catuzpadA;catuzpadI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
7926b3537044f18f4dba,duhitf,feminine counterpart of the demonstrated nominal base,duhitA,1,4.1.10,ad5494d5079455338bdc,1,source_demonstrated_candidate,duhitA,1,,,,,,inflection_only_no_stri_derivation,not_counted_inflection_only_no_stri_derivation
78449751d6ef7503a390,dvipAd,feminine counterpart of the demonstrated nominal base,dvipAt;dvipadA;dvipadI,3,4.1.8,f8d941f77e268af1acae,1,source_demonstrated_candidate,dvipAd;dvipAt,2,dvipadA;dvipadI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
b8d7e11ca0baabb7da85,mAtf,feminine counterpart of the demonstrated nominal base,mAtA,1,4.1.10,53d3fc79c7aadd4c0fdb,1,source_demonstrated_candidate,mAtA,1,,,,,,inflection_only_no_stri_derivation,not_counted_inflection_only_no_stri_derivation
b1b15cfb45e33f7c505a,nanAndf,feminine counterpart of the demonstrated nominal base,nanAndA,1,4.1.10,2638e08ca06c77825449,1,source_demonstrated_candidate,nanAndA,1,,,,,,inflection_only_no_stri_derivation,not_counted_inflection_only_no_stri_derivation
7ab3f6761e174e55c9e0,nartaka,feminine counterpart of the demonstrated nominal base,nartakI,1,4.1.41,e7cfbe92994f1e8ad7b4,1,source_demonstrated_candidate,nartakA,1,nartakI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
697b4cf622f7d4002ac4,pacat,feminine counterpart of the demonstrated nominal base,pacantI,1,4.1.6,5968503d936beffebb4c,1,source_demonstrated_candidate,pacad;pacat,2,pacantI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
3fd85ea5e07070c868f5,rajaka,feminine counterpart of the demonstrated nominal base,rajakI,1,4.1.41,e44a50c202cfe15a7201,1,source_demonstrated_candidate,rajakA,1,rajakI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
1e74d7b1a6f0a224acbb,svasf,feminine counterpart of the demonstrated nominal base,svasA,1,4.1.10,f3c77414144a26bd8ec5,1,source_demonstrated_candidate,svasA,1,,,,,,inflection_only_no_stri_derivation,not_counted_inflection_only_no_stri_derivation
b05a0cf2e0570dd6687d,tripAd,feminine counterpart of the demonstrated nominal base,tripAt;tripadA;tripadI,3,4.1.8,77d19a66ba3cd50d3c23,1,source_demonstrated_candidate,tripAd;tripAt,2,tripadA;tripadI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
122283329c4d4d657981,yAtf,feminine counterpart of the demonstrated nominal base,yAtA,1,4.1.10,172efc2852260e30dd35,1,source_demonstrated_candidate,yAtA,1,,,,,,inflection_only_no_stri_derivation,not_counted_inflection_only_no_stri_derivation
83e4963d65967d2b5d79,yajat,feminine counterpart of the demonstrated nominal base,yajantI,1,4.1.6,b83dee0e0d43ced56796,1,source_demonstrated_candidate,yajad;yajat,2,yajantI,,,,,engine_mismatch_not_admitted,not_counted_engine_mismatch_not_admitted
