row_id,subclaim,numerator,denominator,percentage,relation,unit,label,grade,plot_status,note
SG-01,short instrumental -ā,1,9,11.1,exact_ratio,tokens,RECURRING,B,plot,Whitney RV ratio; -ena family is 8/9
SG-02,-ayā contracted to -ā,1,2,50.0,approximate,tokens,COMMON,B,plot,Use ≈ symbol
SG-03,ikārānta -yā lexical breadth,5,30,16.7,exact_reported_types,lexemes,RECURRING,B,plot,Five -yā lexemes against twenty-five -inā lexemes
SG-03,ukārānta -vā lexical breadth,4,34,11.8,exact_reported_types,lexemes,RECURRING,B,plot,Four -vā lexemes against thirty -unā lexemes
SG-04,feminine contraction to -ī,2,3,66.7,exact_ratio,tokens,COMMON,B,plot,Occasional -i and rare -inā need separate markers
SG-05,adverbial -uyā breadth,6,,,approximate_absolute,lexemes,RARE,B,dot,No denominator
SG-06,short ukārānta dative -ve,3,63,4.8,upper_bound,lexemes,RARE,B,plot,Denominator is greater than 63; percentage is less than 4.8
SG-07,inserted-n neuter dative tokens,1,18,5.6,exact_annotated,tokens,RECURRING,A,plot,One madhune among eighteen reviewed neuter ikārānta/ukārānta dative-singular tokens; five lexemes represented
SG-08,prevailing ukārānta genitive-ablative type,70,76,92.1,lower_bound,lexemes,DOMINANT,B,plot,Numerator is greater than 70; field is not neuter-only
SG-09,masculine -unaḥ,2,,,exact_absolute,tokens,ISOLATED,B,dot,Keep apart from common -yaḥ and -vaḥ
SG-10,ikārānta locative -ā,1,3,33.3,derived_ratio,tokens,COMMON,B,plot,Source says -ā occurs half as often as -au
SG-10,agnā lexical check,8,30,26.7,exact_checked,tokens,COMMON,A,plot,Supporting lexeme rather than class rate
SG-11,locatives in -ī,6,,,approximate_absolute,forms,RARE,B,dot,About six reported
SG-12,sānavi against sānau,9,28,32.1,exact_checked,tokens,COMMON,A,plot,Checked lexeme only; -ayi excluded as doubtful
SG-13,neuter locative -ini,0,,,defined_absence,forms,ABSENT,B,zero,Do not apply zero to rare -uni
SG-14,long-vowel class comparison,,,,unknown,,UNKNOWN,U,unknown,
SG-15,derivative ākārānta contraction,1,2,50.0,approximate,tokens,COMMON,B,plot,Shares SG-02 field
SG-16,śamī/śami against śamyā,8,10,80.0,exact_annotated,tokens,DOMINANT,A,plot,Checked lexeme: śamī 3; śami 5; uncontracted śamyā 2
SG-17,gaurī locative singular,1,,,exact_annotated,tokens,ISOLATED,A,dot,One checked locative-singular token
