row_id,figure_family,ending_or_word_class,gender,vibhakti_or_operation,vaidika_form_or_range,laukika_form_or_range,category_level,initial_placement,evidence,qualification,confirmed_dv,figure_instruction,passage_references,subclaim,numerator,denominator,percentage,relation,unit,label,grade,plot_status,note
AC-01,Accent and Recitation,Accent of the vocative,,Recitation and sentence accent,"The first syllable of a Vedic vocative expression receives the accent, while later words in the same vocative expression lose theirs",,Recitation and sentence accent,Appendix,FORM · OPEN,N/A,—,Add a paired vocative-accent passage before assigning a code.,,vocative accent expressions,,,,not_applicable,,N/A,U,no_plot,
AC-02,Accent and Recitation,Accent movement within declension,,Audible rather than segmental difference,Several ending classes move the pitch to the ending in cases where laukika writing does not preserve the contrast,,Audible rather than segmental difference,Appendix,FORM · OPEN,N/A,—,Select two accent-movement classes before assigning a code.,,declensional accent movement,,,,not_applicable,,N/A,U,no_plot,
AC-03,Accent and Recitation,Resolved endings,,Meter and recitation rather than a separate *vibhakti*,"Forms such as **-enā, -ebhiaḥ, -ānām** can occupy more syllables in Vedic recitation than their written form suggests",,Meter and recitation rather than a separate *vibhakti*,Appendix,FORM · FUNCTION · PASSAGE OPEN,—,MAT · REC,"Present as audible resolution, not as another written ending.",,resolved -ānām,,,50.0,upper_bound,tokens,UNKNOWN,B,plot,Less than half
AC-04,Accent and Recitation,*Pragṛhya* case forms,,Junction behavior attached to a declined form,Forms such as **-ī** or **-e** can resist the expected sound combination at a following vowel,,Junction behavior attached to a declined form,Appendix,FORM · PASSAGE · FUNCTION,—,REC · REL,"Use ***वेदी अस्याम्, युष्मे इत्,*** and ***त्वे इत्***.",,checked pragṛhya examples,3,,,exact_absolute,worked_examples,UNKNOWN,A,dot,Demonstrates operation but does not measure field
CL-01,Word Classes,Polysyllabic ***ईकारान्त / ऊकारान्त*** words,,,"A substantial group follows the same pattern as monosyllabic long-vowel words; examples include forms represented by ***रथी, नदी, तनू (*rathī, nadī, tanū*)***",Most are reassigned to the derivative feminine pattern,Major class redistribution,Companion with summary in Appendix,FORM · OPEN,—,—,Retain as a paradigm-distribution summary.,,polysyllabic long-vowel group,80,,,lower_bound,lexemes,RECURRING,B,dot,More than 80
CL-02,Word Classes,Vedic long-vowel words retained later,,,Several Vedic words move from the older long-vowel pattern into the dominant laukika feminine declension,Laukika regularizes them under the derivative pattern,Class redistribution,Companion,FORM · OPEN,RARE · 3 secure + 2-3 doubtful,—,Retain as a class-redistribution summary.,,secure RV transfer examples,3,,,exact_source_examples,forms,RARE,B,dot,Whitney lists dūtiām; śvaśruām; dravitnuā; plus two or three doubtful cases
CL-03,Word Classes,***अस्-अन्त*** words,,,Vedic contracts **-asam / -asas** to **-ām / -ās** in several cases; these contractions also produce parallel ***आकारान्त*** word forms,Laukika preserves the regular ***अस्-अन्त*** pattern or treats the resulting ***आकारान्त*** word as a separate lexical form,Reanalysis across classes,Companion,FORM · OPEN,RECURRING · 4 source examples,—,Show examples rather than a percentage.,,as-ending contraction examples,4,,,exact_source_examples,forms,RECURRING,B,dot,Whitney illustrates āśām; vedhām; surādhās; anāgās but supplies no complete denominator
CL-04,Word Classes,***इस् / उस्-अन्त*** words,,,Vedic shows movement among **-is / -i / -iṣa** and **-us / -u / -uṣa** patterns,Laukika settles individual words into a more regular class,Reanalysis across classes,Companion,FORM · OPEN,ISOLATED,—,Use *janūs* once and label the broader family summary separately.,,janūs transition,1,,,exact_source_count,tokens,ISOLATED,B,dot,Whitney reports the RV form once
CL-05,Word Classes,***अहन् (*ahan*)*** “day”,,,"Vedic uses forms from ***अहन्, अहर्, अहस् (*ahan, ahar, ahas*)*** across the paradigm, including older middle-case forms",Laukika restricts the distribution of the three forms,Lexical paradigm,Companion,FORM · OPEN,—,—,Retain the ***अहन् / अहर् / अहस्*** paradigm.,,ahan-ahar-ahas,1,,,exact_absolute,paradigm,N/A,A,paradigm,
CL-06,Word Classes,***ऊधन् (*ūdhan*)*** “udder”,,,"Vedic alternates ***ऊधन्, ऊधर्, ऊधस् (*ūdhan, ūdhar, ūdhas*)***",Laukika largely treats the word as an ***अस्-अन्त*** form,Lexical paradigm,Companion,FORM · OPEN,—,—,Retain the ***ऊधन् / ऊधर् / ऊधस्*** paradigm.,,ūdhan-ūdhar-ūdhas,1,,,exact_absolute,paradigm,N/A,A,paradigm,
CL-07,Word Classes,"***अक्षन्, अस्थन्, दधन्, सक्थन्*** class",,,"Vedic preserves additional forms directly from the ***अन्-अन्त*** base, including plural forms",Laukika builds much of the paradigm from parallel ***इकारान्त*** forms such as ***अक्षि (*akṣi*)***,Small lexical class,Companion,FORM · OPEN,—,—,Retain the four-word class summary.,,akṣan-asthan-dadhan-sakthan,4,,,exact_absolute,lexemes,RARE,B,dot,
CL-08,Word Classes,***पन्थन् (*panthan*)*** “path”,,,"Vedic distributes forms across ***पन्था, पथि, पथ् (*panthā, pathi, path*)*** differently from laukika and preserves additional plurals",Laukika regularizes the distribution assigned to the three forms,Lexical paradigm,Companion,FORM · OPEN,—,—,Retain the ***पन्था / पथि / पथ्*** paradigm.,,panthā-pathi-path,1,,,exact_absolute,paradigm,N/A,A,paradigm,
CL-09,Word Classes,perfect participles,,,Vedic uses the reduced form more widely and the **-vat** form more narrowly than laukika,Laukika extends the **-vat** form into more case positions,Participial declension,Companion,FORM · OPEN,—,—,Retain without a DV code.,,middle -vat RV forms,3,,,exact_absolute,tokens,RARE,B,dot,Zero in AV
