conditioned_candidate_id,input_form_slp1,semantic_context,semantic_description,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,rule_refs,source_locators,collapsed_duplicate_assertions,input_status,generated_output_forms_slp1,generated_output_variant_count,missing_expected_forms_slp1,additional_unconditioned_engine_forms_slp1,engine_error,verification_status,verified_word_meaning_id
c558dbca0a42cebba1cb,AQaka,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Ka,AQakIna,1,5.1.53,kashika_5_1.rs:361,0,source_conditioned_relation_not_independent_nominal_count,AQakIna,1,,,,verified,92921fd12c8aeb1e9d96
20db120478644e4da625,AQaka,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Wak,AQakika,1,5.1.53,kashika_5_1.rs:362,0,source_conditioned_relation_not_independent_nominal_count,AQakika,1,,,,verified,461094465d4a5ba652ae
4b5cb080dcc3f07d5d5e,ASitaNgu,Svarthe,,Ka,ASitaNgavIna,1,5.4.7,kashika_5_4.rs:32,0,source_conditioned_relation_not_independent_nominal_count,ASitaNgavIna,1,,,,verified,3edc979fcfea69e8f6e1
92866324368293caf11b,ASvayujI,TatraSambhute,Where this was adapted. (4.3.41),vuY,ASvayujaka,1,4.3.45,kashika_4_3.rs:183,0,source_conditioned_relation_not_independent_nominal_count,ASvayujaka,1,,,,verified,522cc5ce4315afd6bdd6
f0eb2d16231822d2fe60,Acita,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Ka,AcitIna,1,5.1.53,kashika_5_1.rs:364,0,source_conditioned_relation_not_independent_nominal_count,AcitIna,1,,,,verified,4f8d1bc326f40a889b3f
b1dd15b46164d2cbbf55,Acita,SambhavatiAharatiPacati,"What is capable of this, or holds this, or cooks this. (5.152)",Wak,Acitika,1,5.1.53,kashika_5_1.rs:365,0,source_conditioned_relation_not_independent_nominal_count,Acitika,1,,,,verified,6353d3c2a420becd4dfc
7408d70ff146093f7cea,Akara,Avakraya,What is taxed. (4.4.50),Wak,Akarika,1,4.4.50,kashika_4_4.rs:358,0,source_conditioned_relation_not_independent_nominal_count,Akarika,1,,,,verified,91fe3f59b5ca7c456793
eeef7d17ea0579b5ac70,Akara,Niyuktam,Where one is appointed. (4.4.69),Wak,Akarika,1,4.4.69,kashika_4_4.rs:473,0,source_conditioned_relation_not_independent_nominal_count,Akarika,1,,,,verified,2c0353b8e5edddc9ae2e
25b3644c434d547d327f,Akara,TasyaDharmyam,One who has this custom. (4.4.47),Wak,Akarika,1,4.4.47,kashika_4_4.rs:333,0,source_conditioned_relation_not_independent_nominal_count,Akarika,1,,,,verified,910e88c1c6024c6d71a1
b8f0e193417536f4a985,Akarza,TatraKushala,Skilled in this. (5.2.63),kan,Akarzaka,1,5.2.64,kashika_5_2.rs:337,0,source_conditioned_relation_not_independent_nominal_count,Akarzaka,1,,,,verified,73c7d3aede3d380de44b
