example_id,source_file,source_function,source_line,rule_ref,input_form_slp1,semantic_context,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,source_assertion_status,semantic_description,semantic_description_status,semantic_disposition
5df8ec1ed5e8ebbf0638,kashika_4_1.rs,sutra_4_1_83,421,4.1.83,upagu,TasyaApatyam,aR,Opagava,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
8c4ddc557df56a1ebe80,kashika_4_1.rs,sutra_4_1_83,422,4.1.83,kapawu,TasyaApatyam,aR,kApawava,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
c43ab6d73dd1c556a560,kashika_4_1.rs,sutra_4_1_84,427,4.1.84,aSvapati,TasyaApatyam,aR,ASvapata,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
8d7888fe8438f8908e10,kashika_4_1.rs,sutra_4_1_84,428,4.1.84,Satapati,TasyaApatyam,aR,SAtapata,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
db094fca3fb21c3fec8f,kashika_4_1.rs,sutra_4_1_85,433,4.1.85,diti,TasyaApatyam,Rya,dEtya,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
b72ee42ed71a578e75c4,kashika_4_1.rs,sutra_4_1_85,434,4.1.85,aditi,TasyaApatyam,Rya,Aditya,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
06ff86d8d4a823114815,kashika_4_1.rs,sutra_4_1_85,435,4.1.85,senApati,TasyaApatyam,Rya,sEnApatya,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
a6cf77253be7facf3439,kashika_4_1.rs,sutra_4_1_86,440,4.1.86,utsa,TasyaApatyam,aY,Otsa,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
3a57f6b0ee415f5c8a34,kashika_4_1.rs,sutra_4_1_86,441,4.1.86,udapAna,TasyaApatyam,aY,OdapAna,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
3c353254705d0f002ef4,kashika_4_1.rs,sutra_4_1_87,446,4.1.87,strI,TasyaApatyam,naY,strERa,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
1b3de3f79109027a4010,kashika_4_1.rs,sutra_4_1_87,447,4.1.87,pums,TasyaApatyam,snaY,pOMsna,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
a736f486619411bd036f,kashika_4_1.rs,sutra_4_1_92,452,4.1.92,upagu,TasyaApatyam,aR,Opagava,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
c37493f41ce578601d28,kashika_4_1.rs,sutra_4_1_92,453,4.1.92,aSvapati,TasyaApatyam,aR,ASvapata,1,positive,Descendant. (4.1.92),documented_english_gloss,source_conditioned_candidate
