assertion_id,source_file,source_line,test_function,governing_rule,input_form_slp1,taddhita_source_variant,expected_output_forms_slp1,expected_output_variant_count,assertion_status,test_status,semantic_row_id,semantic_rule_ref,semantic_context,semantic_relation,semantic_family,output_class,relation_class,domain,rule_source_file,rule_source_url,semantic_status
317e33fe26f7b0f130c4,kashika_4_1.rs,581,sutra_4_1_112,4.1.112,Siva,aR,SEva,1,positive,active_test,141910dbb7627d84b6c4,4.1.92,TasyaApatyam,a descendant or child of the named person,descent,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.1.92.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.1.92.htm,semantic_relation_recovered
a3057070a45a919c5376,kashika_4_1.rs,582,sutra_4_1_112,4.1.112,prozWa,aR,prOzWa,1,positive,active_test,3df4839922acc60f300b,4.1.92,TasyaApatyam,a descendant or child of the named person,descent,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.1.92.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.1.92.htm,semantic_relation_recovered
ca10c5745f4f67749314,kashika_4_1.rs,585,sutra_4_1_112,4.1.112,Siva,iY,,0,negative,active_test,eac8e11b88becdeba79e,,,,,,,,,,negative_assertion_not_admitted
9e69bfeca868fb7f9c1c,kashika_4_1.rs,586,sutra_4_1_112,4.1.112,prozWa,iY,,0,negative,active_test,239860f93f280cd3321a,,,,,,,,,,negative_assertion_not_admitted
b485e4458a7c7ec2dfb7,kashika_4_1.rs,591,sutra_4_1_116,4.1.116,kanyA,aR,kAnIna,1,positive,active_test,4df1ed8d90fa878166c0,4.1.92,TasyaApatyam,a descendant or child of the named person,descent,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.1.92.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.1.92.htm,semantic_relation_recovered
ccf14ebbe93f4dbb897e,kashika_4_1.rs,630,sutra_4_1_121,4.1.121,yamunA,Qak,,0,negative,active_test,2b818595451af0f5b34a,,,,,,,,,,negative_assertion_not_admitted
7a5075a9bf3f1bf2ccdf,kashika_4_1.rs,631,sutra_4_1_121,4.1.121,yamunA,aR,yAmuna,1,positive,active_test,f55c439ecdba16f9f301,4.1.92,TasyaApatyam,a descendant or child of the named person,descent,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.1.92.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.1.92.htm,semantic_relation_recovered
be18d882e1f6dcdb9342,kashika_4_2.rs,272,sutra_4_2_67,4.2.67,udumbara,aR,Odumbara,1,positive,active_test,13bfae864a1bb3ee6bc2,4.2.67,CaturarthikaPresence,a place named for the presence of the named entity,place_presence,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.2.67.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.2.67.htm,semantic_relation_recovered
175709f2f03f5935c865,kashika_4_2.rs,273,sutra_4_2_67,4.2.67,balbaja,aR,bAlbaja,1,positive,active_test,34112aa7e318bcaaba3a,4.2.67,CaturarthikaPresence,a place named for the presence of the named entity,place_presence,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.2.67.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.2.67.htm,semantic_relation_recovered
e964fbc90b9a19c9b28c,kashika_4_2.rs,274,sutra_4_2_67,4.2.67,parvata,aR,pArvata,1,positive,active_test,c83abaf2863c0fac1fc7,4.2.67,CaturarthikaPresence,a place named for the presence of the named entity,place_presence,nominal_base,meaning_bearing_derivative,laukika,plain-taddhita-rule-4.2.67.html,https://sanskritdocuments.org/learning_tools/ashtadhyayi/vyakhya/4/4.2.67.htm,semantic_relation_recovered
