source_code,meaning_id,provisional_word_id,gana,citation_slp1,meaning_slp1,meaning_display,status,source_gloss_slp1,source_line,source_url,meaning_evidence,cross_reference_evidence,entry_completeness,count_key,identity_batch_review_id,normalized_citation_slp1,normalized_meaning_slp1,normalized_count_key,record_kind,reconciliation_id
01.0001,meaning-4f8785226893,01.0001,1,BU,sattAyAm,सत्तायाम् (sattāyām),source_assignment_pending_lexical_review,sattAyAm,2,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0001"", ""meaning-4f8785226893""]",IR01,BU,sattAyAm,"[""01.0001"", ""meaning-4f8785226893""]",lexical,
01.0002,meaning-7e172f9d8575,01.0002,1,eDa~\,vfdDO,वृद्धौ (vṛddhau),source_assignment_pending_lexical_review,vfdDO,3,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0002"", ""meaning-7e172f9d8575""]",,eDa~\,vfdDO,"[""01.0002"", ""meaning-7e172f9d8575""]",lexical,
01.0003,meaning-eaa4c9581c6b,01.0003,1,sparDa~\,saNGarze,सङ्घर्षे (saṅgharṣe),source_assignment_pending_lexical_review,saNGarze,4,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,single_gloss,"[""01.0003"", ""meaning-eaa4c9581c6b""]",,sparDa~\,saNGarze,"[""01.0003"", ""meaning-eaa4c9581c6b""]",lexical,
01.0004,meaning-83e37f3a87c4,01.0004,1,gADf~\,pratizWAyAm,प्रतिष्ठायाम् (pratiṣṭhāyām),source_assignment_pending_lexical_review,pratizWAlipsayorgranTe ca,5,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0004"", ""meaning-83e37f3a87c4""]",,gADf~\,pratizWAyAm,"[""01.0004"", ""meaning-83e37f3a87c4""]",lexical,
01.0004,meaning-412d054d7980,01.0004,1,gADf~\,lipsAyAm,लिप्सायाम् (lipsāyām),source_assignment_pending_lexical_review,pratizWAlipsayorgranTe ca,5,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0004"", ""meaning-412d054d7980""]",,gADf~\,lipsAyAm,"[""01.0004"", ""meaning-412d054d7980""]",lexical,
01.0004,meaning-b687ba9bbadc,01.0004,1,gADf~\,granTe,ग्रन्थे (granthe),source_assignment_pending_lexical_review,pratizWAlipsayorgranTe ca,5,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0004"", ""meaning-b687ba9bbadc""]",,gADf~\,granTe,"[""01.0004"", ""meaning-b687ba9bbadc""]",lexical,
01.0005,meaning-476077c1bded,01.0005,1,bADf~\,loqane,लोडने (loḍane),source_assignment_pending_lexical_review,"loqane, rowane",6,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0005"", ""meaning-476077c1bded""]",,bADf~\,loqane,"[""01.0005"", ""meaning-476077c1bded""]",lexical,
01.0005,meaning-7cf338b886ec,01.0005,1,bADf~\,rowane,रोटने (roṭane),source_assignment_pending_lexical_review,"loqane, rowane",6,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0005"", ""meaning-7cf338b886ec""]",,bADf~\,rowane,"[""01.0005"", ""meaning-7cf338b886ec""]",lexical,
01.0006,meaning-8db8a7c441d3,01.0006,1,nADf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,7,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0006"", ""meaning-8db8a7c441d3""]",,nADf~\,yAcYAyAm,"[""01.0006"", ""meaning-8db8a7c441d3""]",lexical,
01.0006,meaning-c255753f9f9e,01.0006,1,nADf~\,upatApe,उपतापे (upatāpe),source_assignment_pending_lexical_review,yAcYopatApESvaryASIzzu,7,https://raw.githubusercontent.com/ambuda-org/vidyut/f3ba4167d40eebc4b3023d24e66867aa6a8cdb32/vidyut-prakriya/data/dhatupatha.tsv,,,enumerated_glosses,"[""01.0006"", ""meaning-c255753f9f9e""]",,nADf~\,upatApe,"[""01.0006"", ""meaning-c255753f9f9e""]",lexical,
