relation_id,family_id,input_form_slp1,semantic_context,semantic_relation,taddhita_source_variant,visible_suffix,expected_output_forms_slp1,expected_output_variant_count,rule_ref,source_file,source_line,source_kind,eligibility_status,generated_output_forms_slp1,missing_expected_forms_slp1,additional_engine_forms_slp1,engine_error,verification_status,reconciliation_status
f141534c9ff0201c3d48,devata_relation,dyAvApfTivI,SaAsyaDevata,having the named form as its devata,Ca,Iya,dyAvApfTivIya,1,4.2.32,kashika_4_2.rs,120,expanded_local_helper,source_condition_satisfied,dyAvApfTivIya,,,,verified,admitted_additional_conditioned_relation
8a1d9aad5b7d7155e60e,devata_relation,dyAvApfTivI,SaAsyaDevata,having the named form as its devata,yat,ya,dyAvApfTivya,1,4.2.32,kashika_4_2.rs,120,expanded_local_helper,source_condition_satisfied,dyAvApfTivya,,,,verified,admitted_additional_conditioned_relation
d3e518aab10c65c22c75,devata_relation,SunAsIra,SaAsyaDevata,having the named form as its devata,Ca,Iya,SunAsIrIya,1,4.2.32,kashika_4_2.rs,121,expanded_local_helper,source_condition_satisfied,SunAsIrIya,,,,verified,admitted_additional_conditioned_relation
a17936e8188a61650d4b,devata_relation,SunAsIra,SaAsyaDevata,having the named form as its devata,yat,ya,SunAsIrya,1,4.2.32,kashika_4_2.rs,121,expanded_local_helper,source_condition_satisfied,SunAsIrya,,,,verified,admitted_additional_conditioned_relation
dd43e378b62a2b214847,devata_relation,marutvat,SaAsyaDevata,having the named form as its devata,Ca,Iya,marutvatIya,1,4.2.32,kashika_4_2.rs,122,expanded_local_helper,source_condition_satisfied,marutvatIya,,,,verified,admitted_additional_conditioned_relation
9001c50d2bce09f4b619,devata_relation,marutvat,SaAsyaDevata,having the named form as its devata,yat,ya,marutvatya,1,4.2.32,kashika_4_2.rs,122,expanded_local_helper,source_condition_satisfied,marutvatya,,,,verified,admitted_additional_conditioned_relation
800afd424443761ffa86,devata_relation,agnIzoma,SaAsyaDevata,having the named form as its devata,Ca,Iya,agnIzomIya,1,4.2.32,kashika_4_2.rs,123,expanded_local_helper,source_condition_satisfied,agnIzomIya,,,,verified,admitted_additional_conditioned_relation
597a6f75b7e0e5d278a4,devata_relation,agnIzoma,SaAsyaDevata,having the named form as its devata,yat,ya,agnIzomya,1,4.2.32,kashika_4_2.rs,123,expanded_local_helper,source_condition_satisfied,agnIzomya,,,,verified,admitted_additional_conditioned_relation
43d59636e4a528310138,devata_relation,vAstozpati,SaAsyaDevata,having the named form as its devata,Ca,Iya,vAstozpatIya,1,4.2.32,kashika_4_2.rs,124,expanded_local_helper,source_condition_satisfied,vAstozpatIya,,,,verified,admitted_additional_conditioned_relation
429050645731d6d25049,devata_relation,vAstozpati,SaAsyaDevata,having the named form as its devata,yat,ya,vAstozpatya,1,4.2.32,kashika_4_2.rs,124,expanded_local_helper,source_condition_satisfied,vAstozpatya,,,,verified,admitted_additional_conditioned_relation
