derived_word_meaning_id,operation_id,expected_forms_slp1,regenerated_forms_slp1,verification_status
c864c51f821b5bc66a70,state_tva,abrAhmaRatva,abrAhmaRatva,verified
65b8a5f5d6b5e47bde7c,state_tal,abrAhmaRatA,abrAhmaRatA,verified
dd0681743b85f27707af,possession_matup,abrAhmaRavat,abrAhmaRavat,verified
98ccd30ee92ef213b232,superlative_tamap,abrAhmaRatama,abrAhmaRatama,verified
67739d0a7847dc178412,comparative_tarap,abrAhmaRatara,abrAhmaRatara,verified
653996470a251f0a3d9e,self_desire_kyac,abrAhmaRIya,abrAhmaRIya,verified
f52137344cf116e69531,self_desire_kamyac,abrAhmaRakAmya,abrAhmaRakAmya,verified
51117bb33cb803735478,object_comparison_kyac,abrAhmaRIya,abrAhmaRIya,verified
7b042912bed4f4998135,agent_comparison_kyang,abrAhmaRAya,abrAhmaRAya,verified
8e898912f62056232863,state_tva,avfzalatva,avfzalatva,verified
85c3858065987124150f,state_tal,avfzalatA,avfzalatA,verified
725f25b1c38e680412db,possession_matup,avfzalavat,avfzalavat,verified
483d9d88001432c47fbc,superlative_tamap,avfzalatama,avfzalatama,verified
5cd33616e6f393324c87,comparative_tarap,avfzalatara,avfzalatara,verified
c2ce807da3997e1c0ce9,self_desire_kyac,avfzalIya,avfzalIya,verified
3d3b46cbf1970c7b46ae,self_desire_kamyac,avfzalakAmya,avfzalakAmya,verified
0aa822e46dfea5791067,object_comparison_kyac,avfzalIya,avfzalIya,verified
a28c12a6de7759dfcd3f,agent_comparison_kyang,avfzalAya,avfzalAya,verified
2d48b104446fe16451fa,state_tva,aSvahitatva,aSvahitatva,verified
e2adf8b5772c693b11e6,state_tal,aSvahitatA,aSvahitatA,verified
549a87f9810138e12fab,possession_matup,aSvahitavat,aSvahitavat,verified
dbd08bc01a51f7f7e1fd,superlative_tamap,aSvahitatama,aSvahitatama,verified
3d61a4b83a1e9b9301ae,comparative_tarap,aSvahitatara,aSvahitatara,verified
897fa01ff5767ea89719,self_desire_kyac,aSvahitIya,aSvahitIya,verified
e3b536e0eb20492aa250,self_desire_kamyac,aSvahitakAmya,aSvahitakAmya,verified
f6639f51f91a2ff29473,object_comparison_kyac,aSvahitIya,aSvahitIya,verified
889f4b6f1b6e2b0e8e6b,agent_comparison_kyang,aSvahitAya,aSvahitAya,verified
eb8588eb7c077e1cb073,nan_privative,anaSvahita,anaSvahita,verified
99cd170bdde096a0aefa,state_tva,aSvarakzitatva,aSvarakzitatva,verified
6625d03b07c7c7777c7b,state_tal,aSvarakzitatA,aSvarakzitatA,verified
db428031f9134b91fb03,possession_matup,aSvarakzitavat,aSvarakzitavat,verified
9b515464a045c5b190e7,superlative_tamap,aSvarakzitatama,aSvarakzitatama,verified
67ac4004afbf04f6a767,comparative_tarap,aSvarakzitatara,aSvarakzitatara,verified
168adc45d7e4e5871a6f,self_desire_kyac,aSvarakzitIya,aSvarakzitIya,verified
bc46a0a7d1cfb09221ae,self_desire_kamyac,aSvarakzitakAmya,aSvarakzitakAmya,verified
56e6121ee4a065e14487,object_comparison_kyac,aSvarakzitIya,aSvarakzitIya,verified
748f35a41da3b5155394,agent_comparison_kyang,aSvarakzitAya,aSvarakzitAya,verified
85688f18594df85a5714,nan_privative,anaSvarakzita,anaSvarakzita,verified
46a5005f2324bdb7d774,state_tva,aSvasuKatva,aSvasuKatva,verified
a84a4f582d2a4be043c0,state_tal,aSvasuKatA,aSvasuKatA,verified
9eaf0a6af9d301e54e3e,possession_matup,aSvasuKavat,aSvasuKavat,verified
b0556081bd7ffece2ace,superlative_tamap,aSvasuKatama,aSvasuKatama,verified
be6b9a8f5a40eb32cb62,comparative_tarap,aSvasuKatara,aSvasuKatara,verified
1c659c7b7d3cef85dc0f,self_desire_kyac,aSvasuKIya,aSvasuKIya,verified
8ae4ab825c4e031ab38d,self_desire_kamyac,aSvasuKakAmya,aSvasuKakAmya,verified
92412f2f983c38f6da67,object_comparison_kyac,aSvasuKIya,aSvasuKIya,verified
1631e8e91e2b5c807b4a,agent_comparison_kyang,aSvasuKAya,aSvasuKAya,verified
8c8e81d21a7e65718eb8,nan_privative,anaSvasuKa,anaSvasuKa,verified
ba28f1c21887b23f7f58,state_tva,brAhmaRArTatva,brAhmaRArTatva,verified
eb3560482fe670c0bdc3,state_tal,brAhmaRArTatA,brAhmaRArTatA,verified
