derived_word_meaning_id,operation_id,operation_display,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,semantic_branch_id,semantic_relation,rule_refs,output_forms_slp1,output_variant_count,admission_basis,count_status
f1314ebb8d6ad926716e,causative,"णिजन्त (ṇijanta), causative","[""01.0001"", ""meaning-4f8785226893""]",01.0001,BU,sattAyAm,सत्तायाम् (sattāyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,BAvi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
5e4d93c976783786cbcc,causative,"णिजन्त (ṇijanta), causative","[""01.0002"", ""meaning-7e172f9d8575""]",01.0002,eDa~\,vfdDO,वृद्धौ (vṛddhau),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,eDi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
9a1fb315de0a7cd00afb,causative,"णिजन्त (ṇijanta), causative","[""01.0003"", ""meaning-eaa4c9581c6b""]",01.0003,sparDa~\,saNGarze,सङ्घर्षे (saṅgharṣe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,sparDi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
2dc8d93f0e3e69d40f3f,causative,"णिजन्त (ṇijanta), causative","[""01.0004"", ""meaning-412d054d7980""]",01.0004,gADf~\,lipsAyAm,लिप्सायाम् (lipsāyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,gADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
d734779f58633877e39d,causative,"णिजन्त (ṇijanta), causative","[""01.0004"", ""meaning-83e37f3a87c4""]",01.0004,gADf~\,pratizWAyAm,प्रतिष्ठायाम् (pratiṣṭhāyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,gADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
203e6d6aadfcc10052d1,causative,"णिजन्त (ṇijanta), causative","[""01.0004"", ""meaning-b687ba9bbadc""]",01.0004,gADf~\,granTe,ग्रन्थे (granthe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,gADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
51b62338c0c54691dbf6,causative,"णिजन्त (ṇijanta), causative","[""01.0005"", ""meaning-476077c1bded""]",01.0005,bADf~\,loqane,लोडने (loḍane),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,bADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
66d89ebd2ef69282526a,causative,"णिजन्त (ṇijanta), causative","[""01.0005"", ""meaning-7cf338b886ec""]",01.0005,bADf~\,rowane,रोटने (roṭane),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,bADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
37ab1635d2d0182eb2b1,causative,"णिजन्त (ṇijanta), causative","[""01.0006"", ""meaning-8db8a7c441d3""]",01.0006,nADf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
0cb3fde41851426e9740,causative,"णिजन्त (ṇijanta), causative","[""01.0006"", ""meaning-ade77b0908ab""]",01.0006,nADf~\,ESvarye,ऐश्वर्ये (aiśvarye),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
ce7d2c0c9ce1d196729e,causative,"णिजन्त (ṇijanta), causative","[""01.0006"", ""meaning-c255753f9f9e""]",01.0006,nADf~\,upatApe,उपतापे (upatāpe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
5434474ae6e53ae81dd4,causative,"णिजन्त (ṇijanta), causative","[""01.0006"", ""meaning-c458ec648d94""]",01.0006,nADf~\,ASizi,आशिषि (āśiṣi),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
f657054b2564dcf56db7,causative,"णिजन्त (ṇijanta), causative","[""01.0007"", ""meaning-8db8a7c441d3""]",01.0007,nATf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nATi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
806907324ad15d55ffd5,causative,"णिजन्त (ṇijanta), causative","[""01.0007"", ""meaning-ade77b0908ab""]",01.0007,nATf~\,ESvarye,ऐश्वर्ये (aiśvarye),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nATi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
0f74befab15ab8d113cd,causative,"णिजन्त (ṇijanta), causative","[""01.0007"", ""meaning-c255753f9f9e""]",01.0007,nATf~\,upatApe,उपतापे (upatāpe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nATi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
f0ebf7dc72a5d9a6dc19,causative,"णिजन्त (ṇijanta), causative","[""01.0007"", ""meaning-c458ec648d94""]",01.0007,nATf~\,ASizi,आशिषि (āśiṣi),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,nATi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
c8152228e7464b7e652b,causative,"णिजन्त (ṇijanta), causative","[""01.0008"", ""meaning-bb23f8c5982d""]",01.0008,daDa~\,DAraRe,धारणे (dhāraṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,dADi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
255d22289baaecd6ec05,causative,"णिजन्त (ṇijanta), causative","[""01.0009"", ""meaning-00323a78b7df""]",01.0009,skudi~\,ApravaRe,आप्रवणे (āpravaṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,skundi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
21e4a0f5feb48930e7d3,causative,"णिजन्त (ṇijanta), causative","[""01.0010"", ""meaning-7d5e46e1b41d""]",01.0010,Svidi~\,SvEtye,श्वैत्ये (śvaitye),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,Svindi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
4a0467648ba1ac6ffe62,causative,"णिजन्त (ṇijanta), causative","[""01.0011"", ""meaning-388ca6564d81""]",01.0011,vadi~\,stutO,स्तुतौ (stutau),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.26,vandi,1,productive_rule_plus_pinned_engine_output,admitted_research_ledger
