row_id,target,expected,token_id,reference,surface,normalized_surface,lemma,gram_class,case,gender,number,person,mood,tense,voice,decision,reason,source
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h003_12_zur_c_01,RV 1.3.12c,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h007_01_zur_c_02,RV 1.7.1c,vā́ṇīḥ,vāṇīḥ,vā́ṇī-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-05,pañca,syntax review: uninflected numeral,b01_h007_09_zur_c_02,RV 1.7.9c,páñca,pañca,páñca-,nominal stem,,,PL,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h009_07_zur_b_01,RV 1.9.7b,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
SG-27,asme,DAT/LOC.PL pronoun,b01_h009_08_zur_a_01,RV 1.9.8a,asmé,asme,ahám,pronoun,,,PL,,,,,accepted,plural pronoun; relation untagged,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
NU-06,sahasram,syntax review: uninflected collective,b01_h011_08_zur_c_01,RV 1.11.8c,sahásram,sahasram,sahásra-,nominal stem,,N,SG,,,,,review,token morphology cannot decide the construction,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h013_06_zur_b_02,RV 1.13.6b,devī́ḥ,devīḥ,devī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h013_09_zur_b_02,RV 1.13.9b,devī́ḥ,devīḥ,devī́-,nominal stem,NOM,F,PL,,,,,accepted,nom plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,yaḥ,NOM/ACC.PL.F comparison suffix,b01_h014_02_zur_b_04,RV 1.14.2b,dhíyaḥ,dhiyaḥ,dhī́-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-04,īḥ,NOM/ACC.PL.F candidate suffix,b01_h014_12_zur_a_03,RV 1.14.12a,áruṣīḥ,aruṣīḥ,áruṣī-,nominal stem,ACC,F,PL,,,,,accepted,acc plural feminine,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
PL-20,yāni,NOM/ACC.PL.N relative,b01_h015_08_zur_b_02,RV 1.15.8b,yā́ni,yāni,yá-,pronoun,,N,PL,,,,,accepted, plural neuter,VedaWeb TEI 6d94702e078b2d8fc04af1241aba63132c4601a3
